# BEGIN PLOT
DrawOnly=/REF/ATLAS_2012_I1199269/d03-x01-y01 /LHC.yoda/ATLAS_2012_I1199269/d03-x01-y01 /THY/ATLAS_2012_I1199269/d03-x01-y01
Title=Isolated diphoton cross-section vs diphoton azimuthal separation
RatioPlotReference=/REF/ATLAS_2012_I1199269/d03-x01-y01
RatioPlot=1
LogY=1
XLabel=$\Delta\phi_{\gamma\gamma}$ [rad]
MainPlot=1
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi_{\gamma\gamma}$ [pb/rad]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2012_I1199269/d03-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2012_I1199269/d03-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	2.680000e+00	5.200000e-01	2.400000e-01
5.000000e-01	1.000000e+00	3.100000e+00	3.700000e-01	2.600000e-01
1.000000e+00	1.500000e+00	3.460000e+00	3.700000e-01	3.100000e-01
1.500000e+00	1.750000e+00	4.510000e+00	4.400000e-01	3.900000e-01
1.750000e+00	2.000000e+00	6.260000e+00	6.100000e-01	5.500000e-01
2.000000e+00	2.250000e+00	8.930000e+00	1.040000e+00	7.600000e-01
2.250000e+00	2.350000e+00	1.160000e+01	1.200000e+00	1.000000e+00
2.350000e+00	2.450000e+00	1.390000e+01	1.400000e+00	1.100000e+00
2.450000e+00	2.550000e+00	1.740000e+01	1.700000e+00	1.400000e+00
2.550000e+00	2.650000e+00	2.180000e+01	2.300000e+00	2.000000e+00
2.650000e+00	2.700000e+00	2.670000e+01	2.500000e+00	2.300000e+00
2.700000e+00	2.750000e+00	2.960000e+01	3.500000e+00	3.300000e+00
2.750000e+00	2.800000e+00	3.580000e+01	3.300000e+00	3.000000e+00
2.800000e+00	2.850000e+00	4.290000e+01	3.900000e+00	3.400000e+00
2.850000e+00	2.900000e+00	4.840000e+01	4.600000e+00	3.900000e+00
2.900000e+00	2.950000e+00	5.740000e+01	4.700000e+00	4.400000e+00
2.950000e+00	3.000000e+00	7.170000e+01	6.100000e+00	5.600000e+00
3.000000e+00	3.050000e+00	8.080000e+01	7.600000e+00	6.300000e+00
3.050000e+00	3.100000e+00	1.005000e+02	8.600000e+00	7.400000e+00
3.100000e+00	3.140000e+00	1.076000e+02	9.800000e+00	8.100000e+00
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2012_I1199269/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2012_I1199269/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	2.680000e+00	5.200000e-01	2.400000e-01
5.000000e-01	1.000000e+00	3.100000e+00	3.700000e-01	2.600000e-01
1.000000e+00	1.500000e+00	3.460000e+00	3.700000e-01	3.100000e-01
1.500000e+00	1.750000e+00	4.510000e+00	4.400000e-01	3.900000e-01
1.750000e+00	2.000000e+00	6.260000e+00	6.100000e-01	5.500000e-01
2.000000e+00	2.250000e+00	8.930000e+00	1.040000e+00	7.600000e-01
2.250000e+00	2.350000e+00	1.160000e+01	1.200000e+00	1.000000e+00
2.350000e+00	2.450000e+00	1.390000e+01	1.400000e+00	1.100000e+00
2.450000e+00	2.550000e+00	1.740000e+01	1.700000e+00	1.400000e+00
2.550000e+00	2.650000e+00	2.180000e+01	2.300000e+00	2.000000e+00
2.650000e+00	2.700000e+00	2.670000e+01	2.500000e+00	2.300000e+00
2.700000e+00	2.750000e+00	2.960000e+01	3.500000e+00	3.300000e+00
2.750000e+00	2.800000e+00	3.580000e+01	3.300000e+00	3.000000e+00
2.800000e+00	2.850000e+00	4.290000e+01	3.900000e+00	3.400000e+00
2.850000e+00	2.900000e+00	4.840000e+01	4.600000e+00	3.900000e+00
2.900000e+00	2.950000e+00	5.740000e+01	4.700000e+00	4.400000e+00
2.950000e+00	3.000000e+00	7.170000e+01	6.100000e+00	5.600000e+00
3.000000e+00	3.050000e+00	8.080000e+01	7.600000e+00	6.300000e+00
3.050000e+00	3.100000e+00	1.005000e+02	8.600000e+00	7.400000e+00
3.100000e+00	3.140000e+00	1.076000e+02	9.800000e+00	8.100000e+00
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2012_I1199269/d03-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2012_I1199269/d03-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	2.680000e+00	5.200000e-01	2.400000e-01
