# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d09-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d09-x01-y02 /THY/ATLAS_2013_I1230812_EL/d09-x01-y02
Title=Transverse momentum of 1st jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d09-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$p_\perp$(1st jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d09-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d09-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.451000e+00	2.273609e-01	2.273609e-01
3.500000e+01	4.000000e+01	1.842000e+00	1.274441e-01	1.274441e-01
4.000000e+01	5.000000e+01	1.269000e+00	8.032434e-02	8.032434e-02
5.000000e+01	6.000000e+01	7.991000e-01	4.764767e-02	4.764767e-02
6.000000e+01	7.000000e+01	5.310000e-01	3.253613e-02	3.253613e-02
7.000000e+01	8.000000e+01	3.627000e-01	2.111540e-02	2.111540e-02
8.000000e+01	1.000000e+02	2.192000e-01	1.213384e-02	1.213384e-02
1.000000e+02	1.200000e+02	1.170000e-01	6.707459e-03	6.707459e-03
1.200000e+02	1.400000e+02	6.519000e-02	3.807795e-03	3.807795e-03
1.400000e+02	1.600000e+02	3.994000e-02	2.429115e-03	2.429115e-03
1.600000e+02	1.800000e+02	2.381000e-02	1.537530e-03	1.537530e-03
1.800000e+02	2.000000e+02	1.485000e-02	9.737043e-04	9.737043e-04
2.000000e+02	2.200000e+02	9.756000e-03	6.619396e-04	6.619396e-04
2.200000e+02	2.500000e+02	6.074000e-03	4.374666e-04	4.374666e-04
2.500000e+02	2.800000e+02	3.700000e-03	3.201140e-04	3.201140e-04
2.800000e+02	3.100000e+02	2.220000e-03	2.002049e-04	2.002049e-04
3.100000e+02	3.400000e+02	1.324000e-03	1.440278e-04	1.440278e-04
3.400000e+02	3.700000e+02	8.740000e-04	1.094534e-04	1.094534e-04
3.700000e+02	4.000000e+02	5.131000e-04	7.620033e-05	7.620033e-05
4.000000e+02	4.500000e+02	2.778000e-04	4.709798e-05	4.709798e-05
4.500000e+02	5.000000e+02	1.542000e-04	3.762366e-05	3.762366e-05
5.000000e+02	5.500000e+02	7.818000e-05	2.545746e-05	2.545746e-05
5.500000e+02	7.000000e+02	3.080000e-05	1.299593e-05	1.299593e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d09-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d09-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.451000e+00	2.273609e-01	2.273609e-01
3.500000e+01	4.000000e+01	1.842000e+00	1.274441e-01	1.274441e-01
