# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d17-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d17-x01-y02 /THY/ATLAS_2013_I1230812_EL/d17-x01-y02
Title=Rapidity of 1st jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d17-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
LegendXPos=0.05
XLabel=$|y|$(1st jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|y|$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d17-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d17-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.139000e+01	1.752084e+00	1.752084e+00
2.000000e-01	4.000000e-01	3.105000e+01	1.723949e+00	1.723949e+00
4.000000e-01	6.000000e-01	3.077000e+01	1.722469e+00	1.722469e+00
6.000000e-01	8.000000e-01	2.938000e+01	1.673141e+00	1.673141e+00
8.000000e-01	1.000000e+00	2.733000e+01	1.573054e+00	1.573054e+00
1.000000e+00	1.200000e+00	2.430000e+01	1.551096e+00	1.551096e+00
1.200000e+00	1.400000e+00	2.365000e+01	1.548967e+00	1.548967e+00
1.400000e+00	1.600000e+00	2.057000e+01	1.340336e+00	1.340336e+00
1.600000e+00	1.800000e+00	1.698000e+01	1.198582e+00	1.198582e+00
1.800000e+00	2.000000e+00	1.561000e+01	1.197038e+00	1.197038e+00
2.000000e+00	2.200000e+00	1.326000e+01	1.106074e+00	1.106074e+00
2.200000e+00	2.400000e+00	1.070000e+01	9.650907e-01	9.650907e-01
2.400000e+00	2.600000e+00	7.952000e+00	9.807844e-01	9.807844e-01
2.600000e+00	2.800000e+00	6.689000e+00	9.352422e-01	9.352422e-01
2.800000e+00	3.000000e+00	5.706000e+00	1.079482e+00	1.079482e+00
3.000000e+00	3.400000e+00	3.299000e+00	6.419790e-01	6.419790e-01
3.400000e+00	3.800000e+00	1.466000e+00	3.514698e-01	3.514698e-01
3.800000e+00	4.400000e+00	4.696000e-01	1.805051e-01	1.805051e-01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d17-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d17-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.139000e+01	1.752084e+00	1.752084e+00
2.000000e-01	4.000000e-01	3.105000e+01	1.723949e+00	1.723949e+00
4.000000e-01	6.000000e-01	3.077000e+01	1.722469e+00	1.722469e+00
6.000000e-01	8.000000e-01	2.938000e+01	1.673141e+00	1.673141e+00
8.000000e-01	1.000000e+00	2.733000e+01	1.573054e+00	1.573054e+00
1.000000e+00	1.200000e+00	2.430000e+01	1.551096e+00	1.551096e+00
1.200000e+00	1.400000e+00	2.365000e+01	1.548967e+00	1.548967e+00
1.400000e+00	1.600000e+00	2.057000e+01	1.340336e+00	1.340336e+00
1.600000e+00	1.800000e+00	1.698000e+01	1.198582e+00	1.198582e+00
1.800000e+00	2.000000e+00	1.561000e+01	1.197038e+00	1.197038e+00
2.000000e+00	2.200000e+00	1.326000e+01	1.106074e+00	1.106074e+00
2.200000e+00	2.400000e+00	1.070000e+01	9.650907e-01	9.650907e-01
2.400000e+00	2.600000e+00	7.952000e+00	9.807844e-01	9.807844e-01
2.600000e+00	2.800000e+00	6.689000e+00	9.352422e-01	9.352422e-01
2.800000e+00	3.000000e+00	5.706000e+00	1.079482e+00	1.079482e+00
3.000000e+00	3.400000e+00	3.299000e+00	6.419790e-01	6.419790e-01
3.400000e+00	3.800000e+00	1.466000e+00	3.514698e-01	3.514698e-01
3.800000e+00	4.400000e+00	4.696000e-01	1.805051e-01	1.805051e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d17-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d17-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.139000e+01	1.752084e+00	1.752084e+00
2.000000e-01	4.000000e-01	3.105000e+01	1.723949e+00	1.723949e+00
4.000000e-01	6.000000e-01	3.077000e+01	1.722469e+00	1.722469e+00
6.000000e-01	8.000000e-01	2.938000e+01	1.673141e+00	1.673141e+00
8.000000e-01	1.000000e+00	2.733000e+01	1.573054e+00	1.573054e+00
1.000000e+00	1.200000e+00	2.430000e+01	1.551096e+00	1.551096e+00
1.200000e+00	1.400000e+00	2.365000e+01	1.548967e+00	1.548967e+00
1.400000e+00	1.600000e+00	2.057000e+01	1.340336e+00	1.340336e+00
1.600000e+00	1.800000e+00	1.698000e+01	1.198582e+00	1.198582e+00
1.800000e+00	2.000000e+00	1.561000e+01	1.197038e+00	1.197038e+00
2.000000e+00	2.200000e+00	1.326000e+01	1.106074e+00	1.106074e+00
2.200000e+00	2.400000e+00	1.070000e+01	9.650907e-01	9.650907e-01
2.400000e+00	2.600000e+00	7.952000e+00	9.807844e-01	9.807844e-01
2.600000e+00	2.800000e+00	6.689000e+00	9.352422e-01	9.352422e-01
2.800000e+00	3.000000e+00	5.706000e+00	1.079482e+00	1.079482e+00
3.000000e+00	3.400000e+00	3.299000e+00	6.419790e-01	6.419790e-01
3.400000e+00	3.800000e+00	1.466000e+00	3.514698e-01	3.514698e-01
