# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d24-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d24-x01-y02 /THY/ATLAS_2013_I1230812_EL/d24-x01-y02
Title=$\Delta R$ distance of leading jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d24-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
LegendXPos=0.05
XLabel=$\Delta R$(1st jet, 2nd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$\Delta R$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d24-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d24-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	1.493000e+00	2.236202e-01	2.236202e-01
6.000000e-01	8.000000e-01	1.730000e+00	2.770289e-01	2.770289e-01
8.000000e-01	1.000000e+00	1.616000e+00	1.921692e-01	1.921692e-01
1.000000e+00	1.200000e+00	1.580000e+00	1.832539e-01	1.832539e-01
1.200000e+00	1.400000e+00	1.631000e+00	1.866387e-01	1.866387e-01
1.400000e+00	1.600000e+00	1.816000e+00	1.937369e-01	1.937369e-01
1.600000e+00	1.800000e+00	2.170000e+00	2.260442e-01	2.260442e-01
1.800000e+00	2.000000e+00	2.303000e+00	2.335487e-01	2.335487e-01
2.000000e+00	2.200000e+00	2.909000e+00	2.854085e-01	2.854085e-01
2.200000e+00	2.400000e+00	3.832000e+00	3.658470e-01	3.658470e-01
2.400000e+00	2.600000e+00	4.582000e+00	4.142970e-01	4.142970e-01
2.600000e+00	2.800000e+00	5.810000e+00	5.048604e-01	5.048604e-01
2.800000e+00	3.000000e+00	6.837000e+00	5.810112e-01	5.810112e-01
3.000000e+00	3.200000e+00	7.669000e+00	6.409126e-01	6.409126e-01
3.200000e+00	3.400000e+00	5.282000e+00	4.694646e-01	4.694646e-01
3.400000e+00	3.600000e+00	3.725000e+00	3.383105e-01	3.383105e-01
3.600000e+00	3.800000e+00	3.042000e+00	3.000333e-01	3.000333e-01
3.800000e+00	4.000000e+00	2.175000e+00	2.315059e-01	2.315059e-01
4.000000e+00	4.400000e+00	1.482000e+00	1.671347e-01	1.671347e-01
4.400000e+00	4.800000e+00	9.128000e-01	1.240522e-01	1.240522e-01
4.800000e+00	5.600000e+00	3.590000e-01	6.027653e-02	6.027653e-02
5.600000e+00	6.600000e+00	7.776000e-02	2.558003e-02	2.558003e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d24-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d24-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	1.493000e+00	2.236202e-01	2.236202e-01
6.000000e-01	8.000000e-01	1.730000e+00	2.770289e-01	2.770289e-01
8.000000e-01	1.000000e+00	1.616000e+00	1.921692e-01	1.921692e-01
1.000000e+00	1.200000e+00	1.580000e+00	1.832539e-01	1.832539e-01
1.200000e+00	1.400000e+00	1.631000e+00	1.866387e-01	1.866387e-01
1.400000e+00	1.600000e+00	1.816000e+00	1.937369e-01	1.937369e-01
1.600000e+00	1.800000e+00	2.170000e+00	2.260442e-01	2.260442e-01
1.800000e+00	2.000000e+00	2.303000e+00	2.335487e-01	2.335487e-01
2.000000e+00	2.200000e+00	2.909000e+00	2.854085e-01	2.854085e-01
2.200000e+00	2.400000e+00	3.832000e+00	3.658470e-01	3.658470e-01
2.400000e+00	2.600000e+00	4.582000e+00	4.142970e-01	4.142970e-01
2.600000e+00	2.800000e+00	5.810000e+00	5.048604e-01	5.048604e-01
2.800000e+00	3.000000e+00	6.837000e+00	5.810112e-01	5.810112e-01
3.000000e+00	3.200000e+00	7.669000e+00	6.409126e-01	6.409126e-01
3.200000e+00	3.400000e+00	5.282000e+00	4.694646e-01	4.694646e-01
3.400000e+00	3.600000e+00	3.725000e+00	3.383105e-01	3.383105e-01
3.600000e+00	3.800000e+00	3.042000e+00	3.000333e-01	3.000333e-01
3.800000e+00	4.000000e+00	2.175000e+00	2.315059e-01	2.315059e-01
4.000000e+00	4.400000e+00	1.482000e+00	1.671347e-01	1.671347e-01
4.400000e+00	4.800000e+00	9.128000e-01	1.240522e-01	1.240522e-01
4.800000e+00	5.600000e+00	3.590000e-01	6.027653e-02	6.027653e-02
5.600000e+00	6.600000e+00	7.776000e-02	2.558003e-02	2.558003e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d24-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d24-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-01	6.000000e-01	1.493000e+00	2.236202e-01	2.236202e-01
6.000000e-01	8.000000e-01	1.730000e+00	2.770289e-01	2.770289e-01
8.000000e-01	1.000000e+00	1.616000e+00	1.921692e-01	1.921692e-01
1.000000e+00	1.200000e+00	1.580000e+00	1.832539e-01	1.832539e-01
1.200000e+00	1.400000e+00	1.631000e+00	1.866387e-01	1.866387e-01
1.400000e+00	1.600000e+00	1.816000e+00	1.937369e-01	1.937369e-01
1.600000e+00	1.800000e+00	2.170000e+00	2.260442e-01	2.260442e-01
1.800000e+00	2.000000e+00	2.303000e+00	2.335487e-01	2.335487e-01
2.000000e+00	2.200000e+00	2.909000e+00	2.854085e-01	2.854085e-01
2.200000e+00	2.400000e+00	3.832000e+00	3.658470e-01	3.658470e-01
2.400000e+00	2.600000e+00	4.582000e+00	4.142970e-01	4.142970e-01
2.600000e+00	2.800000e+00	5.810000e+00	5.048604e-01	5.048604e-01
2.800000e+00	3.000000e+00	6.837000e+00	5.810112e-01	5.810112e-01
3.000000e+00	3.200000e+00	7.669000e+00	6.409126e-01	6.409126e-01
3.200000e+00	3.400000e+00	5.282000e+00	4.694646e-01	4.694646e-01
3.400000e+00	3.600000e+00	3.725000e+00	3.383105e-01	3.383105e-01
3.600000e+00	3.800000e+00	3.042000e+00	3.000333e-01	3.000333e-01
