# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d16-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d16-x01-y03 /THY/ATLAS_2013_I1230812_MU/d16-x01-y03
Title=Transverse momentum of $Z$-boson ($Z+1$jet events)
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d16-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$p_\perp(Z)$ [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d16-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d16-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.675000e-01	6.442763e-02	6.442763e-02
4.000000e+01	8.000000e+01	6.369000e-01	1.283783e-02	1.283783e-02
8.000000e+01	1.200000e+02	1.214000e-01	4.290688e-03	4.290688e-03
1.200000e+02	1.600000e+02	2.741000e-02	1.208511e-03	1.208511e-03
1.600000e+02	2.000000e+02	8.802000e-03	4.572374e-04	4.572374e-04
2.000000e+02	2.400000e+02	2.945000e-03	1.981641e-04	1.981641e-04
2.400000e+02	2.800000e+02	1.143000e-03	1.118660e-04	1.118660e-04
2.800000e+02	3.200000e+02	4.466000e-04	7.032560e-05	7.032560e-05
3.200000e+02	3.600000e+02	2.212000e-04	4.751400e-05	4.751400e-05
3.600000e+02	4.000000e+02	8.828000e-05	2.807258e-05	2.807258e-05
4.000000e+02	4.400000e+02	5.946000e-05	2.485501e-05	2.485501e-05
4.400000e+02	4.800000e+02	2.757000e-05	1.508607e-05	1.508607e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d16-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d16-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.675000e-01	6.442763e-02	6.442763e-02
4.000000e+01	8.000000e+01	6.369000e-01	1.283783e-02	1.283783e-02
8.000000e+01	1.200000e+02	1.214000e-01	4.290688e-03	4.290688e-03
1.200000e+02	1.600000e+02	2.741000e-02	1.208511e-03	1.208511e-03
1.600000e+02	2.000000e+02	8.802000e-03	4.572374e-04	4.572374e-04
2.000000e+02	2.400000e+02	2.945000e-03	1.981641e-04	1.981641e-04
2.400000e+02	2.800000e+02	1.143000e-03	1.118660e-04	1.118660e-04
2.800000e+02	3.200000e+02	4.466000e-04	7.032560e-05	7.032560e-05
3.200000e+02	3.600000e+02	2.212000e-04	4.751400e-05	4.751400e-05
3.600000e+02	4.000000e+02	8.828000e-05	2.807258e-05	2.807258e-05
4.000000e+02	4.400000e+02	5.946000e-05	2.485501e-05	2.485501e-05
4.400000e+02	4.800000e+02	2.757000e-05	1.508607e-05	1.508607e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d16-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d16-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.675000e-01	6.442763e-02	6.442763e-02
4.000000e+01	8.000000e+01	6.369000e-01	1.283783e-02	1.283783e-02
8.000000e+01	1.200000e+02	1.214000e-01	4.290688e-03	4.290688e-03
1.200000e+02	1.600000e+02	2.741000e-02	1.208511e-03	1.208511e-03
1.600000e+02	2.000000e+02	8.802000e-03	4.572374e-04	4.572374e-04
2.000000e+02	2.400000e+02	2.945000e-03	1.981641e-04	1.981641e-04
2.400000e+02	2.800000e+02	1.143000e-03	1.118660e-04	1.118660e-04
2.800000e+02	3.200000e+02	4.466000e-04	7.032560e-05	7.032560e-05
3.200000e+02	3.600000e+02	2.212000e-04	4.751400e-05	4.751400e-05
3.600000e+02	4.000000e+02	8.828000e-05	2.807258e-05	2.807258e-05
4.000000e+02	4.400000e+02	5.946000e-05	2.485501e-05	2.485501e-05
4.400000e+02	4.800000e+02	2.757000e-05	1.508607e-05	1.508607e-05
# END HISTO1D

