# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d22-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d22-x01-y03 /THY/ATLAS_2013_I1230812_MU/d22-x01-y03
Title=Invariant mass of leading jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d22-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$m$(1st jet, 2nd jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$m$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d22-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d22-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	2.312000e-03	7.542533e-04	7.542533e-04
2.500000e+01	5.000000e+01	3.074000e-02	4.631911e-03	4.631911e-03
5.000000e+01	7.500000e+01	5.364000e-02	6.391228e-03	6.391228e-03
7.500000e+01	1.000000e+02	8.316000e-02	8.005923e-03	8.005923e-03
1.000000e+02	1.250000e+02	7.944000e-02	6.677529e-03	6.677529e-03
1.250000e+02	1.500000e+02	6.547000e-02	4.597673e-03	4.597673e-03
1.500000e+02	1.750000e+02	5.144000e-02	4.050321e-03	4.050321e-03
1.750000e+02	2.000000e+02	3.918000e-02	3.175059e-03	3.175059e-03
2.000000e+02	2.250000e+02	3.045000e-02	2.419855e-03	2.419855e-03
2.250000e+02	2.500000e+02	2.371000e-02	1.911361e-03	1.911361e-03
2.500000e+02	2.750000e+02	1.923000e-02	1.534405e-03	1.534405e-03
2.750000e+02	3.000000e+02	1.588000e-02	1.323405e-03	1.323405e-03
3.000000e+02	3.250000e+02	1.261000e-02	1.240363e-03	1.240363e-03
3.250000e+02	3.500000e+02	1.011000e-02	1.036629e-03	1.036629e-03
3.500000e+02	3.750000e+02	8.303000e-03	7.876071e-04	7.876071e-04
3.750000e+02	4.000000e+02	6.940000e-03	6.635804e-04	6.635804e-04
4.000000e+02	4.500000e+02	5.383000e-03	5.342696e-04	5.342696e-04
4.500000e+02	5.000000e+02	4.112000e-03	4.059717e-04	4.059717e-04
5.000000e+02	5.750000e+02	2.946000e-03	3.631281e-04	3.631281e-04
5.750000e+02	6.750000e+02	1.629000e-03	2.166403e-04	2.166403e-04
6.750000e+02	8.000000e+02	8.785000e-04	1.205798e-04	1.205798e-04
8.000000e+02	1.000000e+03	4.519000e-04	8.885325e-05	8.885325e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d22-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d22-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	2.312000e-03	7.542533e-04	7.542533e-04
2.500000e+01	5.000000e+01	3.074000e-02	4.631911e-03	4.631911e-03
5.000000e+01	7.500000e+01	5.364000e-02	6.391228e-03	6.391228e-03
7.500000e+01	1.000000e+02	8.316000e-02	8.005923e-03	8.005923e-03
1.000000e+02	1.250000e+02	7.944000e-02	6.677529e-03	6.677529e-03
1.250000e+02	1.500000e+02	6.547000e-02	4.597673e-03	4.597673e-03
1.500000e+02	1.750000e+02	5.144000e-02	4.050321e-03	4.050321e-03
1.750000e+02	2.000000e+02	3.918000e-02	3.175059e-03	3.175059e-03
2.000000e+02	2.250000e+02	3.045000e-02	2.419855e-03	2.419855e-03
2.250000e+02	2.500000e+02	2.371000e-02	1.911361e-03	1.911361e-03
2.500000e+02	2.750000e+02	1.923000e-02	1.534405e-03	1.534405e-03
2.750000e+02	3.000000e+02	1.588000e-02	1.323405e-03	1.323405e-03
3.000000e+02	3.250000e+02	1.261000e-02	1.240363e-03	1.240363e-03
3.250000e+02	3.500000e+02	1.011000e-02	1.036629e-03	1.036629e-03
3.500000e+02	3.750000e+02	8.303000e-03	7.876071e-04	7.876071e-04
3.750000e+02	4.000000e+02	6.940000e-03	6.635804e-04	6.635804e-04
4.000000e+02	4.500000e+02	5.383000e-03	5.342696e-04	5.342696e-04
4.500000e+02	5.000000e+02	4.112000e-03	4.059717e-04	4.059717e-04
5.000000e+02	5.750000e+02	2.946000e-03	3.631281e-04	3.631281e-04
5.750000e+02	6.750000e+02	1.629000e-03	2.166403e-04	2.166403e-04
6.750000e+02	8.000000e+02	8.785000e-04	1.205798e-04	1.205798e-04
8.000000e+02	1.000000e+03	4.519000e-04	8.885325e-05	8.885325e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d22-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d22-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	2.312000e-03	7.542533e-04	7.542533e-04
2.500000e+01	5.000000e+01	3.074000e-02	4.631911e-03	4.631911e-03
5.000000e+01	7.500000e+01	5.364000e-02	6.391228e-03	6.391228e-03
7.500000e+01	1.000000e+02	8.316000e-02	8.005923e-03	8.005923e-03
1.000000e+02	1.250000e+02	7.944000e-02	6.677529e-03	6.677529e-03
1.250000e+02	1.500000e+02	6.547000e-02	4.597673e-03	4.597673e-03
1.500000e+02	1.750000e+02	5.144000e-02	4.050321e-03	4.050321e-03
1.750000e+02	2.000000e+02	3.918000e-02	3.175059e-03	3.175059e-03
2.000000e+02	2.250000e+02	3.045000e-02	2.419855e-03	2.419855e-03
2.250000e+02	2.500000e+02	2.371000e-02	1.911361e-03	1.911361e-03
2.500000e+02	2.750000e+02	1.923000e-02	1.534405e-03	1.534405e-03
2.750000e+02	3.000000e+02	1.588000e-02	1.323405e-03	1.323405e-03
3.000000e+02	3.250000e+02	1.261000e-02	1.240363e-03	1.240363e-03
3.250000e+02	3.500000e+02	1.011000e-02	1.036629e-03	1.036629e-03
3.500000e+02	3.750000e+02	8.303000e-03	7.876071e-04	7.876071e-04
3.750000e+02	4.000000e+02	6.940000e-03	6.635804e-04	6.635804e-04
4.000000e+02	4.500000e+02	5.383000e-03	5.342696e-04	5.342696e-04
4.500000e+02	5.000000e+02	4.112000e-03	4.059717e-04	4.059717e-04
5.000000e+02	5.750000e+02	2.946000e-03	3.631281e-04	3.631281e-04
5.750000e+02	6.750000e+02	1.629000e-03	2.166403e-04	2.166403e-04
6.750000e+02	8.000000e+02	8.785000e-04	1.205798e-04	1.205798e-04
8.000000e+02	1.000000e+03	4.519000e-04	8.885325e-05	8.885325e-05
# END HISTO1D

