# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d27-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d27-x01-y03 /THY/ATLAS_2013_I1230812_MU/d27-x01-y03
Title=Scalar $p_\perp$ sum of leptons and jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d27-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$H_T$ [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$H_T$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d27-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d27-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.000000e+01	7.685000e-03	1.181042e-03	1.181042e-03
8.000000e+01	9.000000e+01	4.863000e-02	6.324405e-03	6.324405e-03
9.000000e+01	1.000000e+02	1.350000e-01	1.578417e-02	1.578417e-02
1.000000e+02	1.100000e+02	2.850000e-01	3.140366e-02	3.140366e-02
1.100000e+02	1.200000e+02	5.212000e-01	4.919411e-02	4.919411e-02
1.200000e+02	1.300000e+02	9.072000e-01	6.740460e-02	6.740460e-02
1.300000e+02	1.400000e+02	8.972000e-01	4.996939e-02	4.996939e-02
1.400000e+02	1.500000e+02	6.505000e-01	3.009335e-02	3.009335e-02
1.500000e+02	1.600000e+02	4.920000e-01	2.246998e-02	2.246998e-02
1.600000e+02	1.700000e+02	3.935000e-01	1.893568e-02	1.893568e-02
1.700000e+02	1.800000e+02	3.220000e-01	1.553609e-02	1.553609e-02
1.800000e+02	1.900000e+02	2.652000e-01	1.272360e-02	1.272360e-02
1.900000e+02	2.000000e+02	2.179000e-01	1.082312e-02	1.082312e-02
2.000000e+02	2.200000e+02	1.670000e-01	8.777813e-03	8.777813e-03
2.200000e+02	2.400000e+02	1.171000e-01	6.186275e-03	6.186275e-03
2.400000e+02	2.600000e+02	8.563000e-02	4.376802e-03	4.376802e-03
2.600000e+02	2.800000e+02	6.431000e-02	3.197218e-03	3.197218e-03
2.800000e+02	3.000000e+02	4.879000e-02	2.423840e-03	2.423840e-03
3.000000e+02	3.200000e+02	3.769000e-02	1.803912e-03	1.803912e-03
3.200000e+02	3.400000e+02	2.980000e-02	1.441319e-03	1.441319e-03
3.400000e+02	3.600000e+02	2.383000e-02	1.202747e-03	1.202747e-03
3.600000e+02	3.800000e+02	1.929000e-02	9.916148e-04	9.916148e-04
3.800000e+02	4.000000e+02	1.544000e-02	8.514693e-04	8.514693e-04
4.000000e+02	4.200000e+02	1.260000e-02	7.441102e-04	7.441102e-04
4.200000e+02	4.400000e+02	1.017000e-02	6.126989e-04	6.126989e-04
4.400000e+02	4.600000e+02	8.413000e-03	5.279451e-04	5.279451e-04
4.600000e+02	4.800000e+02	6.789000e-03	4.254445e-04	4.254445e-04
4.800000e+02	5.000000e+02	5.444000e-03	3.084283e-04	3.084283e-04
5.000000e+02	5.300000e+02	4.455000e-03	2.242967e-04	2.242967e-04
5.300000e+02	5.900000e+02	3.165000e-03	1.766494e-04	1.766494e-04
5.900000e+02	6.800000e+02	1.713000e-03	1.124322e-04	1.124322e-04
6.800000e+02	8.000000e+02	8.514000e-04	6.004423e-05	6.004423e-05
8.000000e+02	1.000000e+03	2.825000e-04	2.661466e-05	2.661466e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d27-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d27-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.000000e+01	7.685000e-03	1.181042e-03	1.181042e-03
8.000000e+01	9.000000e+01	4.863000e-02	6.324405e-03	6.324405e-03
9.000000e+01	1.000000e+02	1.350000e-01	1.578417e-02	1.578417e-02
1.000000e+02	1.100000e+02	2.850000e-01	3.140366e-02	3.140366e-02
1.100000e+02	1.200000e+02	5.212000e-01	4.919411e-02	4.919411e-02
1.200000e+02	1.300000e+02	9.072000e-01	6.740460e-02	6.740460e-02
1.300000e+02	1.400000e+02	8.972000e-01	4.996939e-02	4.996939e-02
1.400000e+02	1.500000e+02	6.505000e-01	3.009335e-02	3.009335e-02
1.500000e+02	1.600000e+02	4.920000e-01	2.246998e-02	2.246998e-02
1.600000e+02	1.700000e+02	3.935000e-01	1.893568e-02	1.893568e-02
1.700000e+02	1.800000e+02	3.220000e-01	1.553609e-02	1.553609e-02
1.800000e+02	1.900000e+02	2.652000e-01	1.272360e-02	1.272360e-02
1.900000e+02	2.000000e+02	2.179000e-01	1.082312e-02	1.082312e-02
2.000000e+02	2.200000e+02	1.670000e-01	8.777813e-03	8.777813e-03
2.200000e+02	2.400000e+02	1.171000e-01	6.186275e-03	6.186275e-03
2.400000e+02	2.600000e+02	8.563000e-02	4.376802e-03	4.376802e-03
2.600000e+02	2.800000e+02	6.431000e-02	3.197218e-03	3.197218e-03
2.800000e+02	3.000000e+02	4.879000e-02	2.423840e-03	2.423840e-03
3.000000e+02	3.200000e+02	3.769000e-02	1.803912e-03	1.803912e-03
3.200000e+02	3.400000e+02	2.980000e-02	1.441319e-03	1.441319e-03
3.400000e+02	3.600000e+02	2.383000e-02	1.202747e-03	1.202747e-03
3.600000e+02	3.800000e+02	1.929000e-02	9.916148e-04	9.916148e-04
3.800000e+02	4.000000e+02	1.544000e-02	8.514693e-04	8.514693e-04
4.000000e+02	4.200000e+02	1.260000e-02	7.441102e-04	7.441102e-04
4.200000e+02	4.400000e+02	1.017000e-02	6.126989e-04	6.126989e-04
4.400000e+02	4.600000e+02	8.413000e-03	5.279451e-04	5.279451e-04
4.600000e+02	4.800000e+02	6.789000e-03	4.254445e-04	4.254445e-04
4.800000e+02	5.000000e+02	5.444000e-03	3.084283e-04	3.084283e-04
5.000000e+02	5.300000e+02	4.455000e-03	2.242967e-04	2.242967e-04
5.300000e+02	5.900000e+02	3.165000e-03	1.766494e-04	1.766494e-04
5.900000e+02	6.800000e+02	1.713000e-03	1.124322e-04	1.124322e-04
6.800000e+02	8.000000e+02	8.514000e-04	6.004423e-05	6.004423e-05
8.000000e+02	1.000000e+03	2.825000e-04	2.661466e-05	2.661466e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d27-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d27-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.000000e+01	7.685000e-03	1.181042e-03	1.181042e-03
8.000000e+01	9.000000e+01	4.863000e-02	6.324405e-03	6.324405e-03
9.000000e+01	1.000000e+02	1.350000e-01	1.578417e-02	1.578417e-02
1.000000e+02	1.100000e+02	2.850000e-01	3.140366e-02	3.140366e-02
1.100000e+02	1.200000e+02	5.212000e-01	4.919411e-02	4.919411e-02
1.200000e+02	1.300000e+02	9.072000e-01	6.740460e-02	6.740460e-02
1.300000e+02	1.400000e+02	8.972000e-01	4.996939e-02	4.996939e-02
1.400000e+02	1.500000e+02	6.505000e-01	3.009335e-02	3.009335e-02
1.500000e+02	1.600000e+02	4.920000e-01	2.246998e-02	2.246998e-02
1.600000e+02	1.700000e+02	3.935000e-01	1.893568e-02	1.893568e-02
1.700000e+02	1.800000e+02	3.220000e-01	1.553609e-02	1.553609e-02
1.800000e+02	1.900000e+02	2.652000e-01	1.272360e-02	1.272360e-02
1.900000e+02	2.000000e+02	2.179000e-01	1.082312e-02	1.082312e-02
2.000000e+02	2.200000e+02	1.670000e-01	8.777813e-03	8.777813e-03
2.200000e+02	2.400000e+02	1.171000e-01	6.186275e-03	6.186275e-03
