# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2013_I1244522/d04-x01-y01 /LHC.yoda/ATLAS_2013_I1244522/d04-x01-y01 /THY/ATLAS_2013_I1244522/d04-x01-y01
YLabelSep=6.0
RatioPlotReference=/REF/ATLAS_2013_I1244522/d04-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$\Delta\phi^{\gamma j}$ [rad]
MainPlot=1
YLabel=$\text{d}\sigma / \text{d}\Delta\phi^{\gamma j}$ [pb]
YTwosidedTicks=1
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1244522/d04-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1244522/d04-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-01	6.900000e+00	1.900000e+00	2.000000e+00
3.200000e-01	6.400000e-01	9.700000e+00	2.000000e+00	1.900000e+00
6.400000e-01	9.600000e-01	1.850000e+01	3.300000e+00	3.500000e+00
9.600000e-01	1.280000e+00	4.100000e+01	6.400000e+00	6.300000e+00
1.280000e+00	1.600000e+00	7.360000e+01	9.900000e+00	1.010000e+01
1.600000e+00	1.920000e+00	1.560000e+02	1.600000e+01	1.700000e+01
1.920000e+00	2.240000e+00	4.120000e+02	3.900000e+01	4.200000e+01
2.240000e+00	2.560000e+00	1.063000e+03	1.020000e+02	1.140000e+02
2.560000e+00	2.880000e+00	2.985000e+03	2.820000e+02	3.290000e+02
2.880000e+00	3.200000e+00	7.518000e+03	6.230000e+02	8.680000e+02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1244522/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1244522/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-01	6.900000e+00	1.900000e+00	2.000000e+00
3.200000e-01	6.400000e-01	9.700000e+00	2.000000e+00	1.900000e+00
6.400000e-01	9.600000e-01	1.850000e+01	3.300000e+00	3.500000e+00
9.600000e-01	1.280000e+00	4.100000e+01	6.400000e+00	6.300000e+00
1.280000e+00	1.600000e+00	7.360000e+01	9.900000e+00	1.010000e+01
1.600000e+00	1.920000e+00	1.560000e+02	1.600000e+01	1.700000e+01
1.920000e+00	2.240000e+00	4.120000e+02	3.900000e+01	4.200000e+01
2.240000e+00	2.560000e+00	1.063000e+03	1.020000e+02	1.140000e+02
2.560000e+00	2.880000e+00	2.985000e+03	2.820000e+02	3.290000e+02
2.880000e+00	3.200000e+00	7.518000e+03	6.230000e+02	8.680000e+02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1244522/d04-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1244522/d04-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-01	6.900000e+00	1.900000e+00	2.000000e+00
3.200000e-01	6.400000e-01	9.700000e+00	2.000000e+00	1.900000e+00
6.400000e-01	9.600000e-01	1.850000e+01	3.300000e+00	3.500000e+00
9.600000e-01	1.280000e+00	4.100000e+01	6.400000e+00	6.300000e+00
1.280000e+00	1.600000e+00	7.360000e+01	9.900000e+00	1.010000e+01
1.600000e+00	1.920000e+00	1.560000e+02	1.600000e+01	1.700000e+01
1.920000e+00	2.240000e+00	4.120000e+02	3.900000e+01	4.200000e+01
2.240000e+00	2.560000e+00	1.063000e+03	1.020000e+02	1.140000e+02
2.560000e+00	2.880000e+00	2.985000e+03	2.820000e+02	3.290000e+02
2.880000e+00	3.200000e+00	7.518000e+03	6.230000e+02	8.680000e+02
# END HISTO1D

