# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2013_I1244522/d05-x01-y01 /LHC.yoda/ATLAS_2013_I1244522/d05-x01-y01 /THY/ATLAS_2013_I1244522/d05-x01-y01
YLabelSep=6.0
Title=without additional cuts
RatioPlotReference=/REF/ATLAS_2013_I1244522/d05-x01-y01
RatioPlot=1
LogY=0
LegendXPos=0.6
XLabel=$|\text{cos}~\theta^{\gamma j}| $
MainPlot=1
YLabel=$\text{d}\sigma / \text{d}|\text{cos}~\theta^{\gamma j}|$ [pb]
YTwosidedTicks=1
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1244522/d05-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1244522/d05-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	5.240000e+03	4.300000e+02	5.240000e+02
1.000000e-01	2.000000e-01	5.030000e+03	4.080000e+02	5.180000e+02
2.000000e-01	3.000000e-01	4.750000e+03	3.970000e+02	4.890000e+02
3.000000e-01	4.000000e-01	4.540000e+03	3.710000e+02	4.810000e+02
4.000000e-01	5.000000e-01	4.240000e+03	3.470000e+02	4.680000e+02
5.000000e-01	6.000000e-01	4.120000e+03	3.540000e+02	4.490000e+02
6.000000e-01	7.000000e-01	3.740000e+03	3.410000e+02	4.090000e+02
7.000000e-01	8.000000e-01	3.420000e+03	3.240000e+02	3.690000e+02
8.000000e-01	9.000000e-01	2.870000e+03	2.990000e+02	3.070000e+02
9.000000e-01	1.000000e+00	1.460000e+03	1.910000e+02	1.650000e+02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1244522/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1244522/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	5.240000e+03	4.300000e+02	5.240000e+02
1.000000e-01	2.000000e-01	5.030000e+03	4.080000e+02	5.180000e+02
2.000000e-01	3.000000e-01	4.750000e+03	3.970000e+02	4.890000e+02
3.000000e-01	4.000000e-01	4.540000e+03	3.710000e+02	4.810000e+02
4.000000e-01	5.000000e-01	4.240000e+03	3.470000e+02	4.680000e+02
5.000000e-01	6.000000e-01	4.120000e+03	3.540000e+02	4.490000e+02
6.000000e-01	7.000000e-01	3.740000e+03	3.410000e+02	4.090000e+02
7.000000e-01	8.000000e-01	3.420000e+03	3.240000e+02	3.690000e+02
8.000000e-01	9.000000e-01	2.870000e+03	2.990000e+02	3.070000e+02
9.000000e-01	1.000000e+00	1.460000e+03	1.910000e+02	1.650000e+02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1244522/d05-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1244522/d05-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	5.240000e+03	4.300000e+02	5.240000e+02
1.000000e-01	2.000000e-01	5.030000e+03	4.080000e+02	5.180000e+02
2.000000e-01	3.000000e-01	4.750000e+03	3.970000e+02	4.890000e+02
3.000000e-01	4.000000e-01	4.540000e+03	3.710000e+02	4.810000e+02
4.000000e-01	5.000000e-01	4.240000e+03	3.470000e+02	4.680000e+02
5.000000e-01	6.000000e-01	4.120000e+03	3.540000e+02	4.490000e+02
6.000000e-01	7.000000e-01	3.740000e+03	3.410000e+02	4.090000e+02
7.000000e-01	8.000000e-01	3.420000e+03	3.240000e+02	3.690000e+02
8.000000e-01	9.000000e-01	2.870000e+03	2.990000e+02	3.070000e+02
9.000000e-01	1.000000e+00	1.460000e+03	1.910000e+02	1.650000e+02
# END HISTO1D

