# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1263495/d01-x02-y01 /LHC.yoda/ATLAS_2013_I1263495/d01-x02-y01 /THY/ATLAS_2013_I1263495/d01-x02-y01
Title=Pseudorapidity of isolated prompt photon, $100 < E_\perp^\gamma < 1000$ GeV
RatioPlotReference=/REF/ATLAS_2013_I1263495/d01-x02-y01
RatioPlot=1
LogY=0
XLabel=$|\eta^\gamma|$ 
MainPlot=1
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta^\gamma$ [pb]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1263495/d01-x02-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1263495/d01-x02-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.720000e+02	9.055385e+00	8.062258e+00
2.000000e-01	4.000000e-01	1.710000e+02	8.062258e+00	8.062258e+00
4.000000e-01	6.000000e-01	1.750000e+02	7.071068e+00	9.055385e+00
6.000000e-01	8.000000e-01	1.770000e+02	6.082763e+00	1.004988e+01
8.000000e-01	1.000000e+00	1.730000e+02	7.071068e+00	9.055385e+00
1.000000e+00	1.200000e+00	1.750000e+02	6.082763e+00	1.104536e+01
1.200000e+00	1.370000e+00	1.760000e+02	6.082763e+00	1.303840e+01
1.520000e+00	1.800000e+00	1.680000e+02	1.104536e+01	1.204159e+01
1.800000e+00	2.000000e+00	1.460000e+02	8.062258e+00	1.004988e+01
2.000000e+00	2.200000e+00	1.410000e+02	7.071068e+00	9.055385e+00
2.200000e+00	2.370000e+00	1.170000e+02	7.071068e+00	7.071068e+00
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1263495/d01-x02-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1263495/d01-x02-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.720000e+02	9.055385e+00	8.062258e+00
2.000000e-01	4.000000e-01	1.710000e+02	8.062258e+00	8.062258e+00
4.000000e-01	6.000000e-01	1.750000e+02	7.071068e+00	9.055385e+00
6.000000e-01	8.000000e-01	1.770000e+02	6.082763e+00	1.004988e+01
8.000000e-01	1.000000e+00	1.730000e+02	7.071068e+00	9.055385e+00
1.000000e+00	1.200000e+00	1.750000e+02	6.082763e+00	1.104536e+01
1.200000e+00	1.370000e+00	1.760000e+02	6.082763e+00	1.303840e+01
1.520000e+00	1.800000e+00	1.680000e+02	1.104536e+01	1.204159e+01
1.800000e+00	2.000000e+00	1.460000e+02	8.062258e+00	1.004988e+01
2.000000e+00	2.200000e+00	1.410000e+02	7.071068e+00	9.055385e+00
2.200000e+00	2.370000e+00	1.170000e+02	7.071068e+00	7.071068e+00
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1263495/d01-x02-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1263495/d01-x02-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.720000e+02	9.055385e+00	8.062258e+00
2.000000e-01	4.000000e-01	1.710000e+02	8.062258e+00	8.062258e+00
4.000000e-01	6.000000e-01	1.750000e+02	7.071068e+00	9.055385e+00
6.000000e-01	8.000000e-01	1.770000e+02	6.082763e+00	1.004988e+01
8.000000e-01	1.000000e+00	1.730000e+02	7.071068e+00	9.055385e+00
1.000000e+00	1.200000e+00	1.750000e+02	6.082763e+00	1.104536e+01
1.200000e+00	1.370000e+00	1.760000e+02	6.082763e+00	1.303840e+01
1.520000e+00	1.800000e+00	1.680000e+02	1.104536e+01	1.204159e+01
1.800000e+00	2.000000e+00	1.460000e+02	8.062258e+00	1.004988e+01
2.000000e+00	2.200000e+00	1.410000e+02	7.071068e+00	9.055385e+00
2.200000e+00	2.370000e+00	1.170000e+02	7.071068e+00	7.071068e+00
# END HISTO1D

