# BEGIN PLOT
DrawOnly=/REF/ATLAS_2014_I1306294_EL/d09-x01-y01 /LHC.yoda/ATLAS_2014_I1306294_EL/d09-x01-y01 /THY/ATLAS_2014_I1306294_EL/d09-x01-y01
Title=$Z + \ge 1$ b-jet, $p_{T}(Z) > 20$ GeV  
RatioPlotReference=/REF/ATLAS_2014_I1306294_EL/d09-x01-y01
RatioPlot=1
LogY=0
XLabel=$\Delta y(Z,b)$
MainPlot=1
YLabel=$\mathrm{d} \sigma(Zb) / \mathrm{d} \Delta y(Z,b) / N_{b\text{-jets}}$ [pb]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1306294_EL/d09-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1306294_EL/d09-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.589466e+00	2.162130e-01	2.166746e-01
2.000000e-01	4.000000e-01	2.561052e+00	2.186084e-01	2.217778e-01
4.000000e-01	6.000000e-01	2.611447e+00	2.147226e-01	2.156454e-01
6.000000e-01	8.000000e-01	2.276628e+00	2.022451e-01	2.138480e-01
8.000000e-01	1.200000e+00	2.151346e+00	1.772141e-01	1.790277e-01
1.200000e+00	1.600000e+00	1.465778e+00	1.142017e-01	1.190447e-01
1.600000e+00	2.000000e+00	1.132133e+00	9.573334e-02	9.652587e-02
2.000000e+00	3.000000e+00	5.162350e-01	4.483444e-02	4.576047e-02
3.000000e+00	5.000000e+00	5.700800e-02	8.426920e-03	8.709304e-03
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1306294_EL/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1306294_EL/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.589466e+00	2.162130e-01	2.166746e-01
2.000000e-01	4.000000e-01	2.561052e+00	2.186084e-01	2.217778e-01
4.000000e-01	6.000000e-01	2.611447e+00	2.147226e-01	2.156454e-01
6.000000e-01	8.000000e-01	2.276628e+00	2.022451e-01	2.138480e-01
8.000000e-01	1.200000e+00	2.151346e+00	1.772141e-01	1.790277e-01
1.200000e+00	1.600000e+00	1.465778e+00	1.142017e-01	1.190447e-01
1.600000e+00	2.000000e+00	1.132133e+00	9.573334e-02	9.652587e-02
2.000000e+00	3.000000e+00	5.162350e-01	4.483444e-02	4.576047e-02
3.000000e+00	5.000000e+00	5.700800e-02	8.426920e-03	8.709304e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1306294_EL/d09-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1306294_EL/d09-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.589466e+00	2.162130e-01	2.166746e-01
2.000000e-01	4.000000e-01	2.561052e+00	2.186084e-01	2.217778e-01
4.000000e-01	6.000000e-01	2.611447e+00	2.147226e-01	2.156454e-01
6.000000e-01	8.000000e-01	2.276628e+00	2.022451e-01	2.138480e-01
8.000000e-01	1.200000e+00	2.151346e+00	1.772141e-01	1.790277e-01
1.200000e+00	1.600000e+00	1.465778e+00	1.142017e-01	1.190447e-01
1.600000e+00	2.000000e+00	1.132133e+00	9.573334e-02	9.652587e-02
2.000000e+00	3.000000e+00	5.162350e-01	4.483444e-02	4.576047e-02
3.000000e+00	5.000000e+00	5.700800e-02	8.426920e-03	8.709304e-03
# END HISTO1D

