# BEGIN PLOT
DrawOnly=/REF/ATLAS_2014_I1306294_MU/d13-x01-y01 /LHC.yoda/ATLAS_2014_I1306294_MU/d13-x01-y01 /THY/ATLAS_2014_I1306294_MU/d13-x01-y01
YLabelSep=7.5
Title=$Z + \ge 1$ b-jet, $p_{T}(Z) > 20$ GeV 
RatioPlotReference=/REF/ATLAS_2014_I1306294_MU/d13-x01-y01
RatioPlot=1
LogY=1
XLabel=$\Delta R(Z,b)$
MainPlot=1
YLabel=$\dfrac{\mathrm{d} \sigma(Zb)}{\mathrm{d} \Delta R(Z,b)} / N_{b\text{-jets}}$ [pb]
Legend=1
RatioPlotYMin=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1306294_MU/d13-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1306294_MU/d13-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.181740e-01	1.480873e-02	1.419724e-02
1.000000e+00	1.500000e+00	2.911160e-01	3.823580e-02	3.832683e-02
1.500000e+00	2.000000e+00	4.790910e-01	5.372285e-02	5.427983e-02
2.000000e+00	2.500000e+00	1.030053e+00	9.660651e-02	9.438799e-02
2.500000e+00	3.000000e+00	2.775920e+00	2.106793e-01	2.101520e-01
3.000000e+00	3.500000e+00	3.315635e+00	2.279009e-01	2.329769e-01
3.500000e+00	4.000000e+00	6.891590e-01	5.657697e-02	5.652066e-02
4.000000e+00	4.500000e+00	1.945390e-01	2.980817e-02	3.157319e-02
4.500000e+00	6.000000e+00	1.418100e-02	4.237419e-03	4.300102e-03
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1306294_MU/d13-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1306294_MU/d13-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.181740e-01	1.480873e-02	1.419724e-02
1.000000e+00	1.500000e+00	2.911160e-01	3.823580e-02	3.832683e-02
1.500000e+00	2.000000e+00	4.790910e-01	5.372285e-02	5.427983e-02
2.000000e+00	2.500000e+00	1.030053e+00	9.660651e-02	9.438799e-02
2.500000e+00	3.000000e+00	2.775920e+00	2.106793e-01	2.101520e-01
3.000000e+00	3.500000e+00	3.315635e+00	2.279009e-01	2.329769e-01
3.500000e+00	4.000000e+00	6.891590e-01	5.657697e-02	5.652066e-02
4.000000e+00	4.500000e+00	1.945390e-01	2.980817e-02	3.157319e-02
4.500000e+00	6.000000e+00	1.418100e-02	4.237419e-03	4.300102e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1306294_MU/d13-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1306294_MU/d13-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.181740e-01	1.480873e-02	1.419724e-02
1.000000e+00	1.500000e+00	2.911160e-01	3.823580e-02	3.832683e-02
1.500000e+00	2.000000e+00	4.790910e-01	5.372285e-02	5.427983e-02
2.000000e+00	2.500000e+00	1.030053e+00	9.660651e-02	9.438799e-02
2.500000e+00	3.000000e+00	2.775920e+00	2.106793e-01	2.101520e-01
3.000000e+00	3.500000e+00	3.315635e+00	2.279009e-01	2.329769e-01
3.500000e+00	4.000000e+00	6.891590e-01	5.657697e-02	5.652066e-02
4.000000e+00	4.500000e+00	1.945390e-01	2.980817e-02	3.157319e-02
4.500000e+00	6.000000e+00	1.418100e-02	4.237419e-03	4.300102e-03
# END HISTO1D

