# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d21-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d21-x01-y02 /THY/ATLAS_2014_I1319490_EL/d21-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d21-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 4j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d21-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d21-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.900000e+02	2.000000e+02	7.438000e-05	7.079696e-04	7.079696e-04
2.000000e+02	2.200000e+02	1.171000e-03	7.261797e-04	7.261797e-04
2.200000e+02	2.400000e+02	4.459000e-03	1.755093e-03	1.755093e-03
2.400000e+02	2.600000e+02	7.633000e-03	2.335091e-03	2.335091e-03
2.600000e+02	2.800000e+02	1.043000e-02	2.702517e-03	2.702517e-03
2.800000e+02	3.000000e+02	1.215000e-02	2.886590e-03	2.886590e-03
3.000000e+02	3.200000e+02	1.376000e-02	3.355726e-03	3.355726e-03
3.200000e+02	3.400000e+02	1.352000e-02	3.441235e-03	3.441235e-03
3.400000e+02	3.600000e+02	1.220000e-02	3.059690e-03	3.059690e-03
3.600000e+02	3.800000e+02	1.100000e-02	2.617117e-03	2.617117e-03
3.800000e+02	4.000000e+02	1.072000e-02	2.471518e-03	2.471518e-03
4.000000e+02	4.200000e+02	1.006000e-02	2.287597e-03	2.287597e-03
4.200000e+02	4.400000e+02	9.161000e-03	2.163809e-03	2.163809e-03
4.400000e+02	4.600000e+02	8.475000e-03	2.010601e-03	2.010601e-03
4.600000e+02	4.800000e+02	7.593000e-03	1.811113e-03	1.811113e-03
4.800000e+02	5.000000e+02	6.644000e-03	1.564458e-03	1.564458e-03
5.000000e+02	5.300000e+02	5.515000e-03	1.316970e-03	1.316970e-03
5.300000e+02	5.900000e+02	4.044000e-03	1.027754e-03	1.027754e-03
5.900000e+02	6.800000e+02	2.469000e-03	6.802228e-04	6.802228e-04
6.800000e+02	1.000000e+03	8.035000e-04	2.008004e-04	2.008004e-04
1.000000e+03	1.400000e+03	1.139000e-04	3.351447e-05	3.351447e-05
1.400000e+03	2.000000e+03	7.679000e-06	7.337203e-06	7.337203e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d21-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d21-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.900000e+02	2.000000e+02	7.438000e-05	7.079696e-04	7.079696e-04
2.000000e+02	2.200000e+02	1.171000e-03	7.261797e-04	7.261797e-04
2.200000e+02	2.400000e+02	4.459000e-03	1.755093e-03	1.755093e-03
2.400000e+02	2.600000e+02	7.633000e-03	2.335091e-03	2.335091e-03
2.600000e+02	2.800000e+02	1.043000e-02	2.702517e-03	2.702517e-03
2.800000e+02	3.000000e+02	1.215000e-02	2.886590e-03	2.886590e-03
3.000000e+02	3.200000e+02	1.376000e-02	3.355726e-03	3.355726e-03
3.200000e+02	3.400000e+02	1.352000e-02	3.441235e-03	3.441235e-03
3.400000e+02	3.600000e+02	1.220000e-02	3.059690e-03	3.059690e-03
3.600000e+02	3.800000e+02	1.100000e-02	2.617117e-03	2.617117e-03
3.800000e+02	4.000000e+02	1.072000e-02	2.471518e-03	2.471518e-03
4.000000e+02	4.200000e+02	1.006000e-02	2.287597e-03	2.287597e-03
4.200000e+02	4.400000e+02	9.161000e-03	2.163809e-03	2.163809e-03
4.400000e+02	4.600000e+02	8.475000e-03	2.010601e-03	2.010601e-03
4.600000e+02	4.800000e+02	7.593000e-03	1.811113e-03	1.811113e-03
4.800000e+02	5.000000e+02	6.644000e-03	1.564458e-03	1.564458e-03
5.000000e+02	5.300000e+02	5.515000e-03	1.316970e-03	1.316970e-03
5.300000e+02	5.900000e+02	4.044000e-03	1.027754e-03	1.027754e-03
5.900000e+02	6.800000e+02	2.469000e-03	6.802228e-04	6.802228e-04
6.800000e+02	1.000000e+03	8.035000e-04	2.008004e-04	2.008004e-04
1.000000e+03	1.400000e+03	1.139000e-04	3.351447e-05	3.351447e-05
1.400000e+03	2.000000e+03	7.679000e-06	7.337203e-06	7.337203e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d21-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d21-x01-y02
Title=[20]  0.30
# xlow	 xhigh	 val	 errminus	 errplus
1.900000e+02	2.000000e+02	7.438000e-05	7.079696e-04	7.079696e-04
2.000000e+02	2.200000e+02	1.171000e-03	7.261797e-04	7.261797e-04
2.200000e+02	2.400000e+02	4.459000e-03	1.755093e-03	1.755093e-03
2.400000e+02	2.600000e+02	7.633000e-03	2.335091e-03	2.335091e-03
2.600000e+02	2.800000e+02	1.043000e-02	2.702517e-03	2.702517e-03
2.800000e+02	3.000000e+02	1.215000e-02	2.886590e-03	2.886590e-03
3.000000e+02	3.200000e+02	1.376000e-02	3.355726e-03	3.355726e-03
3.200000e+02	3.400000e+02	1.352000e-02	3.441235e-03	3.441235e-03
3.400000e+02	3.600000e+02	1.220000e-02	3.059690e-03	3.059690e-03
3.600000e+02	3.800000e+02	1.100000e-02	2.617117e-03	2.617117e-03
3.800000e+02	4.000000e+02	1.072000e-02	2.471518e-03	2.471518e-03
4.000000e+02	4.200000e+02	1.006000e-02	2.287597e-03	2.287597e-03
4.200000e+02	4.400000e+02	9.161000e-03	2.163809e-03	2.163809e-03
4.400000e+02	4.600000e+02	8.475000e-03	2.010601e-03	2.010601e-03
4.600000e+02	4.800000e+02	7.593000e-03	1.811113e-03	1.811113e-03
4.800000e+02	5.000000e+02	6.644000e-03	1.564458e-03	1.564458e-03
5.000000e+02	5.300000e+02	5.515000e-03	1.316970e-03	1.316970e-03
5.300000e+02	5.900000e+02	4.044000e-03	1.027754e-03	1.027754e-03
5.900000e+02	6.800000e+02	2.469000e-03	6.802228e-04	6.802228e-04
6.800000e+02	1.000000e+03	9.033300e-04	3.006304e-04	3.006304e-04
1.000000e+03	1.400000e+03	1.139000e-04	3.351447e-05	3.351447e-05
1.400000e+03	2.000000e+03	7.679000e-06	7.337203e-06	7.337203e-06
# END HISTO1D

