# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d05-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d05-x01-y03 /THY/ATLAS_2014_I1319490_MU/d05-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d05-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$p^j_\text{T}$ (leading jet) [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 1j} / \text{d}p^j_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d05-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d05-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.261000e+01	2.890173e+00	2.890173e+00
3.500000e+01	4.000000e+01	1.607000e+01	1.298114e+00	1.298114e+00
4.000000e+01	5.000000e+01	1.027000e+01	6.661081e-01	6.661081e-01
5.000000e+01	6.000000e+01	5.934000e+00	3.832480e-01	3.832480e-01
6.000000e+01	7.000000e+01	3.691000e+00	2.453120e-01	2.453120e-01
7.000000e+01	8.000000e+01	2.453000e+00	1.634901e-01	1.634901e-01
8.000000e+01	1.000000e+02	1.441000e+00	9.725739e-02	9.725739e-02
1.000000e+02	1.200000e+02	7.504000e-01	5.153077e-02	5.153077e-02
1.200000e+02	1.400000e+02	4.227000e-01	2.884632e-02	2.884632e-02
1.400000e+02	1.600000e+02	2.561000e-01	1.747055e-02	1.747055e-02
1.600000e+02	1.800000e+02	1.556000e-01	1.059953e-02	1.059953e-02
1.800000e+02	2.000000e+02	9.742000e-02	6.701418e-03	6.701418e-03
2.000000e+02	2.200000e+02	6.504000e-02	4.745767e-03	4.745767e-03
2.200000e+02	2.500000e+02	4.030000e-02	2.854085e-03	2.854085e-03
2.500000e+02	2.800000e+02	2.160000e-02	1.423763e-03	1.423763e-03
2.800000e+02	3.100000e+02	1.298000e-02	9.623929e-04	9.623929e-04
3.100000e+02	3.400000e+02	8.538000e-03	6.780553e-04	6.780553e-04
3.400000e+02	3.700000e+02	5.631000e-03	3.954466e-04	3.954466e-04
3.700000e+02	4.000000e+02	3.949000e-03	3.120208e-04	3.120208e-04
4.000000e+02	4.500000e+02	2.313000e-03	2.182155e-04	2.182155e-04
4.500000e+02	5.000000e+02	1.326000e-03	1.702263e-04	1.702263e-04
5.000000e+02	5.500000e+02	6.823000e-04	9.785673e-05	9.785673e-05
5.500000e+02	7.000000e+02	2.946000e-04	5.317434e-05	5.317434e-05
7.000000e+02	8.500000e+02	6.735000e-05	1.910796e-05	1.910796e-05
8.500000e+02	1.000000e+03	2.013000e-05	1.306841e-05	1.306841e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d05-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d05-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.261000e+01	2.890173e+00	2.890173e+00
3.500000e+01	4.000000e+01	1.607000e+01	1.298114e+00	1.298114e+00
4.000000e+01	5.000000e+01	1.027000e+01	6.661081e-01	6.661081e-01
