# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d14-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d14-x01-y03 /THY/ATLAS_2014_I1319490_MU/d14-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d14-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$|y^j|$ (subleading jet)
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}y^j$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d14-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d14-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.038000e+01	3.517698e+00	3.517698e+00
2.000000e-01	4.000000e-01	5.029000e+01	3.737312e+00	3.737312e+00
4.000000e-01	6.000000e-01	4.830000e+01	3.450956e+00	3.450956e+00
6.000000e-01	8.000000e-01	4.739000e+01	3.430379e+00	3.430379e+00
8.000000e-01	1.000000e+00	4.505000e+01	3.351388e+00	3.351388e+00
1.000000e+00	1.200000e+00	4.208000e+01	3.410293e+00	3.410293e+00
1.200000e+00	1.400000e+00	3.995000e+01	3.394554e+00	3.394554e+00
1.400000e+00	1.600000e+00	3.679000e+01	3.071449e+00	3.071449e+00
1.600000e+00	1.800000e+00	3.134000e+01	2.627470e+00	2.627470e+00
1.800000e+00	2.000000e+00	2.898000e+01	2.703276e+00	2.703276e+00
2.000000e+00	2.200000e+00	2.555000e+01	2.363789e+00	2.363789e+00
2.200000e+00	2.400000e+00	2.234000e+01	2.256679e+00	2.256679e+00
2.400000e+00	2.600000e+00	1.823000e+01	2.445302e+00	2.445302e+00
2.600000e+00	2.800000e+00	1.572000e+01	2.470364e+00	2.470364e+00
2.800000e+00	3.000000e+00	1.431000e+01	2.788548e+00	2.788548e+00
3.000000e+00	3.400000e+00	9.002000e+00	1.614058e+00	1.614058e+00
3.400000e+00	3.800000e+00	4.387000e+00	1.012223e+00	1.012223e+00
3.800000e+00	4.400000e+00	1.532000e+00	4.751568e-01	4.751568e-01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d14-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d14-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.038000e+01	3.517698e+00	3.517698e+00
2.000000e-01	4.000000e-01	5.029000e+01	3.737312e+00	3.737312e+00
4.000000e-01	6.000000e-01	4.830000e+01	3.450956e+00	3.450956e+00
6.000000e-01	8.000000e-01	4.739000e+01	3.430379e+00	3.430379e+00
8.000000e-01	1.000000e+00	4.505000e+01	3.351388e+00	3.351388e+00
1.000000e+00	1.200000e+00	4.208000e+01	3.410293e+00	3.410293e+00
1.200000e+00	1.400000e+00	3.995000e+01	3.394554e+00	3.394554e+00
1.400000e+00	1.600000e+00	3.679000e+01	3.071449e+00	3.071449e+00
1.600000e+00	1.800000e+00	3.134000e+01	2.627470e+00	2.627470e+00
1.800000e+00	2.000000e+00	2.898000e+01	2.703276e+00	2.703276e+00
2.000000e+00	2.200000e+00	2.555000e+01	2.363789e+00	2.363789e+00
2.200000e+00	2.400000e+00	2.234000e+01	2.256679e+00	2.256679e+00
2.400000e+00	2.600000e+00	1.823000e+01	2.445302e+00	2.445302e+00
2.600000e+00	2.800000e+00	1.572000e+01	2.470364e+00	2.470364e+00
2.800000e+00	3.000000e+00	1.431000e+01	2.788548e+00	2.788548e+00
3.000000e+00	3.400000e+00	9.002000e+00	1.614058e+00	1.614058e+00
3.400000e+00	3.800000e+00	4.387000e+00	1.012223e+00	1.012223e+00
3.800000e+00	4.400000e+00	1.532000e+00	4.751568e-01	4.751568e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d14-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d14-x01-y03
Title=[2]  0.03
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.038000e+01	3.517698e+00	3.517698e+00
2.000000e-01	4.000000e-01	5.044973e+01	3.897040e+00	3.897040e+00
4.000000e-01	6.000000e-01	4.830000e+01	3.450956e+00	3.450956e+00
6.000000e-01	8.000000e-01	4.739000e+01	3.430379e+00	3.430379e+00
8.000000e-01	1.000000e+00	4.505000e+01	3.351388e+00	3.351388e+00
1.000000e+00	1.200000e+00	4.208000e+01	3.410293e+00	3.410293e+00
1.200000e+00	1.400000e+00	3.995000e+01	3.394554e+00	3.394554e+00
1.400000e+00	1.600000e+00	3.679000e+01	3.071449e+00	3.071449e+00
1.600000e+00	1.800000e+00	3.134000e+01	2.627470e+00	2.627470e+00
1.800000e+00	2.000000e+00	2.898000e+01	2.703276e+00	2.703276e+00
2.000000e+00	2.200000e+00	2.555000e+01	2.363789e+00	2.363789e+00
2.200000e+00	2.400000e+00	2.234000e+01	2.256679e+00	2.256679e+00
2.400000e+00	2.600000e+00	1.823000e+01	2.445302e+00	2.445302e+00
2.600000e+00	2.800000e+00	1.572000e+01	2.470364e+00	2.470364e+00
2.800000e+00	3.000000e+00	1.431000e+01	2.788548e+00	2.788548e+00
3.000000e+00	3.400000e+00	9.002000e+00	1.614058e+00	1.614058e+00
3.400000e+00	3.800000e+00	4.387000e+00	1.012223e+00	1.012223e+00
3.800000e+00	4.400000e+00	1.532000e+00	4.751568e-01	4.751568e-01
# END HISTO1D

