# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d22-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d22-x01-y03 /THY/ATLAS_2014_I1319490_MU/d22-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d22-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 5j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d22-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d22-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
2.400000e+02	2.600000e+02	2.749000e-04	5.049757e-04	5.049757e-04
2.600000e+02	2.800000e+02	3.751000e-04	2.378327e-04	2.378327e-04
2.800000e+02	3.000000e+02	9.020000e-04	4.101508e-04	4.101508e-04
3.000000e+02	3.200000e+02	1.338000e-03	4.952060e-04	4.952060e-04
3.200000e+02	3.400000e+02	1.757000e-03	7.043934e-04	7.043934e-04
3.400000e+02	3.600000e+02	2.288000e-03	8.053297e-04	8.053297e-04
3.600000e+02	3.800000e+02	2.268000e-03	7.879156e-04	7.879156e-04
3.800000e+02	4.000000e+02	2.465000e-03	8.597593e-04	8.597593e-04
4.000000e+02	4.200000e+02	2.484000e-03	8.781879e-04	8.781879e-04
4.200000e+02	4.400000e+02	2.429000e-03	8.900371e-04	8.900371e-04
4.400000e+02	4.600000e+02	2.437000e-03	8.972642e-04	8.972642e-04
4.600000e+02	4.800000e+02	2.060000e-03	7.843991e-04	7.843991e-04
4.800000e+02	5.000000e+02	2.179000e-03	8.525157e-04	8.525157e-04
5.000000e+02	5.300000e+02	1.941000e-03	7.624952e-04	7.624952e-04
5.300000e+02	5.900000e+02	1.612000e-03	6.004082e-04	6.004082e-04
5.900000e+02	6.800000e+02	1.184000e-03	4.052925e-04	4.052925e-04
6.800000e+02	1.000000e+03	4.086000e-04	1.287663e-04	1.287663e-04
1.000000e+03	1.400000e+03	7.286000e-05	3.097084e-05	3.097084e-05
1.400000e+03	2.000000e+03	7.388000e-06	4.272193e-06	4.272193e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d22-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
