# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d36-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d36-x01-y03 /THY/ATLAS_2014_I1319490_MU/d36-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d36-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 5j} / \text{d}S_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d36-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d36-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.700000e+02	1.800000e+02	2.421000e-04	1.604648e-03	1.604648e-03
1.800000e+02	1.900000e+02	4.998000e-04	3.658398e-04	3.658398e-04
1.900000e+02	2.000000e+02	6.992000e-04	3.128071e-04	3.128071e-04
2.000000e+02	2.200000e+02	1.418000e-03	4.652139e-04	4.652139e-04
2.200000e+02	2.400000e+02	2.149000e-03	7.749335e-04	7.749335e-04
2.400000e+02	2.600000e+02	2.866000e-03	1.028906e-03	1.028906e-03
2.600000e+02	2.800000e+02	3.053000e-03	1.142766e-03	1.142766e-03
2.800000e+02	3.000000e+02	2.669000e-03	1.073835e-03	1.073835e-03
3.000000e+02	3.200000e+02	2.751000e-03	1.001900e-03	1.001900e-03
3.200000e+02	3.400000e+02	2.821000e-03	9.969624e-04	9.969624e-04
3.400000e+02	3.600000e+02	2.732000e-03	1.000311e-03	1.000311e-03
3.600000e+02	3.800000e+02	2.349000e-03	9.159274e-04	9.159274e-04
3.800000e+02	4.000000e+02	1.910000e-03	8.333991e-04	8.333991e-04
4.000000e+02	4.400000e+02	1.823000e-03	7.591653e-04	7.591653e-04
4.400000e+02	5.000000e+02	1.590000e-03	5.717561e-04	5.717561e-04
5.000000e+02	6.500000e+02	8.350000e-04	2.616101e-04	2.616101e-04
6.500000e+02	1.000000e+03	2.061000e-04	6.926810e-05	6.926810e-05
1.000000e+03	1.400000e+03	2.588000e-05	1.539730e-05	1.539730e-05
1.400000e+03	2.000000e+03	2.430000e-06	2.184185e-06	2.184185e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d36-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d36-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.700000e+02	1.800000e+02	2.421000e-04	1.604648e-03	1.604648e-03
1.800000e+02	1.900000e+02	4.998000e-04	3.658398e-04	3.658398e-04
1.900000e+02	2.000000e+02	6.992000e-04	3.128071e-04	3.128071e-04
2.000000e+02	2.200000e+02	1.418000e-03	4.652139e-04	4.652139e-04
2.200000e+02	2.400000e+02	2.149000e-03	7.749335e-04	7.749335e-04
2.400000e+02	2.600000e+02	2.866000e-03	1.028906e-03	1.028906e-03
2.600000e+02	2.800000e+02	3.053000e-03	1.142766e-03	1.142766e-03
2.800000e+02	3.000000e+02	2.669000e-03	1.073835e-03	1.073835e-03
3.000000e+02	3.200000e+02	2.751000e-03	1.001900e-03	1.001900e-03
3.200000e+02	3.400000e+02	2.821000e-03	9.969624e-04	9.969624e-04
3.400000e+02	3.600000e+02	2.732000e-03	1.000311e-03	1.000311e-03
3.600000e+02	3.800000e+02	2.349000e-03	9.159274e-04	9.159274e-04
3.800000e+02	4.000000e+02	1.910000e-03	8.333991e-04	8.333991e-04
4.000000e+02	4.400000e+02	1.823000e-03	7.591653e-04	7.591653e-04
4.400000e+02	5.000000e+02	1.590000e-03	5.717561e-04	5.717561e-04
5.000000e+02	6.500000e+02	8.350000e-04	2.616101e-04	2.616101e-04
6.500000e+02	1.000000e+03	2.061000e-04	6.926810e-05	6.926810e-05
1.000000e+03	1.400000e+03	2.588000e-05	1.539730e-05	1.539730e-05
1.400000e+03	2.000000e+03	2.430000e-06	2.184185e-06	2.184185e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d36-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d36-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.700000e+02	1.800000e+02	2.421000e-04	1.604648e-03	1.604648e-03
1.800000e+02	1.900000e+02	4.998000e-04	3.658398e-04	3.658398e-04
1.900000e+02	2.000000e+02	6.992000e-04	3.128071e-04	3.128071e-04
2.000000e+02	2.200000e+02	1.418000e-03	4.652139e-04	4.652139e-04
2.200000e+02	2.400000e+02	2.149000e-03	7.749335e-04	7.749335e-04
2.400000e+02	2.600000e+02	2.866000e-03	1.028906e-03	1.028906e-03
2.600000e+02	2.800000e+02	3.053000e-03	1.142766e-03	1.142766e-03
2.800000e+02	3.000000e+02	2.669000e-03	1.073835e-03	1.073835e-03
3.000000e+02	3.200000e+02	2.751000e-03	1.001900e-03	1.001900e-03
3.200000e+02	3.400000e+02	2.821000e-03	9.969624e-04	9.969624e-04
3.400000e+02	3.600000e+02	2.732000e-03	1.000311e-03	1.000311e-03
3.600000e+02	3.800000e+02	2.349000e-03	9.159274e-04	9.159274e-04
3.800000e+02	4.000000e+02	1.910000e-03	8.333991e-04	8.333991e-04
4.000000e+02	4.400000e+02	1.823000e-03	7.591653e-04	7.591653e-04
4.400000e+02	5.000000e+02	1.590000e-03	5.717561e-04	5.717561e-04
5.000000e+02	6.500000e+02	8.350000e-04	2.616101e-04	2.616101e-04
6.500000e+02	1.000000e+03	2.973731e-04	1.605412e-04	1.605412e-04
1.000000e+03	1.400000e+03	2.588000e-05	1.539730e-05	1.539730e-05
1.400000e+03	2.000000e+03	2.430000e-06	2.184185e-06	2.184185e-06
# END HISTO1D

