# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1345452/d01-x01-y02 /LHC.yoda/ATLAS_2015_I1345452/d01-x01-y02 /THY/ATLAS_2015_I1345452/d01-x01-y02
YLabelSep=8.0
Title=muon channel
RatioPlotReference=/REF/ATLAS_2015_I1345452/d01-x01-y02
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Expected/Data
LegendXPos=0.6
XLabel=$p_\text{T} (\hat{t}_\text{h})$ [GeV]
MainPlot=1
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}p_\text{T}(\hat{t}_\text{h})}$ [$\dfrac{\text{pb}}{\text{GeV}}$]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1345452/d01-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2015_I1345452/d01-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.500000e+01	1.300000e-02	1.206831e-03	1.206831e-03
4.500000e+01	9.000000e+01	3.100000e-02	2.654621e-03	2.654621e-03
9.000000e+01	1.200000e+02	3.300000e-02	3.025040e-03	3.025040e-03
1.200000e+02	1.500000e+02	2.500000e-02	2.475253e-03	2.475253e-03
1.500000e+02	1.800000e+02	1.700000e-02	2.032904e-03	2.032904e-03
1.800000e+02	2.200000e+02	1.000000e-02	1.318825e-03	1.318825e-03
2.200000e+02	2.600000e+02	5.700000e-03	9.180009e-04	9.180009e-04
2.600000e+02	3.000000e+02	3.000000e-03	4.047777e-04	4.047777e-04
3.000000e+02	3.500000e+02	1.400000e-03	2.529665e-04	2.529665e-04
3.500000e+02	8.000000e+02	1.200000e-04	2.889783e-05	2.889783e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2015_I1345452/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2015_I1345452/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.500000e+01	1.300000e-02	1.206831e-03	1.206831e-03
4.500000e+01	9.000000e+01	3.100000e-02	2.654621e-03	2.654621e-03
9.000000e+01	1.200000e+02	3.300000e-02	3.025040e-03	3.025040e-03
1.200000e+02	1.500000e+02	2.500000e-02	2.475253e-03	2.475253e-03
1.500000e+02	1.800000e+02	1.700000e-02	2.032904e-03	2.032904e-03
1.800000e+02	2.200000e+02	1.000000e-02	1.318825e-03	1.318825e-03
2.200000e+02	2.600000e+02	5.700000e-03	9.180009e-04	9.180009e-04
2.600000e+02	3.000000e+02	3.000000e-03	4.047777e-04	4.047777e-04
3.000000e+02	3.500000e+02	1.400000e-03	2.529665e-04	2.529665e-04
3.500000e+02	8.000000e+02	1.200000e-04	2.889783e-05	2.889783e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2015_I1345452/d01-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2015_I1345452/d01-x01-y02
Title=[5]  0.30
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.500000e+01	1.300000e-02	1.206831e-03	1.206831e-03
4.500000e+01	9.000000e+01	3.100000e-02	2.654621e-03	2.654621e-03
9.000000e+01	1.200000e+02	3.300000e-02	3.025040e-03	3.025040e-03
1.200000e+02	1.500000e+02	2.500000e-02	2.475253e-03	2.475253e-03
1.500000e+02	1.800000e+02	1.806485e-02	3.097757e-03	3.097757e-03
1.800000e+02	2.200000e+02	1.000000e-02	1.318825e-03	1.318825e-03
2.200000e+02	2.600000e+02	5.700000e-03	9.180009e-04	9.180009e-04
2.600000e+02	3.000000e+02	3.000000e-03	4.047777e-04	4.047777e-04
3.000000e+02	3.500000e+02	1.400000e-03	2.529665e-04	2.529665e-04
3.500000e+02	8.000000e+02	1.200000e-04	2.889783e-05	2.889783e-05
# END HISTO1D

