# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d57-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d57-x01-y01 /THY/CMS_2013_I1224539_WJET/d57-x01-y01
XMax=150.0
Title=Filtered AK7 $W$+jets, $p_{T,j}$ = 150--220 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d57-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d57-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d57-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	7.292000e-01	7.733235e-01	7.733235e-01
1.000000e+01	2.000000e+01	2.005300e+01	1.838048e+00	1.838048e+00
2.000000e+01	3.000000e+01	3.877100e+01	2.252488e+00	2.252488e+00
3.000000e+01	4.000000e+01	2.310600e+01	1.540344e+00	1.540344e+00
4.000000e+01	5.000000e+01	9.979400e+00	8.268980e-01	8.268980e-01
5.000000e+01	6.000000e+01	4.892300e+00	4.120837e-01	4.120837e-01
6.000000e+01	7.000000e+01	1.898600e+00	2.543022e-01	2.543022e-01
7.000000e+01	8.000000e+01	4.621000e-01	1.503836e-01	1.503836e-01
8.000000e+01	9.000000e+01	1.021000e-01	5.372011e-02	5.372011e-02
9.000000e+01	1.000000e+02	6.917000e-03	2.047852e-02	2.047852e-02
1.000000e+02	1.100000e+02	0.000000e+00	6.324555e-04	6.324555e-04
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d57-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d57-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	7.292000e-01	7.733235e-01	7.733235e-01
1.000000e+01	2.000000e+01	2.005300e+01	1.838048e+00	1.838048e+00
2.000000e+01	3.000000e+01	3.877100e+01	2.252488e+00	2.252488e+00
3.000000e+01	4.000000e+01	2.310600e+01	1.540344e+00	1.540344e+00
4.000000e+01	5.000000e+01	9.979400e+00	8.268980e-01	8.268980e-01
5.000000e+01	6.000000e+01	4.892300e+00	4.120837e-01	4.120837e-01
6.000000e+01	7.000000e+01	1.898600e+00	2.543022e-01	2.543022e-01
7.000000e+01	8.000000e+01	4.621000e-01	1.503836e-01	1.503836e-01
8.000000e+01	9.000000e+01	1.021000e-01	5.372011e-02	5.372011e-02
9.000000e+01	1.000000e+02	6.917000e-03	2.047852e-02	2.047852e-02
1.000000e+02	1.100000e+02	0.000000e+00	6.324555e-04	6.324555e-04
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d57-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d57-x01-y01
Title=[3]  0.33
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	7.292000e-01	7.733235e-01	7.733235e-01
1.000000e+01	2.000000e+01	2.005300e+01	1.838048e+00	1.838048e+00
2.000000e+01	3.000000e+01	4.015994e+01	3.641427e+00	3.641427e+00
3.000000e+01	4.000000e+01	2.310600e+01	1.540344e+00	1.540344e+00
4.000000e+01	5.000000e+01	9.979400e+00	8.268980e-01	8.268980e-01
5.000000e+01	6.000000e+01	4.892300e+00	4.120837e-01	4.120837e-01
6.000000e+01	7.000000e+01	1.898600e+00	2.543022e-01	2.543022e-01
7.000000e+01	8.000000e+01	4.621000e-01	1.503836e-01	1.503836e-01
8.000000e+01	9.000000e+01	1.021000e-01	5.372011e-02	5.372011e-02
9.000000e+01	1.000000e+02	6.917000e-03	2.047852e-02	2.047852e-02
1.000000e+02	1.100000e+02	0.000000e+00	6.324555e-04	6.324555e-04
# END HISTO1D

