# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d66-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d66-x01-y01 /THY/CMS_2013_I1224539_WJET/d66-x01-y01
XMax=150.0
Title=Pruned AK7 $W$+jets, $p_{T,j}$ = 220--300 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d66-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d66-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d66-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.014200e+01	3.318383e+00	3.318383e+00
1.000000e+01	2.000000e+01	2.618700e+01	2.825955e+00	2.825955e+00
2.000000e+01	3.000000e+01	1.159300e+01	1.348382e+00	1.348382e+00
3.000000e+01	4.000000e+01	7.738100e+00	9.224594e-01	9.224594e-01
4.000000e+01	5.000000e+01	7.006500e+00	6.462283e-01	6.462283e-01
5.000000e+01	6.000000e+01	6.232800e+00	5.832161e-01	5.832161e-01
6.000000e+01	7.000000e+01	4.518500e+00	5.274776e-01	5.274776e-01
7.000000e+01	8.000000e+01	3.655800e+00	5.337160e-01	5.337160e-01
8.000000e+01	9.000000e+01	1.828600e+00	4.274939e-01	4.274939e-01
9.000000e+01	1.000000e+02	7.291000e-01	2.334939e-01	2.334939e-01
1.000000e+02	1.100000e+02	2.332000e-01	1.269433e-01	1.269433e-01
1.100000e+02	1.200000e+02	1.065000e-01	6.708353e-02	6.708353e-02
1.300000e+02	1.400000e+02	2.290000e-02	2.240520e-02	2.240520e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d66-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d66-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.014200e+01	3.318383e+00	3.318383e+00
1.000000e+01	2.000000e+01	2.618700e+01	2.825955e+00	2.825955e+00
2.000000e+01	3.000000e+01	1.159300e+01	1.348382e+00	1.348382e+00
3.000000e+01	4.000000e+01	7.738100e+00	9.224594e-01	9.224594e-01
4.000000e+01	5.000000e+01	7.006500e+00	6.462283e-01	6.462283e-01
5.000000e+01	6.000000e+01	6.232800e+00	5.832161e-01	5.832161e-01
6.000000e+01	7.000000e+01	4.518500e+00	5.274776e-01	5.274776e-01
7.000000e+01	8.000000e+01	3.655800e+00	5.337160e-01	5.337160e-01
8.000000e+01	9.000000e+01	1.828600e+00	4.274939e-01	4.274939e-01
9.000000e+01	1.000000e+02	7.291000e-01	2.334939e-01	2.334939e-01
1.000000e+02	1.100000e+02	2.332000e-01	1.269433e-01	1.269433e-01
1.100000e+02	1.200000e+02	1.065000e-01	6.708353e-02	6.708353e-02
1.300000e+02	1.400000e+02	2.290000e-02	2.240520e-02	2.240520e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d66-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d66-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.014200e+01	3.318383e+00	3.318383e+00
1.000000e+01	2.000000e+01	2.618700e+01	2.825955e+00	2.825955e+00
2.000000e+01	3.000000e+01	1.159300e+01	1.348382e+00	1.348382e+00
3.000000e+01	4.000000e+01	7.738100e+00	9.224594e-01	9.224594e-01
4.000000e+01	5.000000e+01	7.006500e+00	6.462283e-01	6.462283e-01
5.000000e+01	6.000000e+01	6.232800e+00	5.832161e-01	5.832161e-01
6.000000e+01	7.000000e+01	4.518500e+00	5.274776e-01	5.274776e-01
7.000000e+01	8.000000e+01	3.655800e+00	5.337160e-01	5.337160e-01
8.000000e+01	9.000000e+01	1.828600e+00	4.274939e-01	4.274939e-01
9.000000e+01	1.000000e+02	7.291000e-01	2.334939e-01	2.334939e-01
1.000000e+02	1.100000e+02	2.332000e-01	1.269433e-01	1.269433e-01
1.100000e+02	1.200000e+02	1.065000e-01	6.708353e-02	6.708353e-02
1.300000e+02	1.400000e+02	2.290000e-02	2.240520e-02	2.240520e-02
# END HISTO1D

