# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d46-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d46-x01-y01 /THY/CMS_2013_I1224539_ZJET/d46-x01-y01
XMax=150.0
Title=Pruned CA8 $Z$+jets, $p_{T,j}$ = 150--220 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d46-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d46-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d46-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.207300e+01	2.844085e+00	2.844085e+00
1.000000e+01	2.000000e+01	2.599400e+01	2.374187e+00	2.374187e+00
2.000000e+01	3.000000e+01	1.213200e+01	1.241496e+00	1.241496e+00
3.000000e+01	4.000000e+01	8.477000e+00	7.492796e-01	7.492796e-01
4.000000e+01	5.000000e+01	7.697000e+00	5.251750e-01	5.251750e-01
5.000000e+01	6.000000e+01	6.021900e+00	4.379959e-01	4.379959e-01
6.000000e+01	7.000000e+01	4.216700e+00	3.605938e-01	3.605938e-01
7.000000e+01	8.000000e+01	1.997600e+00	2.750535e-01	2.750535e-01
8.000000e+01	9.000000e+01	9.051000e-01	1.846989e-01	1.846989e-01
9.000000e+01	1.000000e+02	4.462000e-01	1.129440e-01	1.129440e-01
1.000000e+02	1.100000e+02	3.962000e-02	7.505052e-02	7.505052e-02
1.100000e+02	1.200000e+02	0.000000e+00	3.667424e-03	3.667424e-03
1.200000e+02	1.300000e+02	0.000000e+00	7.856844e-03	7.856844e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d46-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d46-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.207300e+01	2.844085e+00	2.844085e+00
1.000000e+01	2.000000e+01	2.599400e+01	2.374187e+00	2.374187e+00
2.000000e+01	3.000000e+01	1.213200e+01	1.241496e+00	1.241496e+00
3.000000e+01	4.000000e+01	8.477000e+00	7.492796e-01	7.492796e-01
4.000000e+01	5.000000e+01	7.697000e+00	5.251750e-01	5.251750e-01
5.000000e+01	6.000000e+01	6.021900e+00	4.379959e-01	4.379959e-01
6.000000e+01	7.000000e+01	4.216700e+00	3.605938e-01	3.605938e-01
7.000000e+01	8.000000e+01	1.997600e+00	2.750535e-01	2.750535e-01
8.000000e+01	9.000000e+01	9.051000e-01	1.846989e-01	1.846989e-01
9.000000e+01	1.000000e+02	4.462000e-01	1.129440e-01	1.129440e-01
1.000000e+02	1.100000e+02	3.962000e-02	7.505052e-02	7.505052e-02
1.100000e+02	1.200000e+02	0.000000e+00	3.667424e-03	3.667424e-03
1.200000e+02	1.300000e+02	0.000000e+00	7.856844e-03	7.856844e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d46-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d46-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.207300e+01	2.844085e+00	2.844085e+00
1.000000e+01	2.000000e+01	2.599400e+01	2.374187e+00	2.374187e+00
2.000000e+01	3.000000e+01	1.213200e+01	1.241496e+00	1.241496e+00
3.000000e+01	4.000000e+01	8.477000e+00	7.492796e-01	7.492796e-01
4.000000e+01	5.000000e+01	7.697000e+00	5.251750e-01	5.251750e-01
5.000000e+01	6.000000e+01	6.021900e+00	4.379959e-01	4.379959e-01
6.000000e+01	7.000000e+01	4.216700e+00	3.605938e-01	3.605938e-01
7.000000e+01	8.000000e+01	1.997600e+00	2.750535e-01	2.750535e-01
8.000000e+01	9.000000e+01	9.051000e-01	1.846989e-01	1.846989e-01
9.000000e+01	1.000000e+02	4.462000e-01	1.129440e-01	1.129440e-01
1.000000e+02	1.100000e+02	3.962000e-02	7.505052e-02	7.505052e-02
1.100000e+02	1.200000e+02	0.000000e+00	3.667424e-03	3.667424e-03
1.200000e+02	1.300000e+02	0.000000e+00	7.856844e-03	7.856844e-03
# END HISTO1D

