# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d50-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d50-x01-y01 /THY/CMS_2013_I1224539_ZJET/d50-x01-y01
XMax=150.0
Title=Filtered CA12 $Z$+jets, $p_{T,j}$ = 220--300 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d50-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d50-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d50-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.610000e-01	8.865828e-02	8.865828e-02
1.000000e+01	2.000000e+01	9.832200e+00	1.323798e+00	1.323798e+00
2.000000e+01	3.000000e+01	2.258500e+01	2.177095e+00	2.177095e+00
3.000000e+01	4.000000e+01	2.028200e+01	1.445403e+00	1.445403e+00
4.000000e+01	5.000000e+01	1.656400e+01	1.061976e+00	1.061976e+00
5.000000e+01	6.000000e+01	1.011300e+01	8.012403e-01	8.012403e-01
6.000000e+01	7.000000e+01	5.529100e+00	5.394385e-01	5.394385e-01
7.000000e+01	8.000000e+01	3.927500e+00	4.933611e-01	4.933611e-01
8.000000e+01	9.000000e+01	3.180900e+00	4.559765e-01	4.559765e-01
9.000000e+01	1.000000e+02	2.562700e+00	4.107572e-01	4.107572e-01
1.000000e+02	1.100000e+02	1.972100e+00	3.631199e-01	3.631199e-01
1.100000e+02	1.200000e+02	8.063000e-01	1.958580e-01	1.958580e-01
1.200000e+02	1.300000e+02	1.041000e+00	2.238979e-01	2.238979e-01
1.300000e+02	1.400000e+02	6.683000e-01	1.815244e-01	1.815244e-01
1.400000e+02	1.500000e+02	3.119000e-01	1.524268e-01	1.524268e-01
1.500000e+02	1.600000e+02	2.867000e-01	1.226769e-01	1.226769e-01
1.700000e+02	1.800000e+02	3.187000e-02	4.370078e-02	4.370078e-02
1.800000e+02	1.900000e+02	0.000000e+00	2.450000e-02	2.450000e-02
1.900000e+02	2.000000e+02	0.000000e+00	3.279421e-02	3.279421e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d50-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d50-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.610000e-01	8.865828e-02	8.865828e-02
1.000000e+01	2.000000e+01	9.832200e+00	1.323798e+00	1.323798e+00
2.000000e+01	3.000000e+01	2.258500e+01	2.177095e+00	2.177095e+00
3.000000e+01	4.000000e+01	2.028200e+01	1.445403e+00	1.445403e+00
4.000000e+01	5.000000e+01	1.656400e+01	1.061976e+00	1.061976e+00
5.000000e+01	6.000000e+01	1.011300e+01	8.012403e-01	8.012403e-01
6.000000e+01	7.000000e+01	5.529100e+00	5.394385e-01	5.394385e-01
7.000000e+01	8.000000e+01	3.927500e+00	4.933611e-01	4.933611e-01
8.000000e+01	9.000000e+01	3.180900e+00	4.559765e-01	4.559765e-01
9.000000e+01	1.000000e+02	2.562700e+00	4.107572e-01	4.107572e-01
1.000000e+02	1.100000e+02	1.972100e+00	3.631199e-01	3.631199e-01
1.100000e+02	1.200000e+02	8.063000e-01	1.958580e-01	1.958580e-01
1.200000e+02	1.300000e+02	1.041000e+00	2.238979e-01	2.238979e-01
1.300000e+02	1.400000e+02	6.683000e-01	1.815244e-01	1.815244e-01
1.400000e+02	1.500000e+02	3.119000e-01	1.524268e-01	1.524268e-01
1.500000e+02	1.600000e+02	2.867000e-01	1.226769e-01	1.226769e-01
1.700000e+02	1.800000e+02	3.187000e-02	4.370078e-02	4.370078e-02
1.800000e+02	1.900000e+02	0.000000e+00	2.450000e-02	2.450000e-02
1.900000e+02	2.000000e+02	0.000000e+00	3.279421e-02	3.279421e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d50-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d50-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.610000e-01	8.865828e-02	8.865828e-02
1.000000e+01	2.000000e+01	9.832200e+00	1.323798e+00	1.323798e+00
2.000000e+01	3.000000e+01	2.258500e+01	2.177095e+00	2.177095e+00
3.000000e+01	4.000000e+01	2.028200e+01	1.445403e+00	1.445403e+00
4.000000e+01	5.000000e+01	1.656400e+01	1.061976e+00	1.061976e+00
5.000000e+01	6.000000e+01	1.011300e+01	8.012403e-01	8.012403e-01
6.000000e+01	7.000000e+01	5.529100e+00	5.394385e-01	5.394385e-01
7.000000e+01	8.000000e+01	3.927500e+00	4.933611e-01	4.933611e-01
8.000000e+01	9.000000e+01	3.180900e+00	4.559765e-01	4.559765e-01
9.000000e+01	1.000000e+02	2.562700e+00	4.107572e-01	4.107572e-01
1.000000e+02	1.100000e+02	1.972100e+00	3.631199e-01	3.631199e-01
1.100000e+02	1.200000e+02	8.063000e-01	1.958580e-01	1.958580e-01
1.200000e+02	1.300000e+02	1.041000e+00	2.238979e-01	2.238979e-01
1.300000e+02	1.400000e+02	6.683000e-01	1.815244e-01	1.815244e-01
1.400000e+02	1.500000e+02	3.119000e-01	1.524268e-01	1.524268e-01
1.500000e+02	1.600000e+02	2.867000e-01	1.226769e-01	1.226769e-01
1.700000e+02	1.800000e+02	3.187000e-02	4.370078e-02	4.370078e-02
1.800000e+02	1.900000e+02	0.000000e+00	2.450000e-02	2.450000e-02
1.900000e+02	2.000000e+02	0.000000e+00	3.279421e-02	3.279421e-02
# END HISTO1D

