# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1303894/d05-x01-y01 /LHC.yoda/CMS_2014_I1303894/d05-x01-y01 /THY/CMS_2014_I1303894/d05-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=5.0~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2014_I1303894/d05-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=Leading jet $|\eta|$ 
MainPlot=1
YLabel=$d\sigma (\text{W}\rightarrow \mu \nu +\geq 1 \text{jet})/d|\eta|$ [pb]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1303894/d05-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1303894/d05-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.613133e+02	8.589927e+00	8.861045e+00
1.000000e-01	2.000000e-01	2.591669e+02	9.228129e+00	9.452012e+00
2.000000e-01	3.000000e-01	2.571860e+02	9.913927e+00	1.012698e+01
3.000000e-01	4.000000e-01	2.578109e+02	8.409907e+00	8.602876e+00
4.000000e-01	5.000000e-01	2.563034e+02	8.792238e+00	8.925756e+00
5.000000e-01	6.000000e-01	2.502601e+02	1.028132e+01	1.052329e+01
6.000000e-01	7.000000e-01	2.461679e+02	9.881179e+00	1.020600e+01
7.000000e-01	8.000000e-01	2.415040e+02	9.026551e+00	9.400178e+00
8.000000e-01	9.000000e-01	2.381628e+02	8.198553e+00	8.548412e+00
9.000000e-01	1.000000e+00	2.342459e+02	8.119007e+00	8.291728e+00
1.000000e+00	1.100000e+00	2.271754e+02	8.413746e+00	8.209100e+00
1.100000e+00	1.200000e+00	2.182908e+02	8.109088e+00	7.643445e+00
1.200000e+00	1.300000e+00	2.129734e+02	8.848153e+00	8.252135e+00
1.300000e+00	1.400000e+00	1.990070e+02	8.256484e+00	7.459265e+00
1.400000e+00	1.500000e+00	1.921433e+02	8.868341e+00	7.967354e+00
1.500000e+00	1.600000e+00	1.825674e+02	8.256957e+00	7.073946e+00
1.600000e+00	1.700000e+00	1.759513e+02	8.378961e+00	6.936676e+00
1.700000e+00	1.800000e+00	1.704132e+02	8.690299e+00	6.928369e+00
1.800000e+00	1.900000e+00	1.597519e+02	8.745592e+00	6.955144e+00
1.900000e+00	2.000000e+00	1.495411e+02	8.900729e+00	7.112898e+00
2.000000e+00	2.100000e+00	1.401048e+02	1.230039e+01	1.113111e+01
2.100000e+00	2.200000e+00	1.251021e+02	1.211729e+01	9.831598e+00
2.200000e+00	2.300000e+00	1.102497e+02	1.513617e+01	1.277520e+01
2.300000e+00	2.400000e+00	9.786070e+01	1.646936e+01	1.356639e+01
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2014_I1303894/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2014_I1303894/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.613133e+02	8.589927e+00	8.861045e+00
1.000000e-01	2.000000e-01	2.591669e+02	9.228129e+00	9.452012e+00
2.000000e-01	3.000000e-01	2.571860e+02	9.913927e+00	1.012698e+01
3.000000e-01	4.000000e-01	2.578109e+02	8.409907e+00	8.602876e+00
4.000000e-01	5.000000e-01	2.563034e+02	8.792238e+00	8.925756e+00
5.000000e-01	6.000000e-01	2.502601e+02	1.028132e+01	1.052329e+01
6.000000e-01	7.000000e-01	2.461679e+02	9.881179e+00	1.020600e+01
7.000000e-01	8.000000e-01	2.415040e+02	9.026551e+00	9.400178e+00
8.000000e-01	9.000000e-01	2.381628e+02	8.198553e+00	8.548412e+00
9.000000e-01	1.000000e+00	2.342459e+02	8.119007e+00	8.291728e+00
1.000000e+00	1.100000e+00	2.271754e+02	8.413746e+00	8.209100e+00
1.100000e+00	1.200000e+00	2.182908e+02	8.109088e+00	7.643445e+00
1.200000e+00	1.300000e+00	2.129734e+02	8.848153e+00	8.252135e+00
1.300000e+00	1.400000e+00	1.990070e+02	8.256484e+00	7.459265e+00
1.400000e+00	1.500000e+00	1.921433e+02	8.868341e+00	7.967354e+00
1.500000e+00	1.600000e+00	1.825674e+02	8.256957e+00	7.073946e+00
1.600000e+00	1.700000e+00	1.759513e+02	8.378961e+00	6.936676e+00
1.700000e+00	1.800000e+00	1.704132e+02	8.690299e+00	6.928369e+00
1.800000e+00	1.900000e+00	1.597519e+02	8.745592e+00	6.955144e+00
1.900000e+00	2.000000e+00	1.495411e+02	8.900729e+00	7.112898e+00
2.000000e+00	2.100000e+00	1.401048e+02	1.230039e+01	1.113111e+01
2.100000e+00	2.200000e+00	1.251021e+02	1.211729e+01	9.831598e+00
2.200000e+00	2.300000e+00	1.102497e+02	1.513617e+01	1.277520e+01
2.300000e+00	2.400000e+00	9.786070e+01	1.646936e+01	1.356639e+01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2014_I1303894/d05-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2014_I1303894/d05-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	2.613133e+02	8.589927e+00	8.861045e+00
1.000000e-01	2.000000e-01	2.591669e+02	9.228129e+00	9.452012e+00
2.000000e-01	3.000000e-01	2.571860e+02	9.913927e+00	1.012698e+01
3.000000e-01	4.000000e-01	2.578109e+02	8.409907e+00	8.602876e+00
4.000000e-01	5.000000e-01	2.563034e+02	8.792238e+00	8.925756e+00
5.000000e-01	6.000000e-01	2.502601e+02	1.028132e+01	1.052329e+01
6.000000e-01	7.000000e-01	2.461679e+02	9.881179e+00	1.020600e+01
7.000000e-01	8.000000e-01	2.415040e+02	9.026551e+00	9.400178e+00
8.000000e-01	9.000000e-01	2.381628e+02	8.198553e+00	8.548412e+00
9.000000e-01	1.000000e+00	2.342459e+02	8.119007e+00	8.291728e+00
1.000000e+00	1.100000e+00	2.271754e+02	8.413746e+00	8.209100e+00
1.100000e+00	1.200000e+00	2.182908e+02	8.109088e+00	7.643445e+00
1.200000e+00	1.300000e+00	2.129734e+02	8.848153e+00	8.252135e+00
1.300000e+00	1.400000e+00	1.990070e+02	8.256484e+00	7.459265e+00
1.400000e+00	1.500000e+00	1.921433e+02	8.868341e+00	7.967354e+00
1.500000e+00	1.600000e+00	1.825674e+02	8.256957e+00	7.073946e+00
1.600000e+00	1.700000e+00	1.759513e+02	8.378961e+00	6.936676e+00
1.700000e+00	1.800000e+00	1.704132e+02	8.690299e+00	6.928369e+00
1.800000e+00	1.900000e+00	1.597519e+02	8.745592e+00	6.955144e+00
1.900000e+00	2.000000e+00	1.495411e+02	8.900729e+00	7.112898e+00
2.000000e+00	2.100000e+00	1.401048e+02	1.230039e+01	1.113111e+01
2.100000e+00	2.200000e+00	1.251021e+02	1.211729e+01	9.831598e+00
2.200000e+00	2.300000e+00	1.102497e+02	1.513617e+01	1.277520e+01
2.300000e+00	2.400000e+00	9.786070e+01	1.646936e+01	1.356639e+01
# END HISTO1D

