# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d08-x01-y01 /LHC.yoda/CMS_2015_I1310737/d08-x01-y01 /THY/CMS_2015_I1310737/d08-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d08-x01-y01
RatioPlot=1
LogX=0
LogY=0
LegendXPos=0.7
XLabel=Second jet $|\eta|$
MainPlot=1
YLabel=$d\sigma/d|\eta|$ [pb]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d08-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d08-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.400000e-01	6.888723e+00	7.782568e-01	7.782568e-01
2.400000e-01	4.800000e-01	6.663057e+00	7.640498e-01	7.640498e-01
4.800000e-01	7.200000e-01	6.403547e+00	7.832485e-01	7.832485e-01
7.200000e-01	9.600000e-01	6.237633e+00	7.957644e-01	7.957644e-01
9.600000e-01	1.200000e+00	5.813924e+00	7.592484e-01	7.592484e-01
1.200000e+00	1.440000e+00	5.357459e+00	7.429707e-01	7.429707e-01
1.440000e+00	1.680000e+00	4.942254e+00	6.919380e-01	6.919380e-01
1.680000e+00	1.920000e+00	4.420497e+00	5.930552e-01	5.930552e-01
1.920000e+00	2.160000e+00	3.858913e+00	4.914332e-01	4.914332e-01
2.160000e+00	2.400000e+00	3.026114e+00	4.189021e-01	4.189021e-01
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.400000e-01	6.888723e+00	7.782568e-01	7.782568e-01
2.400000e-01	4.800000e-01	6.663057e+00	7.640498e-01	7.640498e-01
4.800000e-01	7.200000e-01	6.403547e+00	7.832485e-01	7.832485e-01
7.200000e-01	9.600000e-01	6.237633e+00	7.957644e-01	7.957644e-01
9.600000e-01	1.200000e+00	5.813924e+00	7.592484e-01	7.592484e-01
1.200000e+00	1.440000e+00	5.357459e+00	7.429707e-01	7.429707e-01
1.440000e+00	1.680000e+00	4.942254e+00	6.919380e-01	6.919380e-01
1.680000e+00	1.920000e+00	4.420497e+00	5.930552e-01	5.930552e-01
1.920000e+00	2.160000e+00	3.858913e+00	4.914332e-01	4.914332e-01
2.160000e+00	2.400000e+00	3.026114e+00	4.189021e-01	4.189021e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d08-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d08-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.400000e-01	6.888723e+00	7.782568e-01	7.782568e-01
2.400000e-01	4.800000e-01	6.663057e+00	7.640498e-01	7.640498e-01
4.800000e-01	7.200000e-01	6.403547e+00	7.832485e-01	7.832485e-01
7.200000e-01	9.600000e-01	6.237633e+00	7.957644e-01	7.957644e-01
9.600000e-01	1.200000e+00	5.813924e+00	7.592484e-01	7.592484e-01
1.200000e+00	1.440000e+00	5.357459e+00	7.429707e-01	7.429707e-01
1.440000e+00	1.680000e+00	4.942254e+00	6.919380e-01	6.919380e-01
1.680000e+00	1.920000e+00	4.420497e+00	5.930552e-01	5.930552e-01
1.920000e+00	2.160000e+00	3.858913e+00	4.914332e-01	4.914332e-01
2.160000e+00	2.400000e+00	3.026114e+00	4.189021e-01	4.189021e-01
# END HISTO1D

