# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d13-x01-y01 /LHC.yoda/CMS_2015_I1310737/d13-x01-y01 /THY/CMS_2015_I1310737/d13-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d13-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$H_T, N_{jet} \ge 3$ [GeV]
MainPlot=1
YLabel=$d\sigma/dH_{T}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d13-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d13-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.400000e+02	8.995231e-03	1.189630e-03	1.189630e-03
1.400000e+02	1.900000e+02	1.381479e-02	1.491677e-03	1.491677e-03
1.900000e+02	2.400000e+02	1.003568e-02	1.125594e-03	1.125594e-03
2.400000e+02	2.900000e+02	6.262240e-03	7.981574e-04	7.981574e-04
2.900000e+02	3.400000e+02	3.947184e-03	4.797920e-04	4.797920e-04
3.400000e+02	3.900000e+02	2.419317e-03	2.840056e-04	2.840056e-04
3.900000e+02	4.400000e+02	1.512552e-03	1.867431e-04	1.867431e-04
4.400000e+02	4.900000e+02	1.003031e-03	1.197632e-04	1.197632e-04
4.900000e+02	5.400000e+02	6.413990e-04	8.741958e-05	8.741958e-05
5.400000e+02	5.900000e+02	4.666194e-04	6.535143e-05	6.535143e-05
5.900000e+02	6.400000e+02	2.906358e-04	4.430062e-05	4.430062e-05
6.400000e+02	6.900000e+02	2.065128e-04	3.234554e-05	3.234554e-05
6.900000e+02	7.400000e+02	1.698493e-04	2.978380e-05	2.978380e-05
7.400000e+02	7.900000e+02	1.356029e-04	3.587847e-05	3.587847e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d13-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d13-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.400000e+02	8.995231e-03	1.189630e-03	1.189630e-03
1.400000e+02	1.900000e+02	1.381479e-02	1.491677e-03	1.491677e-03
1.900000e+02	2.400000e+02	1.003568e-02	1.125594e-03	1.125594e-03
2.400000e+02	2.900000e+02	6.262240e-03	7.981574e-04	7.981574e-04
2.900000e+02	3.400000e+02	3.947184e-03	4.797920e-04	4.797920e-04
3.400000e+02	3.900000e+02	2.419317e-03	2.840056e-04	2.840056e-04
3.900000e+02	4.400000e+02	1.512552e-03	1.867431e-04	1.867431e-04
4.400000e+02	4.900000e+02	1.003031e-03	1.197632e-04	1.197632e-04
4.900000e+02	5.400000e+02	6.413990e-04	8.741958e-05	8.741958e-05
5.400000e+02	5.900000e+02	4.666194e-04	6.535143e-05	6.535143e-05
5.900000e+02	6.400000e+02	2.906358e-04	4.430062e-05	4.430062e-05
6.400000e+02	6.900000e+02	2.065128e-04	3.234554e-05	3.234554e-05
6.900000e+02	7.400000e+02	1.698493e-04	2.978380e-05	2.978380e-05
7.400000e+02	7.900000e+02	1.356029e-04	3.587847e-05	3.587847e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d13-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d13-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
9.000000e+01	1.400000e+02	8.995231e-03	1.189630e-03	1.189630e-03
1.400000e+02	1.900000e+02	1.381479e-02	1.491677e-03	1.491677e-03
1.900000e+02	2.400000e+02	1.003568e-02	1.125594e-03	1.125594e-03
2.400000e+02	2.900000e+02	6.262240e-03	7.981574e-04	7.981574e-04
2.900000e+02	3.400000e+02	3.947184e-03	4.797920e-04	4.797920e-04
3.400000e+02	3.900000e+02	2.419317e-03	2.840056e-04	2.840056e-04
3.900000e+02	4.400000e+02	1.512552e-03	1.867431e-04	1.867431e-04
4.400000e+02	4.900000e+02	1.003031e-03	1.197632e-04	1.197632e-04
4.900000e+02	5.400000e+02	6.413990e-04	8.741958e-05	8.741958e-05
5.400000e+02	5.900000e+02	4.666194e-04	6.535143e-05	6.535143e-05
5.900000e+02	6.400000e+02	2.906358e-04	4.430062e-05	4.430062e-05
6.400000e+02	6.900000e+02	2.065128e-04	3.234554e-05	3.234554e-05
6.900000e+02	7.400000e+02	1.698493e-04	2.978380e-05	2.978380e-05
7.400000e+02	7.900000e+02	1.356029e-04	3.587847e-05	3.587847e-05
# END HISTO1D

