# BEGIN PLOT
DrawOnly=/REF/LHCB_2012_I1208102/d03-x01-y01 /LHC.yoda/LHCB_2012_I1208102/d03-x01-y01 /THY/LHCB_2012_I1208102/d03-x01-y01
Title=Differential cross-section for $pp \to Z \to e^+ e^-$ at $\sqrt{s} = 7$ TeV
RatioPlotReference=/REF/LHCB_2012_I1208102/d03-x01-y01
RatioPlot=1
LogX=1
LogY=1
LegendXPos=0.50
XLabel=$\phi^*$
MainPlot=1
YLabel=$\mathrm{d}\sigma / \mathrm{d}\phi^*$ [pb]
XMin=1e-2
LegendYPos=0.90
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/LHCB_2012_I1208102/d03-x01-y01
IsRef=1
LineColor=green
Path=/REF/LHCB_2012_I1208102/d03-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	6.930000e+02	2.083267e+01	2.083267e+01
5.000000e-02	1.000000e-01	3.260000e+02	1.153256e+01	1.153256e+01
1.000000e-01	1.500000e-01	1.640000e+02	7.141428e+00	7.141428e+00
1.500000e-01	2.000000e-01	9.910000e+01	5.008992e+00	5.008992e+00
2.000000e-01	3.000000e-01	4.960000e+01	2.509980e+00	2.509980e+00
3.000000e-01	4.000000e-01	2.550000e+01	1.723369e+00	1.723369e+00
4.000000e-01	6.000000e-01	1.080000e+01	8.660254e-01	8.660254e-01
6.000000e-01	8.000000e-01	4.050000e+00	4.397727e-01	4.397727e-01
8.000000e-01	1.000000e+00	1.410000e+00	2.574879e-01	2.574879e-01
1.000000e+00	2.000000e+00	4.100000e-01	7.071068e-02	7.071068e-02
# END HISTO1D


# BEGIN HISTO1D /REF/LHCB_2012_I1208102/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/LHCB_2012_I1208102/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	6.930000e+02	2.083267e+01	2.083267e+01
5.000000e-02	1.000000e-01	3.260000e+02	1.153256e+01	1.153256e+01
1.000000e-01	1.500000e-01	1.640000e+02	7.141428e+00	7.141428e+00
1.500000e-01	2.000000e-01	9.910000e+01	5.008992e+00	5.008992e+00
2.000000e-01	3.000000e-01	4.960000e+01	2.509980e+00	2.509980e+00
3.000000e-01	4.000000e-01	2.550000e+01	1.723369e+00	1.723369e+00
4.000000e-01	6.000000e-01	1.080000e+01	8.660254e-01	8.660254e-01
6.000000e-01	8.000000e-01	4.050000e+00	4.397727e-01	4.397727e-01
8.000000e-01	1.000000e+00	1.410000e+00	2.574879e-01	2.574879e-01
1.000000e+00	2.000000e+00	4.100000e-01	7.071068e-02	7.071068e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/LHCB_2012_I1208102/d03-x01-y01
LineColor=red
Path=/LHC.yoda/LHCB_2012_I1208102/d03-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	6.930000e+02	2.083267e+01	2.083267e+01
5.000000e-02	1.000000e-01	3.260000e+02	1.153256e+01	1.153256e+01
1.000000e-01	1.500000e-01	1.640000e+02	7.141428e+00	7.141428e+00
1.500000e-01	2.000000e-01	9.910000e+01	5.008992e+00	5.008992e+00
2.000000e-01	3.000000e-01	4.960000e+01	2.509980e+00	2.509980e+00
3.000000e-01	4.000000e-01	2.550000e+01	1.723369e+00	1.723369e+00
4.000000e-01	6.000000e-01	1.080000e+01	8.660254e-01	8.660254e-01
6.000000e-01	8.000000e-01	4.050000e+00	4.397727e-01	4.397727e-01
8.000000e-01	1.000000e+00	1.410000e+00	2.574879e-01	2.574879e-01
1.000000e+00	2.000000e+00	4.100000e-01	7.071068e-02	7.071068e-02
# END HISTO1D

