# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d27-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d27-x01-y02 /THY/ATLAS_2013_I1230812_EL/d27-x01-y02
Title=Scalar $p_\perp$ sum of leptons and jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d27-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$H_T$ [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$H_T$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d27-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d27-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.000000e+01	7.583000e-03	1.132688e-03	1.132688e-03
8.000000e+01	9.000000e+01	4.919000e-02	7.651072e-03	7.651072e-03
9.000000e+01	1.000000e+02	1.294000e-01	1.721482e-02	1.721482e-02
1.000000e+02	1.100000e+02	2.678000e-01	3.031963e-02	3.031963e-02
1.100000e+02	1.200000e+02	4.936000e-01	4.923769e-02	4.923769e-02
1.200000e+02	1.300000e+02	8.513000e-01	6.746747e-02	6.746747e-02
1.300000e+02	1.400000e+02	8.415000e-01	5.339382e-02	5.339382e-02
1.400000e+02	1.500000e+02	6.205000e-01	3.577541e-02	3.577541e-02
1.500000e+02	1.600000e+02	4.641000e-01	2.636816e-02	2.636816e-02
1.600000e+02	1.700000e+02	3.699000e-01	2.133635e-02	2.133635e-02
1.700000e+02	1.800000e+02	3.019000e-01	1.772738e-02	1.772738e-02
1.800000e+02	1.900000e+02	2.498000e-01	1.462532e-02	1.462532e-02
1.900000e+02	2.000000e+02	2.052000e-01	1.201083e-02	1.201083e-02
2.000000e+02	2.200000e+02	1.563000e-01	9.075241e-03	9.075241e-03
2.200000e+02	2.400000e+02	1.122000e-01	6.568105e-03	6.568105e-03
2.400000e+02	2.600000e+02	8.163000e-02	4.865100e-03	4.865100e-03
2.600000e+02	2.800000e+02	6.077000e-02	3.759415e-03	3.759415e-03
2.800000e+02	3.000000e+02	4.487000e-02	2.727600e-03	2.727600e-03
3.000000e+02	3.200000e+02	3.453000e-02	1.986102e-03	1.986102e-03
3.200000e+02	3.400000e+02	2.748000e-02	1.594522e-03	1.594522e-03
3.400000e+02	3.600000e+02	2.220000e-02	1.372880e-03	1.372880e-03
3.600000e+02	3.800000e+02	1.736000e-02	1.063438e-03	1.063438e-03
3.800000e+02	4.000000e+02	1.424000e-02	8.420808e-04	8.420808e-04
4.000000e+02	4.200000e+02	1.153000e-02	6.860029e-04	6.860029e-04
4.200000e+02	4.400000e+02	9.292000e-03	5.948395e-04	5.948395e-04
4.400000e+02	4.600000e+02	7.597000e-03	4.996299e-04	4.996299e-04
4.600000e+02	4.800000e+02	6.245000e-03	3.982436e-04	3.982436e-04
4.800000e+02	5.000000e+02	5.076000e-03	3.250200e-04	3.250200e-04
5.000000e+02	5.300000e+02	4.229000e-03	2.813006e-04	2.813006e-04
5.300000e+02	5.900000e+02	2.859000e-03	1.939716e-04	1.939716e-04
5.900000e+02	6.800000e+02	1.604000e-03	1.161249e-04	1.161249e-04
6.800000e+02	8.000000e+02	7.837000e-04	5.627264e-05	5.627264e-05
8.000000e+02	1.000000e+03	2.700000e-04	2.715769e-05	2.715769e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d27-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d27-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.000000e+01	7.583000e-03	1.132688e-03	1.132688e-03
8.000000e+01	9.000000e+01	4.919000e-02	7.651072e-03	7.651072e-03
9.000000e+01	1.000000e+02	1.294000e-01	1.721482e-02	1.721482e-02
1.000000e+02	1.100000e+02	2.678000e-01	3.031963e-02	3.031963e-02
1.100000e+02	1.200000e+02	4.936000e-01	4.923769e-02	4.923769e-02
1.200000e+02	1.300000e+02	8.513000e-01	6.746747e-02	6.746747e-02
1.300000e+02	1.400000e+02	8.415000e-01	5.339382e-02	5.339382e-02
1.400000e+02	1.500000e+02	6.205000e-01	3.577541e-02	3.577541e-02
1.500000e+02	1.600000e+02	4.641000e-01	2.636816e-02	2.636816e-02
1.600000e+02	1.700000e+02	3.699000e-01	2.133635e-02	2.133635e-02
1.700000e+02	1.800000e+02	3.019000e-01	1.772738e-02	1.772738e-02
1.800000e+02	1.900000e+02	2.498000e-01	1.462532e-02	1.462532e-02
1.900000e+02	2.000000e+02	2.052000e-01	1.201083e-02	1.201083e-02
2.000000e+02	2.200000e+02	1.563000e-01	9.075241e-03	9.075241e-03
2.200000e+02	2.400000e+02	1.122000e-01	6.568105e-03	6.568105e-03
2.400000e+02	2.600000e+02	8.163000e-02	4.865100e-03	4.865100e-03
2.600000e+02	2.800000e+02	6.077000e-02	3.759415e-03	3.759415e-03
2.800000e+02	3.000000e+02	4.487000e-02	2.727600e-03	2.727600e-03
3.000000e+02	3.200000e+02	3.453000e-02	1.986102e-03	1.986102e-03
3.200000e+02	3.400000e+02	2.748000e-02	1.594522e-03	1.594522e-03
3.400000e+02	3.600000e+02	2.220000e-02	1.372880e-03	1.372880e-03
3.600000e+02	3.800000e+02	1.736000e-02	1.063438e-03	1.063438e-03
3.800000e+02	4.000000e+02	1.424000e-02	8.420808e-04	8.420808e-04
4.000000e+02	4.200000e+02	1.153000e-02	6.860029e-04	6.860029e-04
4.200000e+02	4.400000e+02	9.292000e-03	5.948395e-04	5.948395e-04
4.400000e+02	4.600000e+02	7.597000e-03	4.996299e-04	4.996299e-04
4.600000e+02	4.800000e+02	6.245000e-03	3.982436e-04	3.982436e-04
4.800000e+02	5.000000e+02	5.076000e-03	3.250200e-04	3.250200e-04
5.000000e+02	5.300000e+02	4.229000e-03	2.813006e-04	2.813006e-04
5.300000e+02	5.900000e+02	2.859000e-03	1.939716e-04	1.939716e-04
5.900000e+02	6.800000e+02	1.604000e-03	1.161249e-04	1.161249e-04
6.800000e+02	8.000000e+02	7.837000e-04	5.627264e-05	5.627264e-05
8.000000e+02	1.000000e+03	2.700000e-04	2.715769e-05	2.715769e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d27-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d27-x01-y02
Title=[24]  0.16
# xlow	 xhigh	 val	 errminus	 errplus
7.000000e+01	8.000000e+01	7.583000e-03	1.132688e-03	1.132688e-03
8.000000e+01	9.000000e+01	4.919000e-02	7.651072e-03	7.651072e-03
9.000000e+01	1.000000e+02	1.294000e-01	1.721482e-02	1.721482e-02
1.000000e+02	1.100000e+02	2.678000e-01	3.031963e-02	3.031963e-02
1.100000e+02	1.200000e+02	4.936000e-01	4.923769e-02	4.923769e-02
1.200000e+02	1.300000e+02	8.513000e-01	6.746747e-02	6.746747e-02
1.300000e+02	1.400000e+02	8.415000e-01	5.339382e-02	5.339382e-02
1.400000e+02	1.500000e+02	6.205000e-01	3.577541e-02	3.577541e-02
1.500000e+02	1.600000e+02	4.641000e-01	2.636816e-02	2.636816e-02
1.600000e+02	1.700000e+02	3.699000e-01	2.133635e-02	2.133635e-02
1.700000e+02	1.800000e+02	3.019000e-01	1.772738e-02	1.772738e-02
