# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d10-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d10-x01-y03 /THY/ATLAS_2013_I1230812_MU/d10-x01-y03
Title=Transverse momentum of 2nd jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d10-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$p_\perp$(2nd jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d10-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d10-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.787000e-01	9.245112e-02	9.245112e-02
3.500000e+01	4.000000e+01	5.158000e-01	4.701319e-02	4.701319e-02
4.000000e+01	5.000000e+01	3.111000e-01	2.542617e-02	2.542617e-02
5.000000e+01	6.000000e+01	1.655000e-01	1.193189e-02	1.193189e-02
6.000000e+01	7.000000e+01	9.899000e-02	6.674676e-03	6.674676e-03
7.000000e+01	8.000000e+01	6.326000e-02	4.071302e-03	4.071302e-03
8.000000e+01	1.000000e+02	3.546000e-02	2.221463e-03	2.221463e-03
1.000000e+02	1.200000e+02	1.727000e-02	1.178389e-03	1.178389e-03
1.200000e+02	1.400000e+02	8.826000e-03	6.194715e-04	6.194715e-04
1.400000e+02	1.600000e+02	5.482000e-03	3.825049e-04	3.825049e-04
1.600000e+02	1.800000e+02	3.277000e-03	2.777211e-04	2.777211e-04
1.800000e+02	2.000000e+02	2.016000e-03	2.006614e-04	2.006614e-04
2.000000e+02	2.200000e+02	1.450000e-03	1.540811e-04	1.540811e-04
2.200000e+02	2.500000e+02	9.162000e-04	1.119947e-04	1.119947e-04
2.500000e+02	2.800000e+02	5.238000e-04	7.418167e-05	7.418167e-05
2.800000e+02	3.100000e+02	3.428000e-04	6.801956e-05	6.801956e-05
3.100000e+02	3.400000e+02	2.213000e-04	4.446426e-05	4.446426e-05
3.400000e+02	4.000000e+02	1.154000e-04	3.075142e-05	3.075142e-05
4.000000e+02	5.500000e+02	2.029000e-05	6.693362e-06	6.693362e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d10-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d10-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.787000e-01	9.245112e-02	9.245112e-02
3.500000e+01	4.000000e+01	5.158000e-01	4.701319e-02	4.701319e-02
4.000000e+01	5.000000e+01	3.111000e-01	2.542617e-02	2.542617e-02
5.000000e+01	6.000000e+01	1.655000e-01	1.193189e-02	1.193189e-02
6.000000e+01	7.000000e+01	9.899000e-02	6.674676e-03	6.674676e-03
7.000000e+01	8.000000e+01	6.326000e-02	4.071302e-03	4.071302e-03
8.000000e+01	1.000000e+02	3.546000e-02	2.221463e-03	2.221463e-03
1.000000e+02	1.200000e+02	1.727000e-02	1.178389e-03	1.178389e-03
1.200000e+02	1.400000e+02	8.826000e-03	6.194715e-04	6.194715e-04
1.400000e+02	1.600000e+02	5.482000e-03	3.825049e-04	3.825049e-04
1.600000e+02	1.800000e+02	3.277000e-03	2.777211e-04	2.777211e-04
1.800000e+02	2.000000e+02	2.016000e-03	2.006614e-04	2.006614e-04
2.000000e+02	2.200000e+02	1.450000e-03	1.540811e-04	1.540811e-04
2.200000e+02	2.500000e+02	9.162000e-04	1.119947e-04	1.119947e-04
2.500000e+02	2.800000e+02	5.238000e-04	7.418167e-05	7.418167e-05
2.800000e+02	3.100000e+02	3.428000e-04	6.801956e-05	6.801956e-05
3.100000e+02	3.400000e+02	2.213000e-04	4.446426e-05	4.446426e-05
3.400000e+02	4.000000e+02	1.154000e-04	3.075142e-05	3.075142e-05
4.000000e+02	5.500000e+02	2.029000e-05	6.693362e-06	6.693362e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d10-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d10-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.787000e-01	9.245112e-02	9.245112e-02
3.500000e+01	4.000000e+01	5.158000e-01	4.701319e-02	4.701319e-02
4.000000e+01	5.000000e+01	3.111000e-01	2.542617e-02	2.542617e-02
5.000000e+01	6.000000e+01	1.655000e-01	1.193189e-02	1.193189e-02
6.000000e+01	7.000000e+01	9.899000e-02	6.674676e-03	6.674676e-03
7.000000e+01	8.000000e+01	6.326000e-02	4.071302e-03	4.071302e-03
8.000000e+01	1.000000e+02	3.546000e-02	2.221463e-03	2.221463e-03
1.000000e+02	1.200000e+02	1.727000e-02	1.178389e-03	1.178389e-03
1.200000e+02	1.400000e+02	8.826000e-03	6.194715e-04	6.194715e-04
1.400000e+02	1.600000e+02	5.482000e-03	3.825049e-04	3.825049e-04
1.600000e+02	1.800000e+02	3.277000e-03	2.777211e-04	2.777211e-04
1.800000e+02	2.000000e+02	2.016000e-03	2.006614e-04	2.006614e-04
2.000000e+02	2.200000e+02	1.450000e-03	1.540811e-04	1.540811e-04
2.200000e+02	2.500000e+02	9.162000e-04	1.119947e-04	1.119947e-04
2.500000e+02	2.800000e+02	5.238000e-04	7.418167e-05	7.418167e-05
2.800000e+02	3.100000e+02	3.428000e-04	6.801956e-05	6.801956e-05
3.100000e+02	3.400000e+02	2.213000e-04	4.446426e-05	4.446426e-05
3.400000e+02	4.000000e+02	1.154000e-04	3.075142e-05	3.075142e-05
4.000000e+02	5.500000e+02	2.029000e-05	6.693362e-06	6.693362e-06
# END HISTO1D

