# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d21-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d21-x01-y03 /THY/ATLAS_2013_I1230812_MU/d21-x01-y03
Title=Rapidity distance of leading jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d21-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
LegendXPos=0.05
XLabel=$|\Delta y|$(1st jet, 2nd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|\Delta y|$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d21-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d21-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	5.874000e+00	5.142655e-01	5.142655e-01
4.000000e-01	8.000000e-01	5.889000e+00	5.194035e-01	5.194035e-01
8.000000e-01	1.200000e+00	5.179000e+00	4.223778e-01	4.223778e-01
1.200000e+00	1.600000e+00	4.377000e+00	3.535039e-01	3.535039e-01
1.600000e+00	2.000000e+00	3.798000e+00	3.105962e-01	3.105962e-01
2.000000e+00	2.400000e+00	3.145000e+00	2.686522e-01	2.686522e-01
2.400000e+00	2.800000e+00	2.488000e+00	2.374216e-01	2.374216e-01
2.800000e+00	3.200000e+00	1.795000e+00	1.915463e-01	1.915463e-01
3.200000e+00	3.600000e+00	1.301000e+00	1.612638e-01	1.612638e-01
3.600000e+00	4.000000e+00	8.362000e-01	1.193325e-01	1.193325e-01
4.000000e+00	4.400000e+00	5.547000e-01	9.214934e-02	9.214934e-02
4.400000e+00	4.800000e+00	3.204000e-01	6.468392e-02	6.468392e-02
4.800000e+00	5.200000e+00	1.800000e-01	4.200131e-02	4.200131e-02
5.200000e+00	5.600000e+00	1.033000e-01	3.324726e-02	3.324726e-02
5.600000e+00	6.000000e+00	6.334000e-02	2.723200e-02	2.723200e-02
6.000000e+00	6.400000e+00	2.095000e-02	1.183342e-02	1.183342e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d21-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d21-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	5.874000e+00	5.142655e-01	5.142655e-01
4.000000e-01	8.000000e-01	5.889000e+00	5.194035e-01	5.194035e-01
8.000000e-01	1.200000e+00	5.179000e+00	4.223778e-01	4.223778e-01
1.200000e+00	1.600000e+00	4.377000e+00	3.535039e-01	3.535039e-01
1.600000e+00	2.000000e+00	3.798000e+00	3.105962e-01	3.105962e-01
2.000000e+00	2.400000e+00	3.145000e+00	2.686522e-01	2.686522e-01
2.400000e+00	2.800000e+00	2.488000e+00	2.374216e-01	2.374216e-01
2.800000e+00	3.200000e+00	1.795000e+00	1.915463e-01	1.915463e-01
3.200000e+00	3.600000e+00	1.301000e+00	1.612638e-01	1.612638e-01
3.600000e+00	4.000000e+00	8.362000e-01	1.193325e-01	1.193325e-01
4.000000e+00	4.400000e+00	5.547000e-01	9.214934e-02	9.214934e-02
4.400000e+00	4.800000e+00	3.204000e-01	6.468392e-02	6.468392e-02
4.800000e+00	5.200000e+00	1.800000e-01	4.200131e-02	4.200131e-02
5.200000e+00	5.600000e+00	1.033000e-01	3.324726e-02	3.324726e-02
5.600000e+00	6.000000e+00	6.334000e-02	2.723200e-02	2.723200e-02
6.000000e+00	6.400000e+00	2.095000e-02	1.183342e-02	1.183342e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d21-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d21-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	5.874000e+00	5.142655e-01	5.142655e-01
4.000000e-01	8.000000e-01	5.889000e+00	5.194035e-01	5.194035e-01
8.000000e-01	1.200000e+00	5.179000e+00	4.223778e-01	4.223778e-01
1.200000e+00	1.600000e+00	4.377000e+00	3.535039e-01	3.535039e-01
1.600000e+00	2.000000e+00	3.798000e+00	3.105962e-01	3.105962e-01
2.000000e+00	2.400000e+00	3.145000e+00	2.686522e-01	2.686522e-01
2.400000e+00	2.800000e+00	2.488000e+00	2.374216e-01	2.374216e-01
2.800000e+00	3.200000e+00	1.795000e+00	1.915463e-01	1.915463e-01
3.200000e+00	3.600000e+00	1.301000e+00	1.612638e-01	1.612638e-01
3.600000e+00	4.000000e+00	8.362000e-01	1.193325e-01	1.193325e-01
4.000000e+00	4.400000e+00	5.547000e-01	9.214934e-02	9.214934e-02
4.400000e+00	4.800000e+00	3.204000e-01	6.468392e-02	6.468392e-02
4.800000e+00	5.200000e+00	1.800000e-01	4.200131e-02	4.200131e-02
5.200000e+00	5.600000e+00	1.033000e-01	3.324726e-02	3.324726e-02
5.600000e+00	6.000000e+00	6.334000e-02	2.723200e-02	2.723200e-02
6.000000e+00	6.400000e+00	2.095000e-02	1.183342e-02	1.183342e-02
# END HISTO1D

