# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d23-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d23-x01-y03 /THY/ATLAS_2013_I1230812_MU/d23-x01-y03
Title=Azimuthal distance of leading jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d23-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
LegendXPos=0.05
XLabel=$|\Delta\phi|$(1st jet, 2nd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|\Delta\phi|$ [pb]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d23-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d23-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.963000e-01	2.084000e+00	2.927764e-01	2.927764e-01
1.963000e-01	3.927000e-01	2.295000e+00	3.035556e-01	3.035556e-01
3.927000e-01	5.890000e-01	2.744000e+00	3.695673e-01	3.695673e-01
5.890000e-01	7.854000e-01	2.475000e+00	3.189498e-01	3.189498e-01
7.854000e-01	9.817000e-01	2.372000e+00	2.904583e-01	2.904583e-01
9.817000e-01	1.178100e+00	2.411000e+00	2.872682e-01	2.872682e-01
1.178100e+00	1.374400e+00	2.559000e+00	2.871689e-01	2.871689e-01
1.374400e+00	1.570800e+00	2.900000e+00	3.187821e-01	3.187821e-01
1.570800e+00	1.767100e+00	3.365000e+00	3.564309e-01	3.564309e-01
1.767100e+00	1.963500e+00	3.953000e+00	3.941079e-01	3.941079e-01
1.963500e+00	2.159800e+00	4.662000e+00	4.378436e-01	4.378436e-01
2.159800e+00	2.356200e+00	5.712000e+00	4.800375e-01	4.800375e-01
2.356200e+00	2.552500e+00	6.966000e+00	5.433691e-01	5.433691e-01
2.552500e+00	2.748900e+00	8.470000e+00	6.333475e-01	6.333475e-01
2.748900e+00	2.945200e+00	1.012000e+01	7.601316e-01	7.601316e-01
2.945200e+00	3.141600e+00	1.116000e+01	8.312039e-01	8.312039e-01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d23-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d23-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.963000e-01	2.084000e+00	2.927764e-01	2.927764e-01
1.963000e-01	3.927000e-01	2.295000e+00	3.035556e-01	3.035556e-01
3.927000e-01	5.890000e-01	2.744000e+00	3.695673e-01	3.695673e-01
5.890000e-01	7.854000e-01	2.475000e+00	3.189498e-01	3.189498e-01
7.854000e-01	9.817000e-01	2.372000e+00	2.904583e-01	2.904583e-01
9.817000e-01	1.178100e+00	2.411000e+00	2.872682e-01	2.872682e-01
1.178100e+00	1.374400e+00	2.559000e+00	2.871689e-01	2.871689e-01
1.374400e+00	1.570800e+00	2.900000e+00	3.187821e-01	3.187821e-01
1.570800e+00	1.767100e+00	3.365000e+00	3.564309e-01	3.564309e-01
1.767100e+00	1.963500e+00	3.953000e+00	3.941079e-01	3.941079e-01
1.963500e+00	2.159800e+00	4.662000e+00	4.378436e-01	4.378436e-01
2.159800e+00	2.356200e+00	5.712000e+00	4.800375e-01	4.800375e-01
2.356200e+00	2.552500e+00	6.966000e+00	5.433691e-01	5.433691e-01
2.552500e+00	2.748900e+00	8.470000e+00	6.333475e-01	6.333475e-01
2.748900e+00	2.945200e+00	1.012000e+01	7.601316e-01	7.601316e-01
2.945200e+00	3.141600e+00	1.116000e+01	8.312039e-01	8.312039e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d23-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d23-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.963000e-01	2.084000e+00	2.927764e-01	2.927764e-01
1.963000e-01	3.927000e-01	2.295000e+00	3.035556e-01	3.035556e-01
3.927000e-01	5.890000e-01	2.744000e+00	3.695673e-01	3.695673e-01
5.890000e-01	7.854000e-01	2.475000e+00	3.189498e-01	3.189498e-01
7.854000e-01	9.817000e-01	2.372000e+00	2.904583e-01	2.904583e-01
9.817000e-01	1.178100e+00	2.411000e+00	2.872682e-01	2.872682e-01
1.178100e+00	1.374400e+00	2.559000e+00	2.871689e-01	2.871689e-01
1.374400e+00	1.570800e+00	2.900000e+00	3.187821e-01	3.187821e-01
1.570800e+00	1.767100e+00	3.365000e+00	3.564309e-01	3.564309e-01
1.767100e+00	1.963500e+00	3.953000e+00	3.941079e-01	3.941079e-01
1.963500e+00	2.159800e+00	4.662000e+00	4.378436e-01	4.378436e-01
2.159800e+00	2.356200e+00	5.712000e+00	4.800375e-01	4.800375e-01
2.356200e+00	2.552500e+00	6.966000e+00	5.433691e-01	5.433691e-01
2.552500e+00	2.748900e+00	8.470000e+00	6.333475e-01	6.333475e-01
2.748900e+00	2.945200e+00	1.012000e+01	7.601316e-01	7.601316e-01
2.945200e+00	3.141600e+00	1.116000e+01	8.312039e-01	8.312039e-01
# END HISTO1D

