# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d08-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d08-x01-y03 /THY/ATLAS_2014_I1319490_MU/d08-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d08-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$p^j_\text{T}$ (leading jet) [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 3j} / \text{d}p^j_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d08-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d08-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.555000e-02	5.822834e-03	5.822834e-03
3.500000e+01	4.000000e+01	1.045000e-01	2.010224e-02	2.010224e-02
4.000000e+01	5.000000e+01	1.977000e-01	3.149429e-02	3.149429e-02
5.000000e+01	6.000000e+01	2.451000e-01	3.626955e-02	3.626955e-02
6.000000e+01	7.000000e+01	2.401000e-01	3.549789e-02	3.549789e-02
7.000000e+01	8.000000e+01	2.152000e-01	3.062532e-02	3.062532e-02
8.000000e+01	1.000000e+02	1.727000e-01	2.320302e-02	2.320302e-02
1.000000e+02	1.200000e+02	1.235000e-01	1.608167e-02	1.608167e-02
1.200000e+02	1.400000e+02	8.490000e-02	1.060222e-02	1.060222e-02
1.400000e+02	1.600000e+02	5.957000e-02	6.789087e-03	6.789087e-03
1.600000e+02	2.000000e+02	3.476000e-02	3.631983e-03	3.631983e-03
2.000000e+02	2.500000e+02	1.705000e-02	1.841358e-03	1.841358e-03
2.500000e+02	3.100000e+02	6.790000e-03	8.062841e-04	8.062841e-04
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d08-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d08-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.555000e-02	5.822834e-03	5.822834e-03
3.500000e+01	4.000000e+01	1.045000e-01	2.010224e-02	2.010224e-02
4.000000e+01	5.000000e+01	1.977000e-01	3.149429e-02	3.149429e-02
5.000000e+01	6.000000e+01	2.451000e-01	3.626955e-02	3.626955e-02
6.000000e+01	7.000000e+01	2.401000e-01	3.549789e-02	3.549789e-02
7.000000e+01	8.000000e+01	2.152000e-01	3.062532e-02	3.062532e-02
8.000000e+01	1.000000e+02	1.727000e-01	2.320302e-02	2.320302e-02
1.000000e+02	1.200000e+02	1.235000e-01	1.608167e-02	1.608167e-02
1.200000e+02	1.400000e+02	8.490000e-02	1.060222e-02	1.060222e-02
1.400000e+02	1.600000e+02	5.957000e-02	6.789087e-03	6.789087e-03
1.600000e+02	2.000000e+02	3.476000e-02	3.631983e-03	3.631983e-03
2.000000e+02	2.500000e+02	1.705000e-02	1.841358e-03	1.841358e-03
2.500000e+02	3.100000e+02	6.790000e-03	8.062841e-04	8.062841e-04
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d08-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d08-x01-y03
Title=[13]  0.21
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.555000e-02	5.822834e-03	5.822834e-03
3.500000e+01	4.000000e+01	1.045000e-01	2.010224e-02	2.010224e-02
4.000000e+01	5.000000e+01	1.977000e-01	3.149429e-02	3.149429e-02
5.000000e+01	6.000000e+01	2.451000e-01	3.626955e-02	3.626955e-02
6.000000e+01	7.000000e+01	2.401000e-01	3.549789e-02	3.549789e-02
7.000000e+01	8.000000e+01	2.152000e-01	3.062532e-02	3.062532e-02
8.000000e+01	1.000000e+02	1.728700e-01	2.337300e-02	2.337300e-02
1.000000e+02	1.200000e+02	1.238400e-01	1.632206e-02	1.632206e-02
1.200000e+02	1.400000e+02	8.506998e-02	1.077220e-02	1.077220e-02
1.400000e+02	1.600000e+02	5.973998e-02	6.959066e-03	6.959066e-03
1.600000e+02	2.000000e+02	3.535493e-02	3.856844e-03	3.856844e-03
2.000000e+02	2.500000e+02	1.718598e-02	1.937513e-03	1.937513e-03
2.500000e+02	3.100000e+02	7.016639e-03	9.196035e-04	9.196035e-04
# END HISTO1D

