# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d10-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d10-x01-y03 /THY/ATLAS_2014_I1319490_MU/d10-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d10-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$p^j_\text{T}$ (3rd leading jet) [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 3j} / \text{d}p^j_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d10-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d10-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.573000e+00	2.438729e-01	2.438729e-01
3.500000e+01	4.000000e+01	8.740000e-01	1.043186e-01	1.043186e-01
4.000000e+01	5.000000e+01	4.486000e-01	5.217164e-02	5.217164e-02
5.000000e+01	6.000000e+01	2.112000e-01	2.831360e-02	2.831360e-02
6.000000e+01	7.000000e+01	1.073000e-01	1.560961e-02	1.560961e-02
7.000000e+01	8.000000e+01	6.039000e-02	8.570607e-03	8.570607e-03
8.000000e+01	1.000000e+02	3.031000e-02	4.134126e-03	4.134126e-03
1.000000e+02	1.200000e+02	1.143000e-02	1.692897e-03	1.692897e-03
1.200000e+02	1.400000e+02	4.483000e-03	7.611583e-04	7.611583e-04
1.400000e+02	1.600000e+02	2.271000e-03	4.250694e-04	4.250694e-04
1.600000e+02	2.000000e+02	8.337000e-04	1.677229e-04	1.677229e-04
2.000000e+02	2.500000e+02	2.503000e-04	7.024600e-05	7.024600e-05
2.500000e+02	3.100000e+02	3.444000e-05	3.168639e-05	3.168639e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d10-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d10-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.573000e+00	2.438729e-01	2.438729e-01
3.500000e+01	4.000000e+01	8.740000e-01	1.043186e-01	1.043186e-01
4.000000e+01	5.000000e+01	4.486000e-01	5.217164e-02	5.217164e-02
5.000000e+01	6.000000e+01	2.112000e-01	2.831360e-02	2.831360e-02
6.000000e+01	7.000000e+01	1.073000e-01	1.560961e-02	1.560961e-02
7.000000e+01	8.000000e+01	6.039000e-02	8.570607e-03	8.570607e-03
8.000000e+01	1.000000e+02	3.031000e-02	4.134126e-03	4.134126e-03
1.000000e+02	1.200000e+02	1.143000e-02	1.692897e-03	1.692897e-03
1.200000e+02	1.400000e+02	4.483000e-03	7.611583e-04	7.611583e-04
1.400000e+02	1.600000e+02	2.271000e-03	4.250694e-04	4.250694e-04
1.600000e+02	2.000000e+02	8.337000e-04	1.677229e-04	1.677229e-04
2.000000e+02	2.500000e+02	2.503000e-04	7.024600e-05	7.024600e-05
2.500000e+02	3.100000e+02	3.444000e-05	3.168639e-05	3.168639e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d10-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d10-x01-y03
Title=[10]  0.65
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.573680e+00	2.445528e-01	2.445528e-01
3.500000e+01	4.000000e+01	8.746799e-01	1.049985e-01	1.049985e-01
4.000000e+01	5.000000e+01	4.499598e-01	5.285156e-02	5.285156e-02
5.000000e+01	6.000000e+01	2.112000e-01	2.831360e-02	2.831360e-02
6.000000e+01	7.000000e+01	1.076400e-01	1.594957e-02	1.594957e-02
7.000000e+01	8.000000e+01	6.106992e-02	9.051381e-03	9.051381e-03
8.000000e+01	1.000000e+02	3.115990e-02	4.514211e-03	4.514211e-03
1.000000e+02	1.200000e+02	1.176996e-02	1.933284e-03	1.933284e-03
1.200000e+02	1.400000e+02	4.652979e-03	9.311375e-04	9.311375e-04
1.400000e+02	1.600000e+02	2.950917e-03	7.650277e-04	7.650277e-04
1.600000e+02	2.000000e+02	9.186896e-04	2.527125e-04	2.527125e-04
2.000000e+02	2.500000e+02	3.182917e-04	1.382377e-04	1.382377e-04
2.500000e+02	3.100000e+02	3.444000e-05	3.168639e-05	3.168639e-05
# END HISTO1D

