# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d20-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d20-x01-y03 /THY/ATLAS_2014_I1319490_MU/d20-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d20-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$H_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + 3j} / \text{d}H_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d20-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d20-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.600000e+02	1.885000e-03	7.836817e-04	7.836817e-04
1.600000e+02	1.700000e+02	7.686000e-03	2.405940e-03	2.405940e-03
1.700000e+02	1.800000e+02	2.250000e-02	6.011647e-03	6.011647e-03
1.800000e+02	1.900000e+02	4.661000e-02	9.486569e-03	9.486569e-03
1.900000e+02	2.000000e+02	7.429000e-02	1.315851e-02	1.315851e-02
2.000000e+02	2.200000e+02	9.496000e-02	1.418685e-02	1.418685e-02
2.200000e+02	2.400000e+02	1.010000e-01	1.348332e-02	1.348332e-02
2.400000e+02	2.600000e+02	9.473000e-02	1.212665e-02	1.212665e-02
2.600000e+02	2.800000e+02	8.142000e-02	1.011472e-02	1.011472e-02
2.800000e+02	3.000000e+02	6.918000e-02	8.036529e-03	8.036529e-03
3.000000e+02	3.200000e+02	5.700000e-02	6.554113e-03	6.554113e-03
3.200000e+02	3.400000e+02	4.808000e-02	5.614419e-03	5.614419e-03
3.400000e+02	3.600000e+02	3.907000e-02	4.336923e-03	4.336923e-03
3.600000e+02	3.800000e+02	3.294000e-02	3.529561e-03	3.529561e-03
3.800000e+02	4.000000e+02	2.683000e-02	2.861101e-03	2.861101e-03
4.000000e+02	4.200000e+02	2.232000e-02	2.198409e-03	2.198409e-03
4.200000e+02	4.400000e+02	1.826000e-02	1.684458e-03	1.684458e-03
4.400000e+02	4.600000e+02	1.520000e-02	1.450379e-03	1.450379e-03
4.600000e+02	4.800000e+02	1.251000e-02	1.187308e-03	1.187308e-03
4.800000e+02	5.000000e+02	1.101000e-02	1.005535e-03	1.005535e-03
5.000000e+02	5.300000e+02	8.479000e-03	7.770425e-04	7.770425e-04
5.300000e+02	5.900000e+02	5.852000e-03	5.442472e-04	5.442472e-04
5.900000e+02	6.800000e+02	3.131000e-03	2.858339e-04	2.858339e-04
6.800000e+02	1.000000e+03	9.048000e-04	8.208898e-05	8.208898e-05
1.000000e+03	1.400000e+03	1.098000e-04	1.754964e-05	1.754964e-05
1.400000e+03	2.000000e+03	1.167000e-05	5.338005e-06	5.338005e-06
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d20-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d20-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.600000e+02	1.885000e-03	7.836817e-04	7.836817e-04
1.600000e+02	1.700000e+02	7.686000e-03	2.405940e-03	2.405940e-03
1.700000e+02	1.800000e+02	2.250000e-02	6.011647e-03	6.011647e-03
1.800000e+02	1.900000e+02	4.661000e-02	9.486569e-03	9.486569e-03
1.900000e+02	2.000000e+02	7.429000e-02	1.315851e-02	1.315851e-02
2.000000e+02	2.200000e+02	9.496000e-02	1.418685e-02	1.418685e-02
2.200000e+02	2.400000e+02	1.010000e-01	1.348332e-02	1.348332e-02
2.400000e+02	2.600000e+02	9.473000e-02	1.212665e-02	1.212665e-02
2.600000e+02	2.800000e+02	8.142000e-02	1.011472e-02	1.011472e-02
2.800000e+02	3.000000e+02	6.918000e-02	8.036529e-03	8.036529e-03
3.000000e+02	3.200000e+02	5.700000e-02	6.554113e-03	6.554113e-03
3.200000e+02	3.400000e+02	4.808000e-02	5.614419e-03	5.614419e-03
3.400000e+02	3.600000e+02	3.907000e-02	4.336923e-03	4.336923e-03
3.600000e+02	3.800000e+02	3.294000e-02	3.529561e-03	3.529561e-03
3.800000e+02	4.000000e+02	2.683000e-02	2.861101e-03	2.861101e-03
4.000000e+02	4.200000e+02	2.232000e-02	2.198409e-03	2.198409e-03
4.200000e+02	4.400000e+02	1.826000e-02	1.684458e-03	1.684458e-03
4.400000e+02	4.600000e+02	1.520000e-02	1.450379e-03	1.450379e-03
4.600000e+02	4.800000e+02	1.251000e-02	1.187308e-03	1.187308e-03
4.800000e+02	5.000000e+02	1.101000e-02	1.005535e-03	1.005535e-03
5.000000e+02	5.300000e+02	8.479000e-03	7.770425e-04	7.770425e-04
5.300000e+02	5.900000e+02	5.852000e-03	5.442472e-04	5.442472e-04
5.900000e+02	6.800000e+02	3.131000e-03	2.858339e-04	2.858339e-04
6.800000e+02	1.000000e+03	9.048000e-04	8.208898e-05	8.208898e-05
1.000000e+03	1.400000e+03	1.098000e-04	1.754964e-05	1.754964e-05
1.400000e+03	2.000000e+03	1.167000e-05	5.338005e-06	5.338005e-06
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d20-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d20-x01-y03
Title=[23]  0.19
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+02	1.600000e+02	1.885000e-03	7.836817e-04	7.836817e-04
1.600000e+02	1.700000e+02	7.686000e-03	2.405940e-03	2.405940e-03
1.700000e+02	1.800000e+02	2.250000e-02	6.011647e-03	6.011647e-03
1.800000e+02	1.900000e+02	4.661000e-02	9.486569e-03	9.486569e-03
1.900000e+02	2.000000e+02	7.429000e-02	1.315851e-02	1.315851e-02
2.000000e+02	2.200000e+02	9.496000e-02	1.418685e-02	1.418685e-02
2.200000e+02	2.400000e+02	1.010000e-01	1.348332e-02	1.348332e-02
2.400000e+02	2.600000e+02	9.473000e-02	1.212665e-02	1.212665e-02
2.600000e+02	2.800000e+02	8.142000e-02	1.011472e-02	1.011472e-02
2.800000e+02	3.000000e+02	6.918000e-02	8.036529e-03	8.036529e-03
3.000000e+02	3.200000e+02	5.700000e-02	6.554113e-03	6.554113e-03
3.200000e+02	3.400000e+02	4.808000e-02	5.614419e-03	5.614419e-03
3.400000e+02	3.600000e+02	3.907000e-02	4.336923e-03	4.336923e-03
3.600000e+02	3.800000e+02	3.294000e-02	3.529561e-03	3.529561e-03
3.800000e+02	4.000000e+02	2.683000e-02	2.861101e-03	2.861101e-03
4.000000e+02	4.200000e+02	2.248998e-02	2.368388e-03	2.368388e-03
4.200000e+02	4.400000e+02	1.826000e-02	1.684458e-03	1.684458e-03
4.400000e+02	4.600000e+02	1.520000e-02	1.450379e-03	1.450379e-03
4.600000e+02	4.800000e+02	1.251000e-02	1.187308e-03	1.187308e-03
4.800000e+02	5.000000e+02	1.117998e-02	1.175514e-03	1.175514e-03
5.000000e+02	5.300000e+02	8.592319e-03	8.903620e-04	8.903620e-04
5.300000e+02	5.900000e+02	5.908660e-03	6.009069e-04	6.009069e-04
5.900000e+02	6.800000e+02	3.206546e-03	3.392532e-04	3.392532e-04
6.800000e+02	1.000000e+03	9.154237e-04	9.271268e-05	9.271268e-05
1.000000e+03	1.400000e+03	1.098000e-04	1.754964e-05	1.754964e-05
1.400000e+03	2.000000e+03	1.167000e-05	5.338005e-06	5.338005e-06
# END HISTO1D

