# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d35-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d35-x01-y03 /THY/ATLAS_2014_I1319490_MU/d35-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d35-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$S_\text{T}$ [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 4j} / \text{d}S_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d35-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d35-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.300000e+02	8.335000e-04	1.023621e-03	1.023621e-03
1.300000e+02	1.400000e+02	2.229000e-03	1.067741e-03	1.067741e-03
1.400000e+02	1.500000e+02	6.092000e-03	1.787881e-03	1.787881e-03
1.500000e+02	1.600000e+02	9.088000e-03	2.264916e-03	2.264916e-03
1.600000e+02	1.700000e+02	1.229000e-02	2.905512e-03	2.905512e-03
1.700000e+02	1.800000e+02	1.436000e-02	3.171435e-03	3.171435e-03
1.800000e+02	1.900000e+02	1.531000e-02	2.893752e-03	2.893752e-03
1.900000e+02	2.000000e+02	1.659000e-02	3.030330e-03	3.030330e-03
2.000000e+02	2.200000e+02	1.790000e-02	3.475097e-03	3.475097e-03
2.200000e+02	2.400000e+02	1.769000e-02	3.811063e-03	3.811063e-03
2.400000e+02	2.600000e+02	1.646000e-02	3.449652e-03	3.449652e-03
2.600000e+02	2.800000e+02	1.490000e-02	3.149889e-03	3.149889e-03
2.800000e+02	3.000000e+02	1.299000e-02	2.679664e-03	2.679664e-03
3.000000e+02	3.200000e+02	1.145000e-02	2.247688e-03	2.247688e-03
3.200000e+02	3.400000e+02	1.057000e-02	2.021757e-03	2.021757e-03
3.400000e+02	3.600000e+02	9.505000e-03	1.926182e-03	1.926182e-03
3.600000e+02	3.800000e+02	8.156000e-03	1.743933e-03	1.743933e-03
3.800000e+02	4.000000e+02	6.726000e-03	1.427581e-03	1.427581e-03
4.000000e+02	4.400000e+02	5.474000e-03	1.120262e-03	1.120262e-03
4.400000e+02	5.000000e+02	4.098000e-03	8.384849e-04	8.384849e-04
5.000000e+02	6.500000e+02	1.945000e-03	3.668719e-04	3.668719e-04
