# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1345452/d12-x01-y02 /LHC.yoda/ATLAS_2015_I1345452/d12-x01-y02 /THY/ATLAS_2015_I1345452/d12-x01-y02
YLabelSep=8.0
Title=electron channel
RatioPlotReference=/REF/ATLAS_2015_I1345452/d12-x01-y02
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Expected/Data
LegendXPos=0.6
XLabel=$|y(\hat{t}_\text{h}\hat{t}_\text{l})|$
MainPlot=1
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}|y(\hat{t}_\text{l}\hat{t}_\text{h})|}$ [pb]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1345452/d12-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2015_I1345452/d12-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	5.800000e+00	6.968453e-01	6.968453e-01
1.000000e-01	2.500000e-01	5.600000e+00	6.514560e-01	6.514560e-01
2.500000e-01	4.000000e-01	5.200000e+00	5.896672e-01	5.896672e-01
4.000000e-01	5.500000e-01	4.800000e+00	5.153689e-01	5.153689e-01
5.500000e-01	7.000000e-01	4.000000e+00	4.632408e-01	4.632408e-01
7.000000e-01	8.500000e-01	3.000000e+00	3.581452e-01	3.581452e-01
8.500000e-01	1.000000e+00	2.400000e+00	3.167000e-01	3.167000e-01
1.000000e+00	1.200000e+00	1.500000e+00	2.250700e-01	2.250700e-01
1.200000e+00	1.600000e+00	5.900000e-01	9.850527e-02	9.850527e-02
1.600000e+00	2.500000e+00	3.800000e-02	1.221178e-02	1.221178e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2015_I1345452/d12-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2015_I1345452/d12-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	5.800000e+00	6.968453e-01	6.968453e-01
1.000000e-01	2.500000e-01	5.600000e+00	6.514560e-01	6.514560e-01
2.500000e-01	4.000000e-01	5.200000e+00	5.896672e-01	5.896672e-01
4.000000e-01	5.500000e-01	4.800000e+00	5.153689e-01	5.153689e-01
5.500000e-01	7.000000e-01	4.000000e+00	4.632408e-01	4.632408e-01
7.000000e-01	8.500000e-01	3.000000e+00	3.581452e-01	3.581452e-01
8.500000e-01	1.000000e+00	2.400000e+00	3.167000e-01	3.167000e-01
1.000000e+00	1.200000e+00	1.500000e+00	2.250700e-01	2.250700e-01
1.200000e+00	1.600000e+00	5.900000e-01	9.850527e-02	9.850527e-02
1.600000e+00	2.500000e+00	3.800000e-02	1.221178e-02	1.221178e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2015_I1345452/d12-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2015_I1345452/d12-x01-y02
Title=[3]  0.12
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	5.833996e+00	7.308411e-01	7.308411e-01
1.000000e-01	2.500000e-01	5.600000e+00	6.514560e-01	6.514560e-01
2.500000e-01	4.000000e-01	5.290656e+00	6.349950e-01	6.349950e-01
4.000000e-01	5.500000e-01	4.845328e+00	5.474205e-01	5.474205e-01
5.500000e-01	7.000000e-01	4.022664e+00	4.859047e-01	4.859047e-01
7.000000e-01	8.500000e-01	3.000000e+00	3.581452e-01	3.581452e-01
8.500000e-01	1.000000e+00	2.400000e+00	3.167000e-01	3.167000e-01
1.000000e+00	1.200000e+00	1.516998e+00	2.420679e-01	2.420679e-01
1.200000e+00	1.600000e+00	5.984990e-01	1.070042e-01	1.070042e-01
1.600000e+00	2.500000e+00	3.800000e-02	1.221178e-02	1.221178e-02
# END HISTO1D

