# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d65-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d65-x01-y01 /THY/CMS_2013_I1224539_WJET/d65-x01-y01
XMax=150.0
Title=Pruned AK7 $W$+jets, $p_{T,j}$ = 150--220 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d65-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d65-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d65-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.653200e+01	3.407432e+00	3.407432e+00
1.000000e+01	2.000000e+01	2.580800e+01	2.429700e+00	2.429700e+00
2.000000e+01	3.000000e+01	1.353400e+01	1.323344e+00	1.323344e+00
3.000000e+01	4.000000e+01	9.312800e+00	5.531131e-01	5.531131e-01
4.000000e+01	5.000000e+01	7.345300e+00	5.177114e-01	5.177114e-01
5.000000e+01	6.000000e+01	4.527000e+00	3.907803e-01	3.907803e-01
6.000000e+01	7.000000e+01	2.170500e+00	2.770966e-01	2.770966e-01
7.000000e+01	8.000000e+01	6.312000e-01	1.701328e-01	1.701328e-01
8.000000e+01	9.000000e+01	1.316000e-01	9.423083e-02	9.423083e-02
9.000000e+01	1.000000e+02	5.517000e-03	4.008137e-02	4.008137e-02
1.000000e+02	1.100000e+02	2.108000e-03	1.326323e-03	1.326323e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d65-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d65-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.653200e+01	3.407432e+00	3.407432e+00
1.000000e+01	2.000000e+01	2.580800e+01	2.429700e+00	2.429700e+00
2.000000e+01	3.000000e+01	1.353400e+01	1.323344e+00	1.323344e+00
3.000000e+01	4.000000e+01	9.312800e+00	5.531131e-01	5.531131e-01
4.000000e+01	5.000000e+01	7.345300e+00	5.177114e-01	5.177114e-01
5.000000e+01	6.000000e+01	4.527000e+00	3.907803e-01	3.907803e-01
6.000000e+01	7.000000e+01	2.170500e+00	2.770966e-01	2.770966e-01
7.000000e+01	8.000000e+01	6.312000e-01	1.701328e-01	1.701328e-01
8.000000e+01	9.000000e+01	1.316000e-01	9.423083e-02	9.423083e-02
9.000000e+01	1.000000e+02	5.517000e-03	4.008137e-02	4.008137e-02
1.000000e+02	1.100000e+02	2.108000e-03	1.326323e-03	1.326323e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d65-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d65-x01-y01
Title=[1]  0.03
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.667981e+01	3.555240e+00	3.555240e+00
1.000000e+01	2.000000e+01	2.580800e+01	2.429700e+00	2.429700e+00
2.000000e+01	3.000000e+01	1.353400e+01	1.323344e+00	1.323344e+00
3.000000e+01	4.000000e+01	9.312800e+00	5.531131e-01	5.531131e-01
4.000000e+01	5.000000e+01	7.345300e+00	5.177114e-01	5.177114e-01
5.000000e+01	6.000000e+01	4.527000e+00	3.907803e-01	3.907803e-01
6.000000e+01	7.000000e+01	2.170500e+00	2.770966e-01	2.770966e-01
7.000000e+01	8.000000e+01	6.312000e-01	1.701328e-01	1.701328e-01
8.000000e+01	9.000000e+01	1.316000e-01	9.423083e-02	9.423083e-02
9.000000e+01	1.000000e+02	5.517000e-03	4.008137e-02	4.008137e-02
1.000000e+02	1.100000e+02	2.108000e-03	1.326323e-03	1.326323e-03
# END HISTO1D

