# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d32-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d32-x01-y01 /THY/CMS_2013_I1224539_ZJET/d32-x01-y01
XMax=150.0
Title=Ungroomed AK7 $Z$+jets, $p_{T,j}$ = 300--450 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d32-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d32-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d32-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.398000e-03	1.382822e-01	1.382822e-01
1.000000e+01	2.000000e+01	2.856000e+00	9.532981e-01	9.532981e-01
2.000000e+01	3.000000e+01	1.199600e+01	1.973781e+00	1.973781e+00
3.000000e+01	4.000000e+01	2.114700e+01	2.291065e+00	2.291065e+00
4.000000e+01	5.000000e+01	1.758100e+01	1.960013e+00	1.960013e+00
5.000000e+01	6.000000e+01	1.485000e+01	1.911876e+00	1.911876e+00
6.000000e+01	7.000000e+01	1.068700e+01	1.749811e+00	1.749811e+00
7.000000e+01	8.000000e+01	6.150900e+00	1.281643e+00	1.281643e+00
8.000000e+01	9.000000e+01	4.649200e+00	1.030398e+00	1.030398e+00
9.000000e+01	1.000000e+02	4.727200e+00	1.076222e+00	1.076222e+00
1.000000e+02	1.100000e+02	2.270300e+00	7.029026e-01	7.029026e-01
1.100000e+02	1.200000e+02	7.112000e-01	4.071600e-01	4.071600e-01
1.200000e+02	1.300000e+02	1.426700e+00	4.982478e-01	4.982478e-01
1.300000e+02	1.400000e+02	9.424000e-01	3.822316e-01	3.822316e-01
1.400000e+02	1.500000e+02	5.994000e-04	7.236531e-04	7.236531e-04
1.500000e+02	1.600000e+02	0.000000e+00	6.990458e-01	6.990458e-01
1.600000e+02	1.700000e+02	0.000000e+00	3.040000e-02	3.040000e-02
1.700000e+02	1.800000e+02	0.000000e+00	3.190000e-02	3.190000e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d32-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d32-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.398000e-03	1.382822e-01	1.382822e-01
1.000000e+01	2.000000e+01	2.856000e+00	9.532981e-01	9.532981e-01
2.000000e+01	3.000000e+01	1.199600e+01	1.973781e+00	1.973781e+00
3.000000e+01	4.000000e+01	2.114700e+01	2.291065e+00	2.291065e+00
4.000000e+01	5.000000e+01	1.758100e+01	1.960013e+00	1.960013e+00
5.000000e+01	6.000000e+01	1.485000e+01	1.911876e+00	1.911876e+00
6.000000e+01	7.000000e+01	1.068700e+01	1.749811e+00	1.749811e+00
7.000000e+01	8.000000e+01	6.150900e+00	1.281643e+00	1.281643e+00
8.000000e+01	9.000000e+01	4.649200e+00	1.030398e+00	1.030398e+00
9.000000e+01	1.000000e+02	4.727200e+00	1.076222e+00	1.076222e+00
1.000000e+02	1.100000e+02	2.270300e+00	7.029026e-01	7.029026e-01
1.100000e+02	1.200000e+02	7.112000e-01	4.071600e-01	4.071600e-01
1.200000e+02	1.300000e+02	1.426700e+00	4.982478e-01	4.982478e-01
1.300000e+02	1.400000e+02	9.424000e-01	3.822316e-01	3.822316e-01
1.400000e+02	1.500000e+02	5.994000e-04	7.236531e-04	7.236531e-04
1.500000e+02	1.600000e+02	0.000000e+00	6.990458e-01	6.990458e-01
1.600000e+02	1.700000e+02	0.000000e+00	3.040000e-02	3.040000e-02
1.700000e+02	1.800000e+02	0.000000e+00	3.190000e-02	3.190000e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d32-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d32-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.398000e-03	1.382822e-01	1.382822e-01
1.000000e+01	2.000000e+01	2.856000e+00	9.532981e-01	9.532981e-01
2.000000e+01	3.000000e+01	1.199600e+01	1.973781e+00	1.973781e+00
3.000000e+01	4.000000e+01	2.114700e+01	2.291065e+00	2.291065e+00
4.000000e+01	5.000000e+01	1.758100e+01	1.960013e+00	1.960013e+00
5.000000e+01	6.000000e+01	1.485000e+01	1.911876e+00	1.911876e+00
6.000000e+01	7.000000e+01	1.068700e+01	1.749811e+00	1.749811e+00
7.000000e+01	8.000000e+01	6.150900e+00	1.281643e+00	1.281643e+00
8.000000e+01	9.000000e+01	4.649200e+00	1.030398e+00	1.030398e+00
9.000000e+01	1.000000e+02	4.727200e+00	1.076222e+00	1.076222e+00
1.000000e+02	1.100000e+02	2.270300e+00	7.029026e-01	7.029026e-01
1.100000e+02	1.200000e+02	7.112000e-01	4.071600e-01	4.071600e-01
1.200000e+02	1.300000e+02	1.426700e+00	4.982478e-01	4.982478e-01
1.300000e+02	1.400000e+02	9.424000e-01	3.822316e-01	3.822316e-01
1.400000e+02	1.500000e+02	5.994000e-04	7.236531e-04	7.236531e-04
1.500000e+02	1.600000e+02	0.000000e+00	6.990458e-01	6.990458e-01
1.600000e+02	1.700000e+02	0.000000e+00	3.040000e-02	3.040000e-02
