# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d38-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d38-x01-y01 /THY/CMS_2013_I1224539_ZJET/d38-x01-y01
XMax=150.0
Title=Trimmed AK7 $Z$+jets, $p_{T,j}$ = 150--220 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d38-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d38-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d38-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.695600e+01	7.782371e-01	7.782371e-01
1.000000e+01	2.000000e+01	3.464800e+01	1.366646e+00	1.366646e+00
2.000000e+01	3.000000e+01	2.136500e+01	1.052968e+00	1.052968e+00
3.000000e+01	4.000000e+01	1.325800e+01	7.816527e-01	7.816527e-01
4.000000e+01	5.000000e+01	7.016800e+00	5.498198e-01	5.498198e-01
5.000000e+01	6.000000e+01	3.984300e+00	3.697969e-01	3.697969e-01
6.000000e+01	7.000000e+01	1.876600e+00	2.419013e-01	2.419013e-01
7.000000e+01	8.000000e+01	8.080000e-01	1.534621e-01	1.534621e-01
8.000000e+01	9.000000e+01	8.635000e-02	5.059844e-02	5.059844e-02
9.000000e+01	1.000000e+02	2.353000e-03	2.977129e-03	2.977129e-03
1.000000e+02	1.100000e+02	0.000000e+00	2.000000e-04	2.000000e-04
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d38-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d38-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.695600e+01	7.782371e-01	7.782371e-01
1.000000e+01	2.000000e+01	3.464800e+01	1.366646e+00	1.366646e+00
2.000000e+01	3.000000e+01	2.136500e+01	1.052968e+00	1.052968e+00
3.000000e+01	4.000000e+01	1.325800e+01	7.816527e-01	7.816527e-01
4.000000e+01	5.000000e+01	7.016800e+00	5.498198e-01	5.498198e-01
5.000000e+01	6.000000e+01	3.984300e+00	3.697969e-01	3.697969e-01
6.000000e+01	7.000000e+01	1.876600e+00	2.419013e-01	2.419013e-01
7.000000e+01	8.000000e+01	8.080000e-01	1.534621e-01	1.534621e-01
8.000000e+01	9.000000e+01	8.635000e-02	5.059844e-02	5.059844e-02
9.000000e+01	1.000000e+02	2.353000e-03	2.977129e-03	2.977129e-03
1.000000e+02	1.100000e+02	0.000000e+00	2.000000e-04	2.000000e-04
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d38-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d38-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.695600e+01	7.782371e-01	7.782371e-01
1.000000e+01	2.000000e+01	3.464800e+01	1.366646e+00	1.366646e+00
2.000000e+01	3.000000e+01	2.136500e+01	1.052968e+00	1.052968e+00
3.000000e+01	4.000000e+01	1.325800e+01	7.816527e-01	7.816527e-01
4.000000e+01	5.000000e+01	7.016800e+00	5.498198e-01	5.498198e-01
5.000000e+01	6.000000e+01	3.984300e+00	3.697969e-01	3.697969e-01
6.000000e+01	7.000000e+01	1.876600e+00	2.419013e-01	2.419013e-01
7.000000e+01	8.000000e+01	8.080000e-01	1.534621e-01	1.534621e-01
8.000000e+01	9.000000e+01	8.635000e-02	5.059844e-02	5.059844e-02
9.000000e+01	1.000000e+02	2.353000e-03	2.977129e-03	2.977129e-03
1.000000e+02	1.100000e+02	0.000000e+00	2.000000e-04	2.000000e-04
# END HISTO1D

