# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d44-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d44-x01-y01 /THY/CMS_2013_I1224539_ZJET/d44-x01-y01
XMax=150.0
Title=Pruned AK7 $Z$+jets, $p_{T,j}$ = 300--450 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d44-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d44-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d44-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.154200e+01	4.489044e+00	4.489044e+00
1.000000e+01	2.000000e+01	2.507000e+01	4.603967e+00	4.603967e+00
2.000000e+01	3.000000e+01	1.150500e+01	2.620516e+00	2.620516e+00
3.000000e+01	4.000000e+01	8.393200e+00	2.064438e+00	2.064438e+00
4.000000e+01	5.000000e+01	6.015900e+00	1.460372e+00	1.460372e+00
5.000000e+01	6.000000e+01	8.253600e+00	1.944862e+00	1.944862e+00
6.000000e+01	7.000000e+01	3.452800e+00	1.099984e+00	1.099984e+00
7.000000e+01	8.000000e+01	2.946300e+00	1.036422e+00	1.036422e+00
8.000000e+01	9.000000e+01	4.028200e+00	1.231110e+00	1.231110e+00
9.000000e+01	1.000000e+02	4.129200e+00	1.196386e+00	1.196386e+00
1.000000e+02	1.100000e+02	1.887500e+00	7.663179e-01	7.663179e-01
1.100000e+02	1.200000e+02	8.737000e-01	5.136587e-01	5.136587e-01
1.200000e+02	1.300000e+02	7.640000e-01	4.342936e-01	4.342936e-01
1.300000e+02	1.400000e+02	9.544000e-01	5.338156e-01	5.338156e-01
1.500000e+02	1.600000e+02	0.000000e+00	5.890076e-02	5.890076e-02
1.600000e+02	1.700000e+02	0.000000e+00	5.000000e-04	5.000000e-04
1.700000e+02	1.800000e+02	0.000000e+00	1.480000e-02	1.480000e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d44-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d44-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.154200e+01	4.489044e+00	4.489044e+00
1.000000e+01	2.000000e+01	2.507000e+01	4.603967e+00	4.603967e+00
2.000000e+01	3.000000e+01	1.150500e+01	2.620516e+00	2.620516e+00
3.000000e+01	4.000000e+01	8.393200e+00	2.064438e+00	2.064438e+00
4.000000e+01	5.000000e+01	6.015900e+00	1.460372e+00	1.460372e+00
5.000000e+01	6.000000e+01	8.253600e+00	1.944862e+00	1.944862e+00
6.000000e+01	7.000000e+01	3.452800e+00	1.099984e+00	1.099984e+00
7.000000e+01	8.000000e+01	2.946300e+00	1.036422e+00	1.036422e+00
8.000000e+01	9.000000e+01	4.028200e+00	1.231110e+00	1.231110e+00
9.000000e+01	1.000000e+02	4.129200e+00	1.196386e+00	1.196386e+00
1.000000e+02	1.100000e+02	1.887500e+00	7.663179e-01	7.663179e-01
1.100000e+02	1.200000e+02	8.737000e-01	5.136587e-01	5.136587e-01
1.200000e+02	1.300000e+02	7.640000e-01	4.342936e-01	4.342936e-01
1.300000e+02	1.400000e+02	9.544000e-01	5.338156e-01	5.338156e-01
1.500000e+02	1.600000e+02	0.000000e+00	5.890076e-02	5.890076e-02
1.600000e+02	1.700000e+02	0.000000e+00	5.000000e-04	5.000000e-04
1.700000e+02	1.800000e+02	0.000000e+00	1.480000e-02	1.480000e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d44-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d44-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.154200e+01	4.489044e+00	4.489044e+00
1.000000e+01	2.000000e+01	2.507000e+01	4.603967e+00	4.603967e+00
2.000000e+01	3.000000e+01	1.150500e+01	2.620516e+00	2.620516e+00
3.000000e+01	4.000000e+01	8.393200e+00	2.064438e+00	2.064438e+00
4.000000e+01	5.000000e+01	6.015900e+00	1.460372e+00	1.460372e+00
5.000000e+01	6.000000e+01	8.253600e+00	1.944862e+00	1.944862e+00
6.000000e+01	7.000000e+01	3.452800e+00	1.099984e+00	1.099984e+00
7.000000e+01	8.000000e+01	2.946300e+00	1.036422e+00	1.036422e+00
8.000000e+01	9.000000e+01	4.028200e+00	1.231110e+00	1.231110e+00
9.000000e+01	1.000000e+02	4.129200e+00	1.196386e+00	1.196386e+00
1.000000e+02	1.100000e+02	1.887500e+00	7.663179e-01	7.663179e-01
1.100000e+02	1.200000e+02	8.737000e-01	5.136587e-01	5.136587e-01
1.200000e+02	1.300000e+02	7.640000e-01	4.342936e-01	4.342936e-01
1.300000e+02	1.400000e+02	9.544000e-01	5.338156e-01	5.338156e-01
1.500000e+02	1.600000e+02	0.000000e+00	5.890076e-02	5.890076e-02
1.600000e+02	1.700000e+02	0.000000e+00	5.000000e-04	5.000000e-04
1.700000e+02	1.800000e+02	0.000000e+00	1.480000e-02	1.480000e-02
# END HISTO1D

