# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_ZJET/d47-x01-y01 /LHC.yoda/CMS_2013_I1224539_ZJET/d47-x01-y01 /THY/CMS_2013_I1224539_ZJET/d47-x01-y01
XMax=150.0
Title=Pruned CA8 $Z$+jets, $p_{T,j}$ = 220--300 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_ZJET/d47-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d47-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_ZJET/d47-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.872400e+01	2.826025e+00	2.826025e+00
1.000000e+01	2.000000e+01	2.525600e+01	2.618618e+00	2.618618e+00
2.000000e+01	3.000000e+01	9.966900e+00	1.414194e+00	1.414194e+00
3.000000e+01	4.000000e+01	7.336500e+00	1.084528e+00	1.084528e+00
4.000000e+01	5.000000e+01	6.914000e+00	9.770992e-01	9.770992e-01
5.000000e+01	6.000000e+01	4.991700e+00	7.317697e-01	7.317697e-01
6.000000e+01	7.000000e+01	4.751300e+00	6.552113e-01	6.552113e-01
7.000000e+01	8.000000e+01	4.659100e+00	6.759101e-01	6.759101e-01
8.000000e+01	9.000000e+01	2.640100e+00	5.098827e-01	5.098827e-01
9.000000e+01	1.000000e+02	2.273600e+00	5.011553e-01	5.011553e-01
1.000000e+02	1.100000e+02	1.970000e+00	4.883905e-01	4.883905e-01
1.100000e+02	1.200000e+02	4.658000e-01	1.793237e-01	1.793237e-01
1.200000e+02	1.300000e+02	5.095000e-02	6.464370e-02	6.464370e-02
1.300000e+02	1.400000e+02	0.000000e+00	8.599564e-02	8.599564e-02
1.400000e+02	1.500000e+02	0.000000e+00	1.660000e-02	1.660000e-02
1.500000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.700000e+02	0.000000e+00	1.540000e-02	1.540000e-02
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_ZJET/d47-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_ZJET/d47-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.872400e+01	2.826025e+00	2.826025e+00
1.000000e+01	2.000000e+01	2.525600e+01	2.618618e+00	2.618618e+00
2.000000e+01	3.000000e+01	9.966900e+00	1.414194e+00	1.414194e+00
3.000000e+01	4.000000e+01	7.336500e+00	1.084528e+00	1.084528e+00
4.000000e+01	5.000000e+01	6.914000e+00	9.770992e-01	9.770992e-01
5.000000e+01	6.000000e+01	4.991700e+00	7.317697e-01	7.317697e-01
6.000000e+01	7.000000e+01	4.751300e+00	6.552113e-01	6.552113e-01
7.000000e+01	8.000000e+01	4.659100e+00	6.759101e-01	6.759101e-01
8.000000e+01	9.000000e+01	2.640100e+00	5.098827e-01	5.098827e-01
9.000000e+01	1.000000e+02	2.273600e+00	5.011553e-01	5.011553e-01
1.000000e+02	1.100000e+02	1.970000e+00	4.883905e-01	4.883905e-01
1.100000e+02	1.200000e+02	4.658000e-01	1.793237e-01	1.793237e-01
1.200000e+02	1.300000e+02	5.095000e-02	6.464370e-02	6.464370e-02
1.300000e+02	1.400000e+02	0.000000e+00	8.599564e-02	8.599564e-02
1.400000e+02	1.500000e+02	0.000000e+00	1.660000e-02	1.660000e-02
1.500000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.700000e+02	0.000000e+00	1.540000e-02	1.540000e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_ZJET/d47-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_ZJET/d47-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.872400e+01	2.826025e+00	2.826025e+00
1.000000e+01	2.000000e+01	2.525600e+01	2.618618e+00	2.618618e+00
2.000000e+01	3.000000e+01	9.966900e+00	1.414194e+00	1.414194e+00
3.000000e+01	4.000000e+01	7.336500e+00	1.084528e+00	1.084528e+00
4.000000e+01	5.000000e+01	6.914000e+00	9.770992e-01	9.770992e-01
5.000000e+01	6.000000e+01	4.991700e+00	7.317697e-01	7.317697e-01
6.000000e+01	7.000000e+01	4.751300e+00	6.552113e-01	6.552113e-01
7.000000e+01	8.000000e+01	4.659100e+00	6.759101e-01	6.759101e-01
8.000000e+01	9.000000e+01	2.640100e+00	5.098827e-01	5.098827e-01
9.000000e+01	1.000000e+02	2.273600e+00	5.011553e-01	5.011553e-01
1.000000e+02	1.100000e+02	1.970000e+00	4.883905e-01	4.883905e-01
1.100000e+02	1.200000e+02	4.658000e-01	1.793237e-01	1.793237e-01
1.200000e+02	1.300000e+02	5.095000e-02	6.464370e-02	6.464370e-02
1.300000e+02	1.400000e+02	0.000000e+00	8.599564e-02	8.599564e-02
1.400000e+02	1.500000e+02	0.000000e+00	1.660000e-02	1.660000e-02
1.500000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.700000e+02	0.000000e+00	1.540000e-02	1.540000e-02
# END HISTO1D

