# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1303894/d12-x01-y01 /LHC.yoda/CMS_2014_I1303894/d12-x01-y01 /THY/CMS_2014_I1303894/d12-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=5.0~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2014_I1303894/d12-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$H_{\text{T}}$ $(\geq 4 \text{jet})$ [GeV]
MainPlot=1
YLabel=$d\sigma (\text{W}\rightarrow \mu \nu +\geq 4 \text{jet})/dH_{\text{T}}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1303894/d12-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1303894/d12-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.800000e+02	4.809284e-03	7.870838e-04	9.566095e-04
1.800000e+02	2.400000e+02	1.294046e-02	1.503532e-03	1.876892e-03
2.400000e+02	3.000000e+02	1.061150e-02	1.469223e-03	1.602422e-03
3.000000e+02	3.600000e+02	7.218971e-03	1.017154e-03	1.075681e-03
3.600000e+02	4.200000e+02	4.615540e-03	8.496468e-04	9.969728e-04
4.200000e+02	5.400000e+02	2.538850e-03	4.904137e-04	5.771948e-04
5.400000e+02	6.600000e+02	1.043391e-03	1.836529e-04	2.119072e-04
6.600000e+02	8.400000e+02	4.500505e-04	1.029263e-04	1.311806e-04
8.400000e+02	1.680000e+03	5.247225e-05	1.210898e-05	1.816347e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2014_I1303894/d12-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2014_I1303894/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.800000e+02	4.809284e-03	7.870838e-04	9.566095e-04
1.800000e+02	2.400000e+02	1.294046e-02	1.503532e-03	1.876892e-03
2.400000e+02	3.000000e+02	1.061150e-02	1.469223e-03	1.602422e-03
3.000000e+02	3.600000e+02	7.218971e-03	1.017154e-03	1.075681e-03
3.600000e+02	4.200000e+02	4.615540e-03	8.496468e-04	9.969728e-04
4.200000e+02	5.400000e+02	2.538850e-03	4.904137e-04	5.771948e-04
5.400000e+02	6.600000e+02	1.043391e-03	1.836529e-04	2.119072e-04
6.600000e+02	8.400000e+02	4.500505e-04	1.029263e-04	1.311806e-04
8.400000e+02	1.680000e+03	5.247225e-05	1.210898e-05	1.816347e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2014_I1303894/d12-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2014_I1303894/d12-x01-y01
Title=[8]  0.21
# xlow	 xhigh	 val	 errminus	 errplus
1.200000e+02	1.800000e+02	4.809284e-03	7.870838e-04	9.566095e-04
1.800000e+02	2.400000e+02	1.294046e-02	1.503532e-03	1.876892e-03
2.400000e+02	3.000000e+02	1.066816e-02	1.525883e-03	1.659082e-03
3.000000e+02	3.600000e+02	7.332290e-03	1.097283e-03	1.155810e-03
3.600000e+02	4.200000e+02	4.672200e-03	9.063065e-04	1.053633e-03
4.200000e+02	5.400000e+02	2.595510e-03	5.304782e-04	6.172593e-04
5.400000e+02	6.600000e+02	1.100051e-03	2.237174e-04	2.519717e-04
6.600000e+02	8.400000e+02	4.878236e-04	1.296359e-04	1.578902e-04
8.400000e+02	1.680000e+03	5.651937e-05	1.615610e-05	2.221059e-05
# END HISTO1D

