# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d03-x01-y01 /LHC.yoda/CMS_2015_I1310737/d03-x01-y01 /THY/CMS_2015_I1310737/d03-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d03-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=Leading jet $p_T$ [GeV]
MainPlot=1
YLabel=$d\sigma/dp_{T}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d03-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d03-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	1.683908e+00	9.383269e-02	9.383269e-02
5.000000e+01	7.000000e+01	6.857316e-01	6.251929e-02	6.251929e-02
7.000000e+01	9.000000e+01	3.123332e-01	3.212523e-02	3.212523e-02
9.000000e+01	1.100000e+02	1.579030e-01	1.651359e-02	1.651359e-02
1.100000e+02	1.300000e+02	8.855911e-02	8.915244e-03	8.915244e-03
1.300000e+02	1.500000e+02	5.095019e-02	5.359851e-03	5.359851e-03
1.500000e+02	1.700000e+02	3.041208e-02	3.105544e-03	3.105544e-03
1.700000e+02	1.900000e+02	1.973093e-02	2.004252e-03	2.004252e-03
1.900000e+02	2.100000e+02	1.274251e-02	1.375727e-03	1.375727e-03
2.100000e+02	2.300000e+02	8.300724e-03	9.820823e-04	9.820823e-04
2.300000e+02	2.500000e+02	5.794314e-03	7.025594e-04	7.025594e-04
2.500000e+02	2.800000e+02	3.684062e-03	4.737820e-04	4.737820e-04
2.800000e+02	3.100000e+02	2.236682e-03	2.712524e-04	2.712524e-04
3.100000e+02	3.500000e+02	1.284382e-03	1.599764e-04	1.599764e-04
3.500000e+02	4.000000e+02	6.779462e-04	7.993562e-05	7.993562e-05
4.000000e+02	5.000000e+02	2.782084e-04	4.249656e-05	4.249656e-05
5.000000e+02	7.000000e+02	6.103034e-05	1.514868e-05	1.514868e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	1.683908e+00	9.383269e-02	9.383269e-02
5.000000e+01	7.000000e+01	6.857316e-01	6.251929e-02	6.251929e-02
7.000000e+01	9.000000e+01	3.123332e-01	3.212523e-02	3.212523e-02
9.000000e+01	1.100000e+02	1.579030e-01	1.651359e-02	1.651359e-02
1.100000e+02	1.300000e+02	8.855911e-02	8.915244e-03	8.915244e-03
1.300000e+02	1.500000e+02	5.095019e-02	5.359851e-03	5.359851e-03
1.500000e+02	1.700000e+02	3.041208e-02	3.105544e-03	3.105544e-03
1.700000e+02	1.900000e+02	1.973093e-02	2.004252e-03	2.004252e-03
1.900000e+02	2.100000e+02	1.274251e-02	1.375727e-03	1.375727e-03
2.100000e+02	2.300000e+02	8.300724e-03	9.820823e-04	9.820823e-04
2.300000e+02	2.500000e+02	5.794314e-03	7.025594e-04	7.025594e-04
2.500000e+02	2.800000e+02	3.684062e-03	4.737820e-04	4.737820e-04
2.800000e+02	3.100000e+02	2.236682e-03	2.712524e-04	2.712524e-04
3.100000e+02	3.500000e+02	1.284382e-03	1.599764e-04	1.599764e-04
3.500000e+02	4.000000e+02	6.779462e-04	7.993562e-05	7.993562e-05
4.000000e+02	5.000000e+02	2.782084e-04	4.249656e-05	4.249656e-05
5.000000e+02	7.000000e+02	6.103034e-05	1.514868e-05	1.514868e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d03-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d03-x01-y01
Title=[12]  0.09
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	1.683908e+00	9.383269e-02	9.383269e-02
5.000000e+01	7.000000e+01	6.857316e-01	6.251929e-02	6.251929e-02
7.000000e+01	9.000000e+01	3.123332e-01	3.212523e-02	3.212523e-02
9.000000e+01	1.100000e+02	1.579030e-01	1.651359e-02	1.651359e-02
1.100000e+02	1.300000e+02	8.855911e-02	8.915244e-03	8.915244e-03
1.300000e+02	1.500000e+02	5.103518e-02	5.444841e-03	5.444841e-03
1.500000e+02	1.700000e+02	3.041208e-02	3.105544e-03	3.105544e-03
1.700000e+02	1.900000e+02	1.973093e-02	2.004252e-03	2.004252e-03
1.900000e+02	2.100000e+02	1.274251e-02	1.375727e-03	1.375727e-03
2.100000e+02	2.300000e+02	8.300724e-03	9.820823e-04	9.820823e-04
2.300000e+02	2.500000e+02	5.794314e-03	7.025594e-04	7.025594e-04
2.500000e+02	2.800000e+02	3.740722e-03	5.304417e-04	5.304417e-04
2.800000e+02	3.100000e+02	2.236682e-03	2.712524e-04	2.712524e-04
3.100000e+02	3.500000e+02	1.284382e-03	1.599764e-04	1.599764e-04
3.500000e+02	4.000000e+02	6.779462e-04	7.993562e-05	7.993562e-05
4.000000e+02	5.000000e+02	2.782084e-04	4.249656e-05	4.249656e-05
5.000000e+02	7.000000e+02	6.103034e-05	1.514868e-05	1.514868e-05
# END HISTO1D

