# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d10-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d10-x01-y02 /THY/ATLAS_2013_I1230812_EL/d10-x01-y02
Title=Transverse momentum of 2nd jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d10-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$p_\perp$(2nd jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d10-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d10-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.286000e-01	8.884036e-02	8.884036e-02
3.500000e+01	4.000000e+01	4.787000e-01	4.757930e-02	4.757930e-02
4.000000e+01	5.000000e+01	2.842000e-01	2.481894e-02	2.481894e-02
5.000000e+01	6.000000e+01	1.541000e-01	1.232437e-02	1.232437e-02
6.000000e+01	7.000000e+01	9.340000e-02	6.564335e-03	6.564335e-03
7.000000e+01	8.000000e+01	6.006000e-02	4.260352e-03	4.260352e-03
8.000000e+01	1.000000e+02	3.187000e-02	2.342499e-03	2.342499e-03
1.000000e+02	1.200000e+02	1.543000e-02	1.156460e-03	1.156460e-03
1.200000e+02	1.400000e+02	8.504000e-03	6.201081e-04	6.201081e-04
1.400000e+02	1.600000e+02	4.784000e-03	4.171403e-04	4.171403e-04
1.600000e+02	1.800000e+02	3.007000e-03	2.871846e-04	2.871846e-04
1.800000e+02	2.000000e+02	1.810000e-03	1.917316e-04	1.917316e-04
2.000000e+02	2.200000e+02	1.466000e-03	1.603933e-04	1.603933e-04
2.200000e+02	2.500000e+02	9.015000e-04	1.553557e-04	1.553557e-04
2.500000e+02	2.800000e+02	3.994000e-04	8.052944e-05	8.052944e-05
2.800000e+02	3.100000e+02	2.782000e-04	5.936472e-05	5.936472e-05
3.100000e+02	3.400000e+02	1.819000e-04	4.652107e-05	4.652107e-05
3.400000e+02	4.000000e+02	1.249000e-04	3.523876e-05	3.523876e-05
4.000000e+02	5.500000e+02	2.757000e-05	1.077621e-05	1.077621e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d10-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d10-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.286000e-01	8.884036e-02	8.884036e-02
3.500000e+01	4.000000e+01	4.787000e-01	4.757930e-02	4.757930e-02
4.000000e+01	5.000000e+01	2.842000e-01	2.481894e-02	2.481894e-02
5.000000e+01	6.000000e+01	1.541000e-01	1.232437e-02	1.232437e-02
6.000000e+01	7.000000e+01	9.340000e-02	6.564335e-03	6.564335e-03
7.000000e+01	8.000000e+01	6.006000e-02	4.260352e-03	4.260352e-03
8.000000e+01	1.000000e+02	3.187000e-02	2.342499e-03	2.342499e-03
1.000000e+02	1.200000e+02	1.543000e-02	1.156460e-03	1.156460e-03
1.200000e+02	1.400000e+02	8.504000e-03	6.201081e-04	6.201081e-04
1.400000e+02	1.600000e+02	4.784000e-03	4.171403e-04	4.171403e-04
1.600000e+02	1.800000e+02	3.007000e-03	2.871846e-04	2.871846e-04
1.800000e+02	2.000000e+02	1.810000e-03	1.917316e-04	1.917316e-04
2.000000e+02	2.200000e+02	1.466000e-03	1.603933e-04	1.603933e-04
2.200000e+02	2.500000e+02	9.015000e-04	1.553557e-04	1.553557e-04
2.500000e+02	2.800000e+02	3.994000e-04	8.052944e-05	8.052944e-05
2.800000e+02	3.100000e+02	2.782000e-04	5.936472e-05	5.936472e-05
3.100000e+02	3.400000e+02	1.819000e-04	4.652107e-05	4.652107e-05
3.400000e+02	4.000000e+02	1.249000e-04	3.523876e-05	3.523876e-05
4.000000e+02	5.500000e+02	2.757000e-05	1.077621e-05	1.077621e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d10-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d10-x01-y02
Title=[9]  0.18
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.286000e-01	8.884036e-02	8.884036e-02
