# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d11-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d11-x01-y03 /THY/ATLAS_2013_I1230812_MU/d11-x01-y03
Title=Transverse momentum of 3rd jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d11-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$p_\perp$(3rd jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d11-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d11-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.043000e-01	2.931911e-02	2.931911e-02
3.500000e+01	4.000000e+01	1.220000e-01	1.483139e-02	1.483139e-02
4.000000e+01	5.000000e+01	6.553000e-02	6.857857e-03	6.857857e-03
5.000000e+01	6.000000e+01	3.108000e-02	3.107410e-03	3.107410e-03
6.000000e+01	7.000000e+01	1.635000e-02	1.602654e-03	1.602654e-03
7.000000e+01	8.000000e+01	9.069000e-03	8.344256e-04	8.344256e-04
8.000000e+01	1.000000e+02	4.122000e-03	4.762373e-04	4.762373e-04
1.000000e+02	1.200000e+02	1.334000e-03	2.049659e-04	2.049659e-04
1.200000e+02	1.400000e+02	6.689000e-04	1.137111e-04	1.137111e-04
1.400000e+02	1.600000e+02	3.571000e-04	8.353071e-05	8.353071e-05
1.600000e+02	2.000000e+02	1.224000e-04	3.860181e-05	3.860181e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d11-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d11-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.043000e-01	2.931911e-02	2.931911e-02
3.500000e+01	4.000000e+01	1.220000e-01	1.483139e-02	1.483139e-02
4.000000e+01	5.000000e+01	6.553000e-02	6.857857e-03	6.857857e-03
5.000000e+01	6.000000e+01	3.108000e-02	3.107410e-03	3.107410e-03
6.000000e+01	7.000000e+01	1.635000e-02	1.602654e-03	1.602654e-03
7.000000e+01	8.000000e+01	9.069000e-03	8.344256e-04	8.344256e-04
8.000000e+01	1.000000e+02	4.122000e-03	4.762373e-04	4.762373e-04
1.000000e+02	1.200000e+02	1.334000e-03	2.049659e-04	2.049659e-04
1.200000e+02	1.400000e+02	6.689000e-04	1.137111e-04	1.137111e-04
1.400000e+02	1.600000e+02	3.571000e-04	8.353071e-05	8.353071e-05
1.600000e+02	2.000000e+02	1.224000e-04	3.860181e-05	3.860181e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d11-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d11-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.043000e-01	2.931911e-02	2.931911e-02
3.500000e+01	4.000000e+01	1.220000e-01	1.483139e-02	1.483139e-02
4.000000e+01	5.000000e+01	6.553000e-02	6.857857e-03	6.857857e-03
5.000000e+01	6.000000e+01	3.108000e-02	3.107410e-03	3.107410e-03
6.000000e+01	7.000000e+01	1.635000e-02	1.602654e-03	1.602654e-03
7.000000e+01	8.000000e+01	9.069000e-03	8.344256e-04	8.344256e-04
8.000000e+01	1.000000e+02	4.122000e-03	4.762373e-04	4.762373e-04
1.000000e+02	1.200000e+02	1.334000e-03	2.049659e-04	2.049659e-04
1.200000e+02	1.400000e+02	6.689000e-04	1.137111e-04	1.137111e-04
1.400000e+02	1.600000e+02	3.571000e-04	8.353071e-05	8.353071e-05
1.600000e+02	2.000000e+02	1.224000e-04	3.860181e-05	3.860181e-05
# END HISTO1D

