# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d13-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d13-x01-y03 /THY/ATLAS_2013_I1230812_MU/d13-x01-y03
Title=Transverse jet momentum in $Z+1$jet events
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d13-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$p_\perp$(jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d13-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d13-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.491000e+00	1.925201e-01	1.925201e-01
3.500000e+01	4.000000e+01	1.746000e+00	8.566213e-02	8.566213e-02
4.000000e+01	5.000000e+01	1.121000e+00	4.456456e-02	4.456456e-02
5.000000e+01	6.000000e+01	6.422000e-01	2.355844e-02	2.355844e-02
6.000000e+01	7.000000e+01	3.915000e-01	1.433911e-02	1.433911e-02
7.000000e+01	8.000000e+01	2.520000e-01	9.338094e-03	9.338094e-03
8.000000e+01	1.000000e+02	1.370000e-01	5.334791e-03	5.334791e-03
1.000000e+02	1.200000e+02	6.166000e-02	2.406034e-03	2.406034e-03
1.200000e+02	1.400000e+02	3.235000e-02	1.460000e-03	1.460000e-03
1.400000e+02	1.600000e+02	1.758000e-02	9.632238e-04	9.632238e-04
1.600000e+02	1.800000e+02	1.032000e-02	5.911007e-04	5.911007e-04
1.800000e+02	2.000000e+02	6.455000e-03	4.208575e-04	4.208575e-04
2.000000e+02	2.200000e+02	3.910000e-03	3.780939e-04	3.780939e-04
2.200000e+02	2.500000e+02	1.787000e-03	2.250067e-04	2.250067e-04
2.500000e+02	2.800000e+02	9.798000e-04	1.366025e-04	1.366025e-04
2.800000e+02	3.100000e+02	6.016000e-04	1.008788e-04	1.008788e-04
3.100000e+02	3.400000e+02	3.178000e-04	7.749542e-05	7.749542e-05
3.400000e+02	4.000000e+02	2.133000e-04	5.309972e-05	5.309972e-05
4.000000e+02	5.500000e+02	4.091000e-05	1.436633e-05	1.436633e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d13-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d13-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.491000e+00	1.925201e-01	1.925201e-01
3.500000e+01	4.000000e+01	1.746000e+00	8.566213e-02	8.566213e-02
4.000000e+01	5.000000e+01	1.121000e+00	4.456456e-02	4.456456e-02
5.000000e+01	6.000000e+01	6.422000e-01	2.355844e-02	2.355844e-02
6.000000e+01	7.000000e+01	3.915000e-01	1.433911e-02	1.433911e-02
7.000000e+01	8.000000e+01	2.520000e-01	9.338094e-03	9.338094e-03
8.000000e+01	1.000000e+02	1.370000e-01	5.334791e-03	5.334791e-03
1.000000e+02	1.200000e+02	6.166000e-02	2.406034e-03	2.406034e-03
1.200000e+02	1.400000e+02	3.235000e-02	1.460000e-03	1.460000e-03
1.400000e+02	1.600000e+02	1.758000e-02	9.632238e-04	9.632238e-04
1.600000e+02	1.800000e+02	1.032000e-02	5.911007e-04	5.911007e-04
1.800000e+02	2.000000e+02	6.455000e-03	4.208575e-04	4.208575e-04
2.000000e+02	2.200000e+02	3.910000e-03	3.780939e-04	3.780939e-04
2.200000e+02	2.500000e+02	1.787000e-03	2.250067e-04	2.250067e-04
2.500000e+02	2.800000e+02	9.798000e-04	1.366025e-04	1.366025e-04
2.800000e+02	3.100000e+02	6.016000e-04	1.008788e-04	1.008788e-04
