# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d18-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d18-x01-y03 /THY/ATLAS_2013_I1230812_MU/d18-x01-y03
Title=Rapidity of 2nd jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d18-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
LegendXPos=0.05
XLabel=$|y|$(2nd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|y|$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d18-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d18-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.809000e+00	5.077105e-01	5.077105e-01
2.000000e-01	4.000000e-01	6.581000e+00	4.787849e-01	4.787849e-01
4.000000e-01	6.000000e-01	6.344000e+00	4.578450e-01	4.578450e-01
6.000000e-01	8.000000e-01	6.277000e+00	4.799594e-01	4.799594e-01
8.000000e-01	1.000000e+00	5.946000e+00	4.553120e-01	4.553120e-01
1.000000e+00	1.200000e+00	5.444000e+00	4.512859e-01	4.512859e-01
1.200000e+00	1.400000e+00	5.349000e+00	4.640528e-01	4.640528e-01
1.400000e+00	1.600000e+00	4.834000e+00	4.005421e-01	4.005421e-01
1.600000e+00	1.800000e+00	4.062000e+00	3.636001e-01	3.636001e-01
1.800000e+00	2.000000e+00	3.866000e+00	3.614084e-01	3.614084e-01
2.000000e+00	2.200000e+00	3.319000e+00	3.244873e-01	3.244873e-01
2.200000e+00	2.400000e+00	2.891000e+00	2.936256e-01	2.936256e-01
2.400000e+00	2.600000e+00	2.314000e+00	3.012275e-01	3.012275e-01
2.600000e+00	2.800000e+00	1.962000e+00	2.823367e-01	2.823367e-01
2.800000e+00	3.000000e+00	1.816000e+00	3.218478e-01	3.218478e-01
3.000000e+00	3.400000e+00	1.139000e+00	2.016358e-01	2.016358e-01
3.400000e+00	3.800000e+00	6.153000e-01	1.248029e-01	1.248029e-01
3.800000e+00	4.400000e+00	2.035000e-01	5.505515e-02	5.505515e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d18-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d18-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.809000e+00	5.077105e-01	5.077105e-01
2.000000e-01	4.000000e-01	6.581000e+00	4.787849e-01	4.787849e-01
4.000000e-01	6.000000e-01	6.344000e+00	4.578450e-01	4.578450e-01
6.000000e-01	8.000000e-01	6.277000e+00	4.799594e-01	4.799594e-01
8.000000e-01	1.000000e+00	5.946000e+00	4.553120e-01	4.553120e-01
1.000000e+00	1.200000e+00	5.444000e+00	4.512859e-01	4.512859e-01
1.200000e+00	1.400000e+00	5.349000e+00	4.640528e-01	4.640528e-01
1.400000e+00	1.600000e+00	4.834000e+00	4.005421e-01	4.005421e-01
1.600000e+00	1.800000e+00	4.062000e+00	3.636001e-01	3.636001e-01
1.800000e+00	2.000000e+00	3.866000e+00	3.614084e-01	3.614084e-01
2.000000e+00	2.200000e+00	3.319000e+00	3.244873e-01	3.244873e-01
2.200000e+00	2.400000e+00	2.891000e+00	2.936256e-01	2.936256e-01
2.400000e+00	2.600000e+00	2.314000e+00	3.012275e-01	3.012275e-01
2.600000e+00	2.800000e+00	1.962000e+00	2.823367e-01	2.823367e-01
2.800000e+00	3.000000e+00	1.816000e+00	3.218478e-01	3.218478e-01
3.000000e+00	3.400000e+00	1.139000e+00	2.016358e-01	2.016358e-01
3.400000e+00	3.800000e+00	6.153000e-01	1.248029e-01	1.248029e-01
3.800000e+00	4.400000e+00	2.035000e-01	5.505515e-02	5.505515e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d18-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d18-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.809000e+00	5.077105e-01	5.077105e-01
2.000000e-01	4.000000e-01	6.581000e+00	4.787849e-01	4.787849e-01
4.000000e-01	6.000000e-01	6.344000e+00	4.578450e-01	4.578450e-01
6.000000e-01	8.000000e-01	6.277000e+00	4.799594e-01	4.799594e-01
8.000000e-01	1.000000e+00	5.946000e+00	4.553120e-01	4.553120e-01
1.000000e+00	1.200000e+00	5.444000e+00	4.512859e-01	4.512859e-01
1.200000e+00	1.400000e+00	5.349000e+00	4.640528e-01	4.640528e-01
1.400000e+00	1.600000e+00	4.834000e+00	4.005421e-01	4.005421e-01
1.600000e+00	1.800000e+00	4.062000e+00	3.636001e-01	3.636001e-01
1.800000e+00	2.000000e+00	3.866000e+00	3.614084e-01	3.614084e-01
2.000000e+00	2.200000e+00	3.319000e+00	3.244873e-01	3.244873e-01
