# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d25-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d25-x01-y03 /THY/ATLAS_2013_I1230812_MU/d25-x01-y03
Title=Transverse momentum of 3rd jet (VBF selection)
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d25-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$p_\perp$(3rd jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d25-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d25-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.371000e-02	2.895617e-03	2.895617e-03
3.500000e+01	4.000000e+01	9.508000e-03	1.594161e-03	1.594161e-03
4.000000e+01	5.000000e+01	5.455000e-03	8.459320e-04	8.459320e-04
5.000000e+01	6.000000e+01	2.759000e-03	4.761628e-04	4.761628e-04
6.000000e+01	7.000000e+01	1.456000e-03	2.389017e-04	2.389017e-04
7.000000e+01	8.000000e+01	7.422000e-04	1.482037e-04	1.482037e-04
8.000000e+01	1.000000e+02	2.734000e-04	8.295457e-05	8.295457e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d25-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d25-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.371000e-02	2.895617e-03	2.895617e-03
3.500000e+01	4.000000e+01	9.508000e-03	1.594161e-03	1.594161e-03
4.000000e+01	5.000000e+01	5.455000e-03	8.459320e-04	8.459320e-04
5.000000e+01	6.000000e+01	2.759000e-03	4.761628e-04	4.761628e-04
6.000000e+01	7.000000e+01	1.456000e-03	2.389017e-04	2.389017e-04
7.000000e+01	8.000000e+01	7.422000e-04	1.482037e-04	1.482037e-04
8.000000e+01	1.000000e+02	2.734000e-04	8.295457e-05	8.295457e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d25-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d25-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	1.371000e-02	2.895617e-03	2.895617e-03
3.500000e+01	4.000000e+01	9.508000e-03	1.594161e-03	1.594161e-03
4.000000e+01	5.000000e+01	5.455000e-03	8.459320e-04	8.459320e-04
5.000000e+01	6.000000e+01	2.759000e-03	4.761628e-04	4.761628e-04
6.000000e+01	7.000000e+01	1.456000e-03	2.389017e-04	2.389017e-04
7.000000e+01	8.000000e+01	7.422000e-04	1.482037e-04	1.482037e-04
8.000000e+01	1.000000e+02	2.734000e-04	8.295457e-05	8.295457e-05
# END HISTO1D

