# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2013_I1244522/d03-x01-y01 /LHC.yoda/ATLAS_2013_I1244522/d03-x01-y01 /THY/ATLAS_2013_I1244522/d03-x01-y01
YLabelSep=6.0
RatioPlotReference=/REF/ATLAS_2013_I1244522/d03-x01-y01
RatioPlot=1
LogY=0
LegendXPos=0.6
XLabel=$|y^\text{jet}|$
MainPlot=1
YLabel=$\text{d}\sigma / \text{d}|y^\text{jet}|$ [pb]
YTwosidedTicks=1
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1244522/d03-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1244522/d03-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.370000e-01	2.158000e+03	1.500000e+02	2.120000e+02
2.370000e-01	4.740000e-01	2.113000e+03	1.620000e+02	2.090000e+02
4.740000e-01	7.110000e-01	2.043000e+03	1.600000e+02	2.040000e+02
7.110000e-01	9.480000e-01	1.968000e+03	1.610000e+02	2.050000e+02
9.480000e-01	1.185000e+00	1.806000e+03	1.550000e+02	1.910000e+02
1.185000e+00	1.422000e+00	1.687000e+03	1.540000e+02	1.840000e+02
1.422000e+00	1.659000e+00	1.452000e+03	1.480000e+02	1.720000e+02
1.659000e+00	1.896000e+00	1.256000e+03	1.310000e+02	1.480000e+02
1.896000e+00	2.133000e+00	1.108000e+03	1.240000e+02	1.360000e+02
2.133000e+00	2.370000e+00	9.120000e+02	1.120000e+02	1.180000e+02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1244522/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1244522/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.370000e-01	2.158000e+03	1.500000e+02	2.120000e+02
2.370000e-01	4.740000e-01	2.113000e+03	1.620000e+02	2.090000e+02
4.740000e-01	7.110000e-01	2.043000e+03	1.600000e+02	2.040000e+02
7.110000e-01	9.480000e-01	1.968000e+03	1.610000e+02	2.050000e+02
9.480000e-01	1.185000e+00	1.806000e+03	1.550000e+02	1.910000e+02
1.185000e+00	1.422000e+00	1.687000e+03	1.540000e+02	1.840000e+02
1.422000e+00	1.659000e+00	1.452000e+03	1.480000e+02	1.720000e+02
1.659000e+00	1.896000e+00	1.256000e+03	1.310000e+02	1.480000e+02
1.896000e+00	2.133000e+00	1.108000e+03	1.240000e+02	1.360000e+02
2.133000e+00	2.370000e+00	9.120000e+02	1.120000e+02	1.180000e+02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1244522/d03-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1244522/d03-x01-y01
Title=[10]  0.00
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.370000e-01	2.158000e+03	1.500000e+02	2.120000e+02
2.370000e-01	4.740000e-01	2.113000e+03	1.620000e+02	2.090000e+02
4.740000e-01	7.110000e-01	2.043000e+03	1.600000e+02	2.040000e+02
7.110000e-01	9.480000e-01	1.968014e+03	1.610143e+02	2.050143e+02
9.480000e-01	1.185000e+00	1.806000e+03	1.550000e+02	1.910000e+02
1.185000e+00	1.422000e+00	1.687000e+03	1.540000e+02	1.840000e+02
1.422000e+00	1.659000e+00	1.452000e+03	1.480000e+02	1.720000e+02
1.659000e+00	1.896000e+00	1.256000e+03	1.310000e+02	1.480000e+02
1.896000e+00	2.133000e+00	1.108000e+03	1.240000e+02	1.360000e+02
2.133000e+00	2.370000e+00	9.120143e+02	1.120143e+02	1.180143e+02
# END HISTO1D

