# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d27-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d27-x01-y03 /THY/ATLAS_2014_I1319490_MU/d27-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d27-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$|y^j|$ (3rd leading jet)
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 3j} / \text{d}y^j$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d27-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d27-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	9.775000e+00	1.195329e+00	1.195329e+00
4.000000e-01	1.200000e+00	8.858000e+00	1.073084e+00	1.073084e+00
1.200000e+00	1.600000e+00	7.265000e+00	9.321947e-01	9.321947e-01
1.600000e+00	2.000000e+00	5.958000e+00	7.691671e-01	7.691671e-01
2.000000e+00	2.400000e+00	4.783000e+00	6.212294e-01	6.212294e-01
2.400000e+00	2.800000e+00	3.438000e+00	5.314715e-01	5.314715e-01
2.800000e+00	3.200000e+00	2.574000e+00	5.523459e-01	5.523459e-01
3.200000e+00	3.600000e+00	1.329000e+00	2.720349e-01	2.720349e-01
3.600000e+00	4.000000e+00	5.532000e-01	1.409660e-01	1.409660e-01
4.000000e+00	4.400000e+00	2.205000e-01	8.491431e-02	8.491431e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d27-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d27-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	9.775000e+00	1.195329e+00	1.195329e+00
4.000000e-01	1.200000e+00	8.858000e+00	1.073084e+00	1.073084e+00
1.200000e+00	1.600000e+00	7.265000e+00	9.321947e-01	9.321947e-01
1.600000e+00	2.000000e+00	5.958000e+00	7.691671e-01	7.691671e-01
2.000000e+00	2.400000e+00	4.783000e+00	6.212294e-01	6.212294e-01
2.400000e+00	2.800000e+00	3.438000e+00	5.314715e-01	5.314715e-01
2.800000e+00	3.200000e+00	2.574000e+00	5.523459e-01	5.523459e-01
3.200000e+00	3.600000e+00	1.329000e+00	2.720349e-01	2.720349e-01
3.600000e+00	4.000000e+00	5.532000e-01	1.409660e-01	1.409660e-01
4.000000e+00	4.400000e+00	2.205000e-01	8.491431e-02	8.491431e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d27-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d27-x01-y03
Title=[2]  0.04
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	9.808996e+00	1.212327e+00	1.212327e+00
4.000000e-01	1.200000e+00	8.913243e+00	1.088406e+00	1.088406e+00
1.200000e+00	1.600000e+00	7.290497e+00	9.469153e-01	9.469153e-01
1.600000e+00	2.000000e+00	5.974998e+00	7.811864e-01	7.811864e-01
2.000000e+00	2.400000e+00	4.791499e+00	6.297284e-01	6.297284e-01
2.400000e+00	2.800000e+00	3.438000e+00	5.314715e-01	5.314715e-01
2.800000e+00	3.200000e+00	2.574000e+00	5.523459e-01	5.523459e-01
3.200000e+00	3.600000e+00	1.329000e+00	2.720349e-01	2.720349e-01
3.600000e+00	4.000000e+00	5.532000e-01	1.409660e-01	1.409660e-01
4.000000e+00	4.400000e+00	2.205000e-01	8.491431e-02	8.491431e-02
# END HISTO1D

