# BEGIN PLOT
DrawOnly=/REF/ATLAS_2015_I1345452/d14-x01-y02 /LHC.yoda/ATLAS_2015_I1345452/d14-x01-y02 /THY/ATLAS_2015_I1345452/d14-x01-y02
YLabelSep=8.0
Title=electron channel
RatioPlotReference=/REF/ATLAS_2015_I1345452/d14-x01-y02
RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Expected/Data
LegendXPos=0.6
XLabel=$m (\hat{t}_\text{l}\hat{t}_\text{h})$ [GeV]
MainPlot=1
YLabel=$\dfrac{\text{d}\sigma^\text{fid}}{\text{d}m(\hat{t}_\text{l}\hat{t}_\text{h})}$ [$\dfrac{\text{pb}}{\text{GeV}}$]
Legend=1
RatioPlotYMin=0.6
LeftMargin=1.9
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2015_I1345452/d14-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2015_I1345452/d14-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
2.250000e+02	4.000000e+02	4.900000e-03	6.486719e-04	6.486719e-04
4.000000e+02	5.000000e+02	1.400000e-02	1.451618e-03	1.451618e-03
5.000000e+02	6.000000e+02	1.100000e-02	1.265430e-03	1.265430e-03
6.000000e+02	7.000000e+02	6.300000e-03	8.504533e-04	8.504533e-04
7.000000e+02	8.500000e+02	3.400000e-03	4.637106e-04	4.637106e-04
8.500000e+02	1.000000e+03	1.500000e-03	2.611207e-04	2.611207e-04
1.000000e+03	1.250000e+03	5.700000e-04	1.014296e-04	1.014296e-04
1.250000e+03	2.500000e+03	5.600000e-05	1.435240e-05	1.435240e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2015_I1345452/d14-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2015_I1345452/d14-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.250000e+02	4.000000e+02	4.900000e-03	6.486719e-04	6.486719e-04
4.000000e+02	5.000000e+02	1.400000e-02	1.451618e-03	1.451618e-03
5.000000e+02	6.000000e+02	1.100000e-02	1.265430e-03	1.265430e-03
6.000000e+02	7.000000e+02	6.300000e-03	8.504533e-04	8.504533e-04
7.000000e+02	8.500000e+02	3.400000e-03	4.637106e-04	4.637106e-04
8.500000e+02	1.000000e+03	1.500000e-03	2.611207e-04	2.611207e-04
1.000000e+03	1.250000e+03	5.700000e-04	1.014296e-04	1.014296e-04
1.250000e+03	2.500000e+03	5.600000e-05	1.435240e-05	1.435240e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2015_I1345452/d14-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2015_I1345452/d14-x01-y02
Title=[6]  0.42
# xlow	 xhigh	 val	 errminus	 errplus
2.250000e+02	4.000000e+02	4.900000e-03	6.486719e-04	6.486719e-04
4.000000e+02	5.000000e+02	1.400000e-02	1.451618e-03	1.451618e-03
5.000000e+02	6.000000e+02	1.100000e-02	1.265430e-03	1.265430e-03
6.000000e+02	7.000000e+02	6.300000e-03	8.504533e-04	8.504533e-04
7.000000e+02	8.500000e+02	3.422664e-03	4.863745e-04	4.863745e-04
8.500000e+02	1.000000e+03	1.658647e-03	3.210837e-04	3.210837e-04
1.000000e+03	1.250000e+03	5.700000e-04	1.014296e-04	1.014296e-04
1.250000e+03	2.500000e+03	6.143933e-05	1.819859e-05	1.819859e-05
# END HISTO1D

