# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1224539_WJET/d52-x01-y01 /LHC.yoda/CMS_2013_I1224539_WJET/d52-x01-y01 /THY/CMS_2013_I1224539_WJET/d52-x01-y01
XMax=150.0
Title=Ungroomed AK7 $W$+jets, $p_{T,j}$ = 125--150 GeV
RatioPlotReference=/REF/CMS_2013_I1224539_WJET/d52-x01-y01
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
XLabel=$m$ [GeV]
MainPlot=1
YLabel=$1000/\sigma \, \mathrm{d}\sigma)/\mathrm{d}m$ [1/GeV]
XMin=0.0
Legend=1
RatioPlotYMin=0.0
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d52-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1224539_WJET/d52-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.122900e+00	7.633330e-01	7.633330e-01
1.000000e+01	2.000000e+01	2.130400e+01	2.868049e+00	2.868049e+00
2.000000e+01	3.000000e+01	3.957700e+01	2.356584e+00	2.356584e+00
3.000000e+01	4.000000e+01	2.475700e+01	2.572262e+00	2.572262e+00
4.000000e+01	5.000000e+01	1.001100e+01	1.046362e+00	1.046362e+00
5.000000e+01	6.000000e+01	2.856200e+00	5.956211e-01	5.956211e-01
6.000000e+01	7.000000e+01	3.536000e-01	1.490145e-01	1.490145e-01
7.000000e+01	8.000000e+01	1.779000e-02	9.611457e-03	9.611457e-03
8.000000e+01	9.000000e+01	0.000000e+00	1.900000e-03	1.900000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1224539_WJET/d52-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1224539_WJET/d52-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.122900e+00	7.633330e-01	7.633330e-01
1.000000e+01	2.000000e+01	2.130400e+01	2.868049e+00	2.868049e+00
2.000000e+01	3.000000e+01	3.957700e+01	2.356584e+00	2.356584e+00
3.000000e+01	4.000000e+01	2.475700e+01	2.572262e+00	2.572262e+00
4.000000e+01	5.000000e+01	1.001100e+01	1.046362e+00	1.046362e+00
5.000000e+01	6.000000e+01	2.856200e+00	5.956211e-01	5.956211e-01
6.000000e+01	7.000000e+01	3.536000e-01	1.490145e-01	1.490145e-01
7.000000e+01	8.000000e+01	1.779000e-02	9.611457e-03	9.611457e-03
8.000000e+01	9.000000e+01	0.000000e+00	1.900000e-03	1.900000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2013_I1224539_WJET/d52-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2013_I1224539_WJET/d52-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.122900e+00	7.633330e-01	7.633330e-01
1.000000e+01	2.000000e+01	2.130400e+01	2.868049e+00	2.868049e+00
2.000000e+01	3.000000e+01	3.957700e+01	2.356584e+00	2.356584e+00
3.000000e+01	4.000000e+01	2.475700e+01	2.572262e+00	2.572262e+00
4.000000e+01	5.000000e+01	1.001100e+01	1.046362e+00	1.046362e+00
5.000000e+01	6.000000e+01	2.856200e+00	5.956211e-01	5.956211e-01
6.000000e+01	7.000000e+01	3.536000e-01	1.490145e-01	1.490145e-01
7.000000e+01	8.000000e+01	1.779000e-02	9.611457e-03	9.611457e-03
8.000000e+01	9.000000e+01	0.000000e+00	1.900000e-03	1.900000e-03
# END HISTO1D

