# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1303894/d02-x01-y01 /LHC.yoda/CMS_2014_I1303894/d02-x01-y01 /THY/CMS_2014_I1303894/d02-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=5.0~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2014_I1303894/d02-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$\Delta \phi (\text{jet}_2,\mu)$ [rad]
MainPlot=1
YLabel=$d\sigma (\text{W}\rightarrow \mu \nu +\geq 2 \text{jet})/d\Delta\phi$ [pb/rad]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1303894/d02-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1303894/d02-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.094396e-01	2.075044e+01	1.530876e+00	1.595344e+00
2.094395e-01	4.188791e-01	2.234714e+01	1.619169e+00	1.714139e+00
4.188790e-01	6.283186e-01	2.727777e+01	1.915110e+00	2.041659e+00
6.283185e-01	8.377581e-01	2.844868e+01	2.250589e+00	2.335267e+00
8.377580e-01	1.047198e+00	2.984096e+01	2.030908e+00	2.122704e+00
1.047197e+00	1.256637e+00	3.041465e+01	2.194771e+00	2.265185e+00
1.256637e+00	1.466077e+00	3.149338e+01	2.233822e+00	2.360317e+00
1.466076e+00	1.675516e+00	3.227418e+01	1.878573e+00	1.963738e+00
1.675516e+00	1.884956e+00	3.199437e+01	2.396163e+00	2.571574e+00
1.884955e+00	2.094395e+00	3.356001e+01	1.453790e+00	1.651667e+00
2.094395e+00	2.303835e+00	3.439114e+01	1.647919e+00	1.827875e+00
2.303834e+00	2.513274e+00	3.359013e+01	1.369011e+00	1.559241e+00
2.513274e+00	2.722714e+00	3.360689e+01	1.450664e+00	1.642020e+00
2.722713e+00	2.932153e+00	3.328728e+01	1.542131e+00	1.745100e+00
2.932153e+00	3.141593e+00	3.326817e+01	1.684498e+00	1.815267e+00
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2014_I1303894/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2014_I1303894/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.094396e-01	2.075044e+01	1.530876e+00	1.595344e+00
2.094395e-01	4.188791e-01	2.234714e+01	1.619169e+00	1.714139e+00
4.188790e-01	6.283186e-01	2.727777e+01	1.915110e+00	2.041659e+00
6.283185e-01	8.377581e-01	2.844868e+01	2.250589e+00	2.335267e+00
8.377580e-01	1.047198e+00	2.984096e+01	2.030908e+00	2.122704e+00
1.047197e+00	1.256637e+00	3.041465e+01	2.194771e+00	2.265185e+00
1.256637e+00	1.466077e+00	3.149338e+01	2.233822e+00	2.360317e+00
1.466076e+00	1.675516e+00	3.227418e+01	1.878573e+00	1.963738e+00
1.675516e+00	1.884956e+00	3.199437e+01	2.396163e+00	2.571574e+00
1.884955e+00	2.094395e+00	3.356001e+01	1.453790e+00	1.651667e+00
2.094395e+00	2.303835e+00	3.439114e+01	1.647919e+00	1.827875e+00
2.303834e+00	2.513274e+00	3.359013e+01	1.369011e+00	1.559241e+00
2.513274e+00	2.722714e+00	3.360689e+01	1.450664e+00	1.642020e+00
2.722713e+00	2.932153e+00	3.328728e+01	1.542131e+00	1.745100e+00
2.932153e+00	3.141593e+00	3.326817e+01	1.684498e+00	1.815267e+00
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2014_I1303894/d02-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2014_I1303894/d02-x01-y01
Title=[15]  0.03
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.094396e-01	2.076667e+01	1.547108e+00	1.611576e+00
2.094395e-01	4.188791e-01	2.236337e+01	1.635401e+00	1.730371e+00
4.188790e-01	6.283186e-01	2.731023e+01	1.938065e+00	2.064614e+00
6.283185e-01	8.377581e-01	2.851361e+01	2.283053e+00	2.367731e+00
8.377580e-01	1.047198e+00	2.984096e+01	2.030908e+00	2.122704e+00
1.047197e+00	1.256637e+00	3.041465e+01	2.194771e+00	2.265185e+00
1.256637e+00	1.466077e+00	3.149338e+01	2.233822e+00	2.360317e+00
1.466076e+00	1.675516e+00	3.230664e+01	1.901528e+00	1.986693e+00
1.675516e+00	1.884956e+00	3.201060e+01	2.412395e+00	2.587806e+00
1.884955e+00	2.094395e+00	3.357624e+01	1.470022e+00	1.667899e+00
2.094395e+00	2.303835e+00	3.440737e+01	1.664151e+00	1.844107e+00
2.303834e+00	2.513274e+00	3.362259e+01	1.391966e+00	1.582196e+00
2.513274e+00	2.722714e+00	3.365559e+01	1.478778e+00	1.670134e+00
2.722713e+00	2.932153e+00	3.331974e+01	1.565086e+00	1.768055e+00
2.932153e+00	3.141593e+00	3.333310e+01	1.716962e+00	1.847731e+00
# END HISTO1D

