# BEGIN PLOT
DrawOnly=/REF/CMS_2014_I1303894/d15-x01-y01 /LHC.yoda/CMS_2014_I1303894/d15-x01-y01 /THY/CMS_2014_I1303894/d15-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=5.0~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2014_I1303894/d15-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=Leading jet $p_\text{T}$ [GeV]
MainPlot=1
YLabel=$d\sigma (\text{W}\rightarrow \mu \nu +\geq 1 \text{jet})/dp_{\text{T}}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2014_I1303894/d15-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2014_I1303894/d15-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	1.434645e+01	7.173098e-01	7.078708e-01
5.000000e+01	7.000000e+01	4.880432e+00	4.671867e-01	5.051403e-01
7.000000e+01	9.000000e+01	2.108708e+00	8.973158e-02	8.956811e-02
9.000000e+01	1.100000e+02	9.773481e-01	7.623613e-02	8.948739e-02
1.100000e+02	1.500000e+02	4.053663e-01	4.273865e-02	4.349142e-02
1.500000e+02	1.900000e+02	1.387144e-01	1.388900e-02	1.534813e-02
1.900000e+02	2.500000e+02	4.553986e-02	5.525732e-03	5.828456e-03
2.500000e+02	3.100000e+02	1.419374e-02	2.064581e-03	2.752775e-03
3.100000e+02	4.300000e+02	4.161453e-03	6.256307e-04	6.801211e-04
4.300000e+02	8.500000e+02	3.148335e-04	8.476287e-05	6.659939e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2014_I1303894/d15-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2014_I1303894/d15-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	1.434645e+01	7.173098e-01	7.078708e-01
5.000000e+01	7.000000e+01	4.880432e+00	4.671867e-01	5.051403e-01
7.000000e+01	9.000000e+01	2.108708e+00	8.973158e-02	8.956811e-02
9.000000e+01	1.100000e+02	9.773481e-01	7.623613e-02	8.948739e-02
1.100000e+02	1.500000e+02	4.053663e-01	4.273865e-02	4.349142e-02
1.500000e+02	1.900000e+02	1.387144e-01	1.388900e-02	1.534813e-02
1.900000e+02	2.500000e+02	4.553986e-02	5.525732e-03	5.828456e-03
2.500000e+02	3.100000e+02	1.419374e-02	2.064581e-03	2.752775e-03
3.100000e+02	4.300000e+02	4.161453e-03	6.256307e-04	6.801211e-04
4.300000e+02	8.500000e+02	3.148335e-04	8.476287e-05	6.659939e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2014_I1303894/d15-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2014_I1303894/d15-x01-y01
Title=[9]  0.13
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	5.000000e+01	1.434645e+01	7.173098e-01	7.078708e-01
5.000000e+01	7.000000e+01	4.880432e+00	4.671867e-01	5.051403e-01
7.000000e+01	9.000000e+01	2.108708e+00	8.973158e-02	8.956811e-02
9.000000e+01	1.100000e+02	9.775181e-01	7.640611e-02	8.965737e-02
1.100000e+02	1.500000e+02	4.057063e-01	4.290863e-02	4.366140e-02
1.500000e+02	1.900000e+02	1.392243e-01	1.409718e-02	1.555631e-02
1.900000e+02	2.500000e+02	4.576650e-02	5.639051e-03	5.941775e-03
2.500000e+02	3.100000e+02	1.442038e-02	2.177900e-03	2.866094e-03
3.100000e+02	4.300000e+02	4.274772e-03	6.822904e-04	7.367808e-04
4.300000e+02	8.500000e+02	3.229277e-04	9.285712e-05	7.469364e-05
# END HISTO1D

