# BEGIN PLOT
DrawOnly=/REF/CMS_2015_I1310737/d12-x01-y01 /LHC.yoda/CMS_2015_I1310737/d12-x01-y01 /THY/CMS_2015_I1310737/d12-x01-y01
Title=$\text{CMS}~~~~~~~\sqrt{s}=7~\text{TeV}~~~~~~~\text{L}_\text{int}=4.9~\text{fb}^{-1}$
RatioPlotReference=/REF/CMS_2015_I1310737/d12-x01-y01
RatioPlot=1
LogX=0
LogY=1
LegendXPos=0.7
XLabel=$H_T, N_{jet} \ge 2$ [GeV]
MainPlot=1
YLabel=$d\sigma/dH_{T}$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2015_I1310737/d12-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2015_I1310737/d12-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e+01	1.100000e+02	1.141277e-01	9.375971e-03	9.375971e-03
1.100000e+02	1.600000e+02	7.048951e-02	6.511489e-03	6.511489e-03
1.600000e+02	2.100000e+02	3.406177e-02	3.673474e-03	3.673474e-03
2.100000e+02	2.600000e+02	1.677374e-02	1.904857e-03	1.904857e-03
2.600000e+02	3.100000e+02	8.731513e-03	9.991243e-04	9.991243e-04
3.100000e+02	3.600000e+02	5.188212e-03	5.772069e-04	5.772069e-04
3.600000e+02	4.100000e+02	3.088405e-03	3.408451e-04	3.408451e-04
4.100000e+02	4.600000e+02	1.837027e-03	2.173709e-04	2.173709e-04
4.600000e+02	5.100000e+02	1.162593e-03	1.353977e-04	1.353977e-04
5.100000e+02	5.600000e+02	7.437262e-04	8.865826e-05	8.865826e-05
5.600000e+02	6.100000e+02	5.500540e-04	6.762472e-05	6.762472e-05
6.100000e+02	6.600000e+02	3.354483e-04	6.817620e-05	6.817620e-05
6.600000e+02	7.100000e+02	2.379542e-04	5.046776e-05	5.046776e-05
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2015_I1310737/d12-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2015_I1310737/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e+01	1.100000e+02	1.141277e-01	9.375971e-03	9.375971e-03
1.100000e+02	1.600000e+02	7.048951e-02	6.511489e-03	6.511489e-03
1.600000e+02	2.100000e+02	3.406177e-02	3.673474e-03	3.673474e-03
2.100000e+02	2.600000e+02	1.677374e-02	1.904857e-03	1.904857e-03
2.600000e+02	3.100000e+02	8.731513e-03	9.991243e-04	9.991243e-04
3.100000e+02	3.600000e+02	5.188212e-03	5.772069e-04	5.772069e-04
3.600000e+02	4.100000e+02	3.088405e-03	3.408451e-04	3.408451e-04
4.100000e+02	4.600000e+02	1.837027e-03	2.173709e-04	2.173709e-04
4.600000e+02	5.100000e+02	1.162593e-03	1.353977e-04	1.353977e-04
5.100000e+02	5.600000e+02	7.437262e-04	8.865826e-05	8.865826e-05
5.600000e+02	6.100000e+02	5.500540e-04	6.762472e-05	6.762472e-05
6.100000e+02	6.600000e+02	3.354483e-04	6.817620e-05	6.817620e-05
6.600000e+02	7.100000e+02	2.379542e-04	5.046776e-05	5.046776e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/CMS_2015_I1310737/d12-x01-y01
LineColor=red
Path=/LHC.yoda/CMS_2015_I1310737/d12-x01-y01
Title=[6]  0.09
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e+01	1.100000e+02	1.141277e-01	9.375971e-03	9.375971e-03
1.100000e+02	1.600000e+02	7.048951e-02	6.511489e-03	6.511489e-03
1.600000e+02	2.100000e+02	3.406177e-02	3.673474e-03	3.673474e-03
2.100000e+02	2.600000e+02	1.677374e-02	1.904857e-03	1.904857e-03
2.600000e+02	3.100000e+02	8.731513e-03	9.991243e-04	9.991243e-04
3.100000e+02	3.600000e+02	5.256204e-03	6.252843e-04	6.252843e-04
3.600000e+02	4.100000e+02	3.088405e-03	3.408451e-04	3.408451e-04
4.100000e+02	4.600000e+02	1.837027e-03	2.173709e-04	2.173709e-04
4.600000e+02	5.100000e+02	1.162593e-03	1.353977e-04	1.353977e-04
5.100000e+02	5.600000e+02	7.437262e-04	8.865826e-05	8.865826e-05
5.600000e+02	6.100000e+02	5.500540e-04	6.762472e-05	6.762472e-05
6.100000e+02	6.600000e+02	3.354483e-04	6.817620e-05	6.817620e-05
6.600000e+02	7.100000e+02	2.379542e-04	5.046776e-05	5.046776e-05
# END HISTO1D

