# BEGIN PLOT
DrawOnly=/REF/ATLAS_2012_I1093738/d01-x01-y01 /LHC.yoda/ATLAS_2012_I1093738/d01-x01-y01 /THY/ATLAS_2012_I1093738/d01-x01-y01
XMax=400.0
Title=Leading photon $E_\perp$ (central jets, same-sign rapidity)
RatioPlotReference=/REF/ATLAS_2012_I1093738/d01-x01-y01
RatioPlot=1
LogX=1
LogY=1
XLabel=$E_\perp^\gamma$ [GeV]
MainPlot=1
YLabel=$\mathrm{d}\sigma/\mathrm{d}E_\perp^\gamma$ [pb/GeV]
XMin=25.0
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2012_I1093738/d01-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2012_I1093738/d01-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
2.500000e+01	3.000000e+01	3.940000e+02	7.400000e+01	3.100000e+01
3.000000e+01	3.500000e+01	2.580000e+02	5.000000e+01	2.300000e+01
3.500000e+01	4.500000e+01	1.370000e+02	2.700000e+01	1.300000e+01
4.500000e+01	5.500000e+01	6.090000e+01	7.100000e+00	5.200000e+00
5.500000e+01	7.000000e+01	2.480000e+01	3.000000e+00	2.400000e+00
7.000000e+01	8.500000e+01	9.510000e+00	1.240000e+00	1.000000e+00
8.500000e+01	1.000000e+02	4.400000e+00	5.700000e-01	5.000000e-01
1.000000e+02	1.250000e+02	1.770000e+00	2.400000e-01	2.200000e-01
1.250000e+02	1.500000e+02	6.980000e-01	1.030000e-01	9.300000e-02
1.500000e+02	2.000000e+02	2.260000e-01	3.600000e-02	3.400000e-02
2.000000e+02	4.000000e+02	2.830000e-02	5.000000e-03	4.800000e-03
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2012_I1093738/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2012_I1093738/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.500000e+01	3.000000e+01	3.940000e+02	7.400000e+01	3.100000e+01
3.000000e+01	3.500000e+01	2.580000e+02	5.000000e+01	2.300000e+01
3.500000e+01	4.500000e+01	1.370000e+02	2.700000e+01	1.300000e+01
4.500000e+01	5.500000e+01	6.090000e+01	7.100000e+00	5.200000e+00
5.500000e+01	7.000000e+01	2.480000e+01	3.000000e+00	2.400000e+00
7.000000e+01	8.500000e+01	9.510000e+00	1.240000e+00	1.000000e+00
8.500000e+01	1.000000e+02	4.400000e+00	5.700000e-01	5.000000e-01
1.000000e+02	1.250000e+02	1.770000e+00	2.400000e-01	2.200000e-01
1.250000e+02	1.500000e+02	6.980000e-01	1.030000e-01	9.300000e-02
1.500000e+02	2.000000e+02	2.260000e-01	3.600000e-02	3.400000e-02
2.000000e+02	4.000000e+02	2.830000e-02	5.000000e-03	4.800000e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2012_I1093738/d01-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2012_I1093738/d01-x01-y01
Title=[8]  0.00
# xlow	 xhigh	 val	 errminus	 errplus
2.500000e+01	3.000000e+01	3.940007e+02	7.400068e+01	3.100068e+01
3.000000e+01	3.500000e+01	2.580020e+02	5.000118e+01	2.300118e+01
3.500000e+01	4.500000e+01	1.370000e+02	2.700000e+01	1.300000e+01
4.500000e+01	5.500000e+01	6.090034e+01	7.100340e+00	5.200340e+00
5.500000e+01	7.000000e+01	2.480000e+01	3.000000e+00	2.400000e+00
7.000000e+01	8.500000e+01	9.510000e+00	1.240000e+00	1.000000e+00
8.500000e+01	1.000000e+02	4.400000e+00	5.700000e-01	5.000000e-01
1.000000e+02	1.250000e+02	1.770136e+00	2.401360e-01	2.201360e-01
1.250000e+02	1.500000e+02	6.980000e-01	1.030000e-01	9.300000e-02
1.500000e+02	2.000000e+02	2.260000e-01	3.600000e-02	3.400000e-02
2.000000e+02	4.000000e+02	2.830000e-02	5.000000e-03	4.800000e-03
# END HISTO1D

