# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d01-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d01-x01-y02 /THY/ATLAS_2013_I1230812_EL/d01-x01-y02
Title=Inclusive jet multiplicity
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d01-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
LegendXPos=0.05
XLabel=$N_\text{jet}$
MainPlot=1
YLabel=$\sigma(Z/\gamma^*(\to \text{e}^+\text{e}^-)+\geq N_\text{jet})$ [pb]
XMinorTickMarks=0
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d01-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d01-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	4.240000e+02	4.000000e+01	3.500000e+01
5.000000e-01	1.500000e+00	6.142000e+01	4.854170e+00	4.854170e+00
1.500000e+00	2.500000e+00	1.329000e+01	1.392620e+00	1.392620e+00
2.500000e+00	3.500000e+00	2.688000e+00	3.602860e-01	3.602860e-01
3.500000e+00	4.500000e+00	5.738000e-01	9.853990e-02	9.853990e-02
4.500000e+00	5.500000e+00	1.129000e-01	2.496820e-02	2.496820e-02
5.500000e+00	6.500000e+00	1.760000e-02	5.423980e-03	5.423980e-03
6.500000e+00	7.500000e+00	4.133000e-03	2.329770e-03	2.329770e-03
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	4.240000e+02	4.000000e+01	3.500000e+01
5.000000e-01	1.500000e+00	6.142000e+01	4.854170e+00	4.854170e+00
1.500000e+00	2.500000e+00	1.329000e+01	1.392620e+00	1.392620e+00
2.500000e+00	3.500000e+00	2.688000e+00	3.602860e-01	3.602860e-01
3.500000e+00	4.500000e+00	5.738000e-01	9.853990e-02	9.853990e-02
4.500000e+00	5.500000e+00	1.129000e-01	2.496820e-02	2.496820e-02
5.500000e+00	6.500000e+00	1.760000e-02	5.423980e-03	5.423980e-03
6.500000e+00	7.500000e+00	4.133000e-03	2.329770e-03	2.329770e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d01-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d01-x01-y02
Title=[4]  0.01
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	4.240068e+02	4.000481e+01	3.500481e+01
5.000000e-01	1.500000e+00	6.142680e+01	4.858978e+00	4.858978e+00
1.500000e+00	2.500000e+00	1.329680e+01	1.397428e+00	1.397428e+00
2.500000e+00	3.500000e+00	2.691400e+00	3.636856e-01	3.636856e-01
3.500000e+00	4.500000e+00	5.738000e-01	9.853990e-02	9.853990e-02
4.500000e+00	5.500000e+00	1.129000e-01	2.496820e-02	2.496820e-02
5.500000e+00	6.500000e+00	1.760000e-02	5.423980e-03	5.423980e-03
6.500000e+00	7.500000e+00	4.133000e-03	2.329770e-03	2.329770e-03
# END HISTO1D

