# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d03-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d03-x01-y02 /THY/ATLAS_2013_I1230812_EL/d03-x01-y02
Title=Exclusive jet multiplicity
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d03-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
LegendXPos=0.05
XLabel=$N_\text{jet}$
MainPlot=1
YLabel=$\sigma(Z/\gamma^*(\to \text{e}^+\text{e}^-)+ N_\text{jet})$ [pb]
XMinorTickMarks=0
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d03-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d03-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	3.699000e+02	1.130885e+01	1.130885e+01
5.000000e-01	1.500000e+00	4.813000e+01	3.514555e+00	3.514555e+00
1.500000e+00	2.500000e+00	1.060000e+01	1.042785e+00	1.042785e+00
2.500000e+00	3.500000e+00	2.114000e+00	2.645165e-01	2.645165e-01
3.500000e+00	4.500000e+00	4.609000e-01	7.537301e-02	7.537301e-02
4.500000e+00	5.500000e+00	9.529000e-02	2.087925e-02	2.087925e-02
5.500000e+00	6.500000e+00	1.347000e-02	4.176159e-03	4.176159e-03
6.500000e+00	7.500000e+00	3.472000e-03	2.065333e-03	2.065333e-03
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d03-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d03-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	3.699000e+02	1.130885e+01	1.130885e+01
5.000000e-01	1.500000e+00	4.813000e+01	3.514555e+00	3.514555e+00
1.500000e+00	2.500000e+00	1.060000e+01	1.042785e+00	1.042785e+00
2.500000e+00	3.500000e+00	2.114000e+00	2.645165e-01	2.645165e-01
3.500000e+00	4.500000e+00	4.609000e-01	7.537301e-02	7.537301e-02
4.500000e+00	5.500000e+00	9.529000e-02	2.087925e-02	2.087925e-02
5.500000e+00	6.500000e+00	1.347000e-02	4.176159e-03	4.176159e-03
6.500000e+00	7.500000e+00	3.472000e-03	2.065333e-03	2.065333e-03
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_EL/d03-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_EL/d03-x01-y02
Title=[4]  0.01
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	3.699000e+02	1.130885e+01	1.130885e+01
5.000000e-01	1.500000e+00	4.813000e+01	3.514555e+00	3.514555e+00
1.500000e+00	2.500000e+00	1.060340e+01	1.046185e+00	1.046185e+00
2.500000e+00	3.500000e+00	2.117400e+00	2.679161e-01	2.679161e-01
3.500000e+00	4.500000e+00	4.609000e-01	7.537301e-02	7.537301e-02
4.500000e+00	5.500000e+00	9.529000e-02	2.087925e-02	2.087925e-02
5.500000e+00	6.500000e+00	1.347000e-02	4.176159e-03	4.176159e-03
6.500000e+00	7.500000e+00	3.472000e-03	2.065333e-03	2.065333e-03
# END HISTO1D

