# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_EL/d13-x01-y02 /LHC.yoda/ATLAS_2013_I1230812_EL/d13-x01-y02 /THY/ATLAS_2013_I1230812_EL/d13-x01-y02
Title=Transverse jet momentum in $Z+1$jet events
RatioPlotReference=/REF/ATLAS_2013_I1230812_EL/d13-x01-y02
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \text{e}^+\text{e}^-$
XLabel=$p_\perp$(jet) [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d13-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_EL/d13-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	2.358000e+00	2.063977e-01	2.063977e-01
3.500000e+01	4.000000e+01	1.653000e+00	9.857484e-02	9.857484e-02
4.000000e+01	5.000000e+01	1.056000e+00	5.447935e-02	5.447935e-02
5.000000e+01	6.000000e+01	6.054000e-01	2.869390e-02	2.869390e-02
6.000000e+01	7.000000e+01	3.694000e-01	1.807235e-02	1.807235e-02
7.000000e+01	8.000000e+01	2.337000e-01	1.103857e-02	1.103857e-02
8.000000e+01	1.000000e+02	1.298000e-01	5.814637e-03	5.814637e-03
1.000000e+02	1.200000e+02	6.264000e-02	3.052474e-03	3.052474e-03
1.200000e+02	1.400000e+02	2.987000e-02	1.823732e-03	1.823732e-03
1.400000e+02	1.600000e+02	1.699000e-02	1.035133e-03	1.035133e-03
1.600000e+02	1.800000e+02	9.525000e-03	6.700567e-04	6.700567e-04
1.800000e+02	2.000000e+02	5.368000e-03	4.021020e-04	4.021020e-04
2.000000e+02	2.200000e+02	3.179000e-03	2.715898e-04	2.715898e-04
2.200000e+02	2.500000e+02	1.833000e-03	1.749228e-04	1.749228e-04
2.500000e+02	2.800000e+02	1.084000e-03	1.565248e-04	1.565248e-04
2.800000e+02	3.100000e+02	6.928000e-04	1.071257e-04	1.071257e-04
3.100000e+02	3.400000e+02	3.047000e-04	8.074615e-05	8.074615e-05
3.400000e+02	4.000000e+02	1.974000e-04	8.047136e-05	8.047136e-05
4.000000e+02	5.500000e+02	3.147000e-05	2.313167e-05	2.313167e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_EL/d13-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_EL/d13-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
