# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d19-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d19-x01-y03 /THY/ATLAS_2013_I1230812_MU/d19-x01-y03
Title=Rapidity of 3rd jet
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d19-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
LegendXPos=0.05
XLabel=$|y|$(3rd jet)
LegendAlign=l
MainPlot=1
YLabel=d$\sigma$/d$|y|$ [pb]
LegendYPos=0.5
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d19-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d19-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	1.368000e+00	1.414496e-01	1.414496e-01
4.000000e-01	8.000000e-01	1.294000e+00	1.386939e-01	1.386939e-01
8.000000e-01	1.200000e+00	1.151000e+00	1.293213e-01	1.293213e-01
1.200000e+00	1.600000e+00	9.907000e-01	1.214299e-01	1.214299e-01
1.600000e+00	2.000000e+00	7.888000e-01	1.018169e-01	1.018169e-01
2.000000e+00	2.400000e+00	7.251000e-01	9.703087e-02	9.703087e-02
2.400000e+00	2.800000e+00	4.798000e-01	8.370335e-02	8.370335e-02
2.800000e+00	3.200000e+00	3.664000e-01	7.855890e-02	7.855890e-02
3.200000e+00	3.600000e+00	1.583000e-01	3.383652e-02	3.383652e-02
3.600000e+00	4.000000e+00	8.799000e-02	2.306557e-02	2.306557e-02
4.000000e+00	4.400000e+00	2.615000e-02	1.038927e-02	1.038927e-02
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d19-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2013_I1230812_MU/d19-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	1.368000e+00	1.414496e-01	1.414496e-01
4.000000e-01	8.000000e-01	1.294000e+00	1.386939e-01	1.386939e-01
8.000000e-01	1.200000e+00	1.151000e+00	1.293213e-01	1.293213e-01
1.200000e+00	1.600000e+00	9.907000e-01	1.214299e-01	1.214299e-01
1.600000e+00	2.000000e+00	7.888000e-01	1.018169e-01	1.018169e-01
2.000000e+00	2.400000e+00	7.251000e-01	9.703087e-02	9.703087e-02
2.400000e+00	2.800000e+00	4.798000e-01	8.370335e-02	8.370335e-02
2.800000e+00	3.200000e+00	3.664000e-01	7.855890e-02	7.855890e-02
3.200000e+00	3.600000e+00	1.583000e-01	3.383652e-02	3.383652e-02
3.600000e+00	4.000000e+00	8.799000e-02	2.306557e-02	2.306557e-02
4.000000e+00	4.400000e+00	2.615000e-02	1.038927e-02	1.038927e-02
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2013_I1230812_MU/d19-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2013_I1230812_MU/d19-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	1.368000e+00	1.414496e-01	1.414496e-01
4.000000e-01	8.000000e-01	1.294000e+00	1.386939e-01	1.386939e-01
8.000000e-01	1.200000e+00	1.151000e+00	1.293213e-01	1.293213e-01
1.200000e+00	1.600000e+00	9.907000e-01	1.214299e-01	1.214299e-01
1.600000e+00	2.000000e+00	7.888000e-01	1.018169e-01	1.018169e-01
2.000000e+00	2.400000e+00	7.251000e-01	9.703087e-02	9.703087e-02
2.400000e+00	2.800000e+00	4.798000e-01	8.370335e-02	8.370335e-02
2.800000e+00	3.200000e+00	3.664000e-01	7.855890e-02	7.855890e-02
3.200000e+00	3.600000e+00	1.583000e-01	3.383652e-02	3.383652e-02
3.600000e+00	4.000000e+00	8.799000e-02	2.306557e-02	2.306557e-02
4.000000e+00	4.400000e+00	2.615000e-02	1.038927e-02	1.038927e-02
# END HISTO1D

