# BEGIN PLOT
DrawOnly=/REF/ATLAS_2013_I1230812_MU/d28-x01-y03 /LHC.yoda/ATLAS_2013_I1230812_MU/d28-x01-y03 /THY/ATLAS_2013_I1230812_MU/d28-x01-y03
Title=Scalar $p_\perp$ sum of jets
RatioPlotReference=/REF/ATLAS_2013_I1230812_MU/d28-x01-y03
RatioPlot=1
LogY=1
CustomLegend=$Z/\gamma^*\to \mu^+\mu^-$
XLabel=$S_T$ [GeV]
LegendAlign=r
MainPlot=1
YLabel=d$\sigma$/d$S_T$ [pb/GeV]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2013_I1230812_MU/d28-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2013_I1230812_MU/d28-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	4.000000e+01	2.107000e+00	1.482194e-01	1.482194e-01
4.000000e+01	5.000000e+01	1.118000e+00	6.220129e-02	6.220129e-02
5.000000e+01	6.000000e+01	6.449000e-01	3.297545e-02	3.297545e-02
6.000000e+01	7.000000e+01	4.782000e-01	2.802945e-02	2.802945e-02
7.000000e+01	8.000000e+01	4.003000e-01	2.520179e-02	2.520179e-02
8.000000e+01	9.000000e+01	3.137000e-01	1.969289e-02	1.969289e-02
9.000000e+01	1.000000e+02	2.425000e-01	1.499700e-02	1.499700e-02
1.000000e+02	1.100000e+02	1.926000e-01	1.209173e-02	1.209173e-02
1.100000e+02	1.200000e+02	1.564000e-01	1.037931e-02	1.037931e-02
1.200000e+02	1.300000e+02	1.275000e-01	8.576130e-03	8.576130e-03
1.300000e+02	1.400000e+02	1.055000e-01	6.972087e-03	6.972087e-03
1.400000e+02	1.500000e+02	8.702000e-02	5.663435e-03	5.663435e-03
1.500000e+02	1.600000e+02	7.271000e-02	4.670632e-03	4.670632e-03
1.600000e+02	1.700000e+02	6.180000e-02	3.965363e-03	3.965363e-03
1.700000e+02	1.800000e+02	5.081000e-02	3.308081e-03	3.308081e-03
1.800000e+02	1.900000e+02	4.368000e-02	2.975853e-03	2.975853e-03
1.900000e+02	2.000000e+02	3.766000e-02	2.658082e-03	2.658082e-03
2.000000e+02	2.200000e+02	2.997000e-02	2.210543e-03	2.210543e-03
2.200000e+02	2.400000e+02	2.188000e-02	1.652786e-03	1.652786e-03
2.400000e+02	2.600000e+02	1.657000e-02	1.144246e-03	1.144246e-03
2.600000e+02	2.800000e+02	1.285000e-02	8.324662e-04	8.324662e-04
2.800000e+02	3.000000e+02	9.974000e-03	6.537561e-04	6.537561e-04
3.000000e+02	3.200000e+02	8.222000e-03	5.708502e-04	5.708502e-04
3.200000e+02	3.400000e+02	6.500000e-03	4.522400e-04	4.522400e-04
3.400000e+02	3.600000e+02	5.267000e-03	3.866588e-04	3.866588e-04
