# BEGIN PLOT
DrawOnly=/REF/ATLAS_2014_I1282447/d03-x01-y01 /LHC.yoda/ATLAS_2014_I1282447/d03-x01-y01 /THY/ATLAS_2014_I1282447/d03-x01-y01
Title=$W^+ + \bar{c}$-jet
RatioPlotReference=/REF/ATLAS_2014_I1282447/d03-x01-y01
RatioPlot=1
LogY=0
XLabel=Lepton $|\eta|$
MainPlot=1
YLabel=$\mathrm{d} \sigma_\text{fid}^\text{OS-SS} / \mathrm{d} |\eta|$ [pb]
Legend=1
RatioPlotYMin=1
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1282447/d03-x01-y01
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1282447/d03-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-01	1.986000e+01	2.023561e+00	2.023561e+00
2.100000e-01	4.200000e-01	1.867000e+01	1.784657e+00	1.784657e+00
4.200000e-01	6.300000e-01	1.838000e+01	2.413732e+00	2.413732e+00
6.300000e-01	8.400000e-01	1.810000e+01	1.818378e+00	1.818378e+00
8.400000e-01	1.050000e+00	1.600000e+01	1.663310e+00	1.663310e+00
1.050000e+00	1.370000e+00	1.491000e+01	1.435584e+00	1.435584e+00
1.370000e+00	1.520000e+00	1.440000e+01	2.552215e+00	2.552215e+00
1.520000e+00	1.740000e+00	1.159000e+01	1.460137e+00	1.460137e+00
1.740000e+00	1.950000e+00	9.430000e+00	1.398463e+00	1.398463e+00
1.950000e+00	2.180000e+00	7.740000e+00	1.226418e+00	1.226418e+00
2.180000e+00	2.500000e+00	6.750000e+00	1.286895e+00	1.286895e+00
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1282447/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1282447/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-01	1.986000e+01	2.023561e+00	2.023561e+00
2.100000e-01	4.200000e-01	1.867000e+01	1.784657e+00	1.784657e+00
4.200000e-01	6.300000e-01	1.838000e+01	2.413732e+00	2.413732e+00
6.300000e-01	8.400000e-01	1.810000e+01	1.818378e+00	1.818378e+00
8.400000e-01	1.050000e+00	1.600000e+01	1.663310e+00	1.663310e+00
1.050000e+00	1.370000e+00	1.491000e+01	1.435584e+00	1.435584e+00
1.370000e+00	1.520000e+00	1.440000e+01	2.552215e+00	2.552215e+00
1.520000e+00	1.740000e+00	1.159000e+01	1.460137e+00	1.460137e+00
1.740000e+00	1.950000e+00	9.430000e+00	1.398463e+00	1.398463e+00
1.950000e+00	2.180000e+00	7.740000e+00	1.226418e+00	1.226418e+00
2.180000e+00	2.500000e+00	6.750000e+00	1.286895e+00	1.286895e+00
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1282447/d03-x01-y01
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1282447/d03-x01-y01
Title=[6]  0.01
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.100000e-01	1.987619e+01	2.039749e+00	2.039749e+00
2.100000e-01	4.200000e-01	1.867000e+01	1.784657e+00	1.784657e+00
4.200000e-01	6.300000e-01	1.839619e+01	2.429920e+00	2.429920e+00
6.300000e-01	8.400000e-01	1.811619e+01	1.834566e+00	1.834566e+00
8.400000e-01	1.050000e+00	1.601619e+01	1.679498e+00	1.679498e+00
1.050000e+00	1.370000e+00	1.493125e+01	1.450608e+00	1.450608e+00
1.370000e+00	1.520000e+00	1.440000e+01	2.552215e+00	2.552215e+00
1.520000e+00	1.740000e+00	1.159000e+01	1.460137e+00	1.460137e+00
1.740000e+00	1.950000e+00	9.430000e+00	1.398463e+00	1.398463e+00
1.950000e+00	2.180000e+00	7.754781e+00	1.241199e+00	1.241199e+00
2.180000e+00	2.500000e+00	6.750000e+00	1.286895e+00	1.286895e+00
# END HISTO1D

