# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d07-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d07-x01-y02 /THY/ATLAS_2014_I1319490_EL/d07-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d07-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$p^j_\text{T}$ (leading jet) [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}p^j_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d07-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d07-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.985000e-01	1.199058e-01	1.199058e-01
3.500000e+01	4.000000e+01	1.617000e+00	2.173154e-01	2.173154e-01
4.000000e+01	5.000000e+01	1.798000e+00	2.174971e-01	2.174971e-01
5.000000e+01	6.000000e+01	1.544000e+00	1.722208e-01	1.722208e-01
6.000000e+01	7.000000e+01	1.236000e+00	1.380580e-01	1.380580e-01
7.000000e+01	8.000000e+01	9.504000e-01	9.983922e-02	9.983922e-02
8.000000e+01	1.000000e+02	6.496000e-01	6.621488e-02	6.621488e-02
1.000000e+02	1.200000e+02	3.865000e-01	3.453361e-02	3.453361e-02
1.200000e+02	1.400000e+02	2.422000e-01	2.024500e-02	2.024500e-02
1.400000e+02	1.600000e+02	1.518000e-01	1.286274e-02	1.286274e-02
1.600000e+02	1.800000e+02	9.931000e-02	8.771876e-03	8.771876e-03
1.800000e+02	2.000000e+02	6.643000e-02	5.864009e-03	5.864009e-03
2.000000e+02	2.200000e+02	4.351000e-02	3.723829e-03	3.723829e-03
2.200000e+02	2.500000e+02	2.718000e-02	2.311515e-03	2.311515e-03
2.500000e+02	2.800000e+02	1.669000e-02	1.435479e-03	1.435479e-03
2.800000e+02	3.100000e+02	1.104000e-02	1.022350e-03	1.022350e-03
3.100000e+02	3.400000e+02	7.103000e-03	6.409672e-04	6.409672e-04
3.400000e+02	4.000000e+02	3.946000e-03	3.837160e-04	3.837160e-04
4.000000e+02	5.500000e+02	1.066000e-03	1.017251e-04	1.017251e-04
5.500000e+02	7.000000e+02	2.267000e-04	4.129043e-05	4.129043e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d07-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d07-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.985000e-01	1.199058e-01	1.199058e-01
3.500000e+01	4.000000e+01	1.617000e+00	2.173154e-01	2.173154e-01
4.000000e+01	5.000000e+01	1.798000e+00	2.174971e-01	2.174971e-01
5.000000e+01	6.000000e+01	1.544000e+00	1.722208e-01	1.722208e-01
6.000000e+01	7.000000e+01	1.236000e+00	1.380580e-01	1.380580e-01
7.000000e+01	8.000000e+01	9.504000e-01	9.983922e-02	9.983922e-02
8.000000e+01	1.000000e+02	6.496000e-01	6.621488e-02	6.621488e-02
1.000000e+02	1.200000e+02	3.865000e-01	3.453361e-02	3.453361e-02
1.200000e+02	1.400000e+02	2.422000e-01	2.024500e-02	2.024500e-02
1.400000e+02	1.600000e+02	1.518000e-01	1.286274e-02	1.286274e-02
1.600000e+02	1.800000e+02	9.931000e-02	8.771876e-03	8.771876e-03
1.800000e+02	2.000000e+02	6.643000e-02	5.864009e-03	5.864009e-03
2.000000e+02	2.200000e+02	4.351000e-02	3.723829e-03	3.723829e-03
2.200000e+02	2.500000e+02	2.718000e-02	2.311515e-03	2.311515e-03
2.500000e+02	2.800000e+02	1.669000e-02	1.435479e-03	1.435479e-03
2.800000e+02	3.100000e+02	1.104000e-02	1.022350e-03	1.022350e-03
3.100000e+02	3.400000e+02	7.103000e-03	6.409672e-04	6.409672e-04
3.400000e+02	4.000000e+02	3.946000e-03	3.837160e-04	3.837160e-04
4.000000e+02	5.500000e+02	1.066000e-03	1.017251e-04	1.017251e-04
5.500000e+02	7.000000e+02	2.267000e-04	4.129043e-05	4.129043e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d07-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d07-x01-y02
Title=[17]  0.24
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	7.985000e-01	1.199058e-01	1.199058e-01
3.500000e+01	4.000000e+01	1.617000e+00	2.173154e-01	2.173154e-01
4.000000e+01	5.000000e+01	1.798000e+00	2.174971e-01	2.174971e-01
5.000000e+01	6.000000e+01	1.544000e+00	1.722208e-01	1.722208e-01
6.000000e+01	7.000000e+01	1.236000e+00	1.380580e-01	1.380580e-01
7.000000e+01	8.000000e+01	9.504000e-01	9.983922e-02	9.983922e-02
8.000000e+01	1.000000e+02	6.496000e-01	6.621488e-02	6.621488e-02
1.000000e+02	1.200000e+02	3.865000e-01	3.453361e-02	3.453361e-02
1.200000e+02	1.400000e+02	2.422000e-01	2.024500e-02	2.024500e-02
1.400000e+02	1.600000e+02	1.523099e-01	1.315715e-02	1.315715e-02
1.600000e+02	1.800000e+02	9.998992e-02	9.111834e-03	9.111834e-03
1.800000e+02	2.000000e+02	6.676996e-02	6.104396e-03	6.104396e-03
2.000000e+02	2.200000e+02	4.351000e-02	3.723829e-03	3.723829e-03
2.200000e+02	2.500000e+02	2.751996e-02	2.507790e-03	2.507790e-03
2.500000e+02	2.800000e+02	1.714328e-02	1.662118e-03	1.662118e-03
2.800000e+02	3.100000e+02	1.137996e-02	1.218625e-03	1.218625e-03
3.100000e+02	3.400000e+02	7.329639e-03	8.012251e-04	8.012251e-04
3.400000e+02	4.000000e+02	4.059319e-03	4.638449e-04	4.638449e-04
4.000000e+02	5.500000e+02	1.088664e-03	1.243890e-04	1.243890e-04
5.500000e+02	7.000000e+02	2.267000e-04	4.129043e-05	4.129043e-05
# END HISTO1D

