# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_EL/d24-x01-y02 /LHC.yoda/ATLAS_2014_I1319490_EL/d24-x01-y02 /THY/ATLAS_2014_I1319490_EL/d24-x01-y02
Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d24-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$\Delta y_{j1,j2}$
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}y_{j1,j2}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d24-x01-y02
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_EL/d24-x01-y02
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	3.951000e+01	4.114511e+00	4.114511e+00
4.000000e-01	8.000000e-01	3.950000e+01	3.936636e+00	3.936636e+00
8.000000e-01	1.200000e+00	3.582000e+01	3.392860e+00	3.392860e+00
1.200000e+00	1.600000e+00	3.199000e+01	3.167365e+00	3.167365e+00
1.600000e+00	2.000000e+00	2.823000e+01	2.827702e+00	2.827702e+00
2.000000e+00	2.400000e+00	2.289000e+01	2.416485e+00	2.416485e+00
2.400000e+00	2.800000e+00	1.823000e+01	2.035117e+00	2.035117e+00
2.800000e+00	3.200000e+00	1.352000e+01	1.601562e+00	1.601562e+00
3.200000e+00	3.600000e+00	9.805000e+00	1.336318e+00	1.336318e+00
3.600000e+00	4.000000e+00	6.277000e+00	9.856424e-01	9.856424e-01
4.000000e+00	4.400000e+00	4.144000e+00	7.481049e-01	7.481049e-01
4.400000e+00	4.800000e+00	2.522000e+00	5.649301e-01	5.649301e-01
4.800000e+00	5.200000e+00	1.340000e+00	3.393376e-01	3.393376e-01
5.200000e+00	5.600000e+00	8.005000e-01	2.971731e-01	2.971731e-01
5.600000e+00	6.000000e+00	4.094000e-01	1.915721e-01	1.915721e-01
6.000000e+00	6.400000e+00	1.974000e-01	1.203110e-01	1.203110e-01
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d24-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d24-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	3.951000e+01	4.114511e+00	4.114511e+00
4.000000e-01	8.000000e-01	3.950000e+01	3.936636e+00	3.936636e+00
8.000000e-01	1.200000e+00	3.582000e+01	3.392860e+00	3.392860e+00
1.200000e+00	1.600000e+00	3.199000e+01	3.167365e+00	3.167365e+00
1.600000e+00	2.000000e+00	2.823000e+01	2.827702e+00	2.827702e+00
2.000000e+00	2.400000e+00	2.289000e+01	2.416485e+00	2.416485e+00
2.400000e+00	2.800000e+00	1.823000e+01	2.035117e+00	2.035117e+00
2.800000e+00	3.200000e+00	1.352000e+01	1.601562e+00	1.601562e+00
3.200000e+00	3.600000e+00	9.805000e+00	1.336318e+00	1.336318e+00
3.600000e+00	4.000000e+00	6.277000e+00	9.856424e-01	9.856424e-01
4.000000e+00	4.400000e+00	4.144000e+00	7.481049e-01	7.481049e-01
4.400000e+00	4.800000e+00	2.522000e+00	5.649301e-01	5.649301e-01
4.800000e+00	5.200000e+00	1.340000e+00	3.393376e-01	3.393376e-01
5.200000e+00	5.600000e+00	8.005000e-01	2.971731e-01	2.971731e-01
5.600000e+00	6.000000e+00	4.094000e-01	1.915721e-01	1.915721e-01
6.000000e+00	6.400000e+00	1.974000e-01	1.203110e-01	1.203110e-01
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_EL/d24-x01-y02
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_EL/d24-x01-y02
Title=[1]  0.02
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	3.959499e+01	4.141387e+00	4.141387e+00
4.000000e-01	8.000000e-01	3.955099e+01	3.957454e+00	3.957454e+00
8.000000e-01	1.200000e+00	3.584550e+01	3.407581e+00	3.407581e+00
1.200000e+00	1.600000e+00	3.201550e+01	3.182086e+00	3.182086e+00
1.600000e+00	2.000000e+00	2.823000e+01	2.827702e+00	2.827702e+00
2.000000e+00	2.400000e+00	2.289850e+01	2.424984e+00	2.424984e+00
2.400000e+00	2.800000e+00	1.823000e+01	2.035117e+00	2.035117e+00
2.800000e+00	3.200000e+00	1.352850e+01	1.610061e+00	1.610061e+00
3.200000e+00	3.600000e+00	9.805000e+00	1.336318e+00	1.336318e+00
3.600000e+00	4.000000e+00	6.277000e+00	9.856424e-01	9.856424e-01
4.000000e+00	4.400000e+00	4.144000e+00	7.481049e-01	7.481049e-01
4.400000e+00	4.800000e+00	2.522000e+00	5.649301e-01	5.649301e-01
4.800000e+00	5.200000e+00	1.340000e+00	3.393376e-01	3.393376e-01
5.200000e+00	5.600000e+00	8.005000e-01	2.971731e-01	2.971731e-01
5.600000e+00	6.000000e+00	4.094000e-01	1.915721e-01	1.915721e-01
6.000000e+00	6.400000e+00	1.974000e-01	1.203110e-01	1.203110e-01
# END HISTO1D

