# BEGIN PLOT
XTwosidedTicks=1
DrawOnly=/REF/ATLAS_2014_I1319490_MU/d11-x01-y03 /LHC.yoda/ATLAS_2014_I1319490_MU/d11-x01-y03 /THY/ATLAS_2014_I1319490_MU/d11-x01-y03
Title=muon channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_MU/d11-x01-y03
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$p^j_\text{T}$ (4th leading jet) [GeV]
MainPlot=1
YLabel=$\text{d}\sigma_{W + \geq 4j} / \text{d}p^j_\text{T}$
YTwosidedTicks=1
LegendYPos=0.3
Legend=1
RatioPlotYMin=1
LeftMargin=1.5
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d11-x01-y03
IsRef=1
LineColor=green
Path=/REF/ATLAS_2014_I1319490_MU/d11-x01-y03
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	3.714000e-01	7.124675e-02	7.124675e-02
3.500000e+01	4.000000e+01	1.803000e-01	3.114530e-02	3.114530e-02
4.000000e+01	5.000000e+01	8.365000e-02	1.680569e-02	1.680569e-02
5.000000e+01	6.000000e+01	3.481000e-02	8.516349e-03	8.516349e-03
6.000000e+01	7.000000e+01	1.545000e-02	4.318507e-03	4.318507e-03
7.000000e+01	8.000000e+01	7.983000e-03	2.177817e-03	2.177817e-03
8.000000e+01	1.000000e+02	3.523000e-03	9.477711e-04	9.477711e-04
1.000000e+02	1.400000e+02	7.105000e-04	2.903915e-04	2.903915e-04
1.400000e+02	2.000000e+02	7.012000e-05	5.005695e-05	5.005695e-05
# END HISTO1D


# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_MU/d11-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_MU/d11-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	3.714000e-01	7.124675e-02	7.124675e-02
3.500000e+01	4.000000e+01	1.803000e-01	3.114530e-02	3.114530e-02
4.000000e+01	5.000000e+01	8.365000e-02	1.680569e-02	1.680569e-02
5.000000e+01	6.000000e+01	3.481000e-02	8.516349e-03	8.516349e-03
6.000000e+01	7.000000e+01	1.545000e-02	4.318507e-03	4.318507e-03
7.000000e+01	8.000000e+01	7.983000e-03	2.177817e-03	2.177817e-03
8.000000e+01	1.000000e+02	3.523000e-03	9.477711e-04	9.477711e-04
1.000000e+02	1.400000e+02	7.105000e-04	2.903915e-04	2.903915e-04
1.400000e+02	2.000000e+02	7.012000e-05	5.005695e-05	5.005695e-05
# END HISTO1D


# BEGIN HISTO1D /LHC.yoda/ATLAS_2014_I1319490_MU/d11-x01-y03
LineColor=red
Path=/LHC.yoda/ATLAS_2014_I1319490_MU/d11-x01-y03
Title=[7]  0.45
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.500000e+01	3.714000e-01	7.124675e-02	7.124675e-02
3.500000e+01	4.000000e+01	1.809799e-01	3.182522e-02	3.182522e-02
4.000000e+01	5.000000e+01	8.398996e-02	1.714565e-02	1.714565e-02
5.000000e+01	6.000000e+01	3.582987e-02	9.105174e-03	9.105174e-03
6.000000e+01	7.000000e+01	1.680983e-02	4.998424e-03	4.998424e-03
7.000000e+01	8.000000e+01	9.002875e-03	2.766642e-03	2.766642e-03
8.000000e+01	1.000000e+02	4.202916e-03	1.287729e-03	1.287729e-03
1.000000e+02	1.400000e+02	7.105000e-04	2.903915e-04	2.903915e-04
1.400000e+02	2.000000e+02	7.012000e-05	5.005695e-05	5.005695e-05
# END HISTO1D

